#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-11-46
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1357988354.421829	CU5K2LzOG9yyxrqSi	192.168.116.10	1030	50.116.85.79	80	1	GET	owassolandtrust.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	303	See other	-	-	-	(empty)	-	-	-	-	-	-	-
1357988354.59026	CeOeEa2HarGLZnpil1	192.168.116.10	1031	50.116.85.79	80	1	GET	www.owassolandtrust.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	27229	200	OK	-	-	-	(empty)	-	-	-	-	-	FEmlJT3ZYzUcKpNQx6	text/html
1357988355.568727	CshwRY25TQkt9aREtb	192.168.116.10	1032	50.116.85.79	80	1	GET	www.owassolandtrust.com	/media/system/css/modal.css	http://www.owassolandtrust.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1159	200	OK	-	-	-	(empty)	-	-	-	-	-	FMcXox4TYcFWQlsF9a	text/plain
1357988355.571755	CeOeEa2HarGLZnpil1	192.168.116.10	1031	50.116.85.79	80	2	GET	www.owassolandtrust.com	/modules/mod_slideshow3/slideshow/slideshow.css	http://www.owassolandtrust.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6364	200	OK	-	-	-	(empty)	-	-	-	-	-	Fq92wc4cycJ2pItO8j	text/plain
1357988355.596958	CshwRY25TQkt9aREtb	192.168.116.10	1032	50.116.85.79	80	2	GET	www.owassolandtrust.com	/media/system/js/mootools.js	http://www.owassolandtrust.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	74434	200	OK	-	-	-	(empty)	-	-	-	-	-	F9S02e3YnwCnC9cFxb	text/plain
1357988355.688763	CLiZhKdfJxfS9Vg27	192.168.116.10	1033	216.246.23.140	8787	1	GET	nrudgxhwa.freewww.biz	/tag/log/crack.php?keygen=210	http://www.owassolandtrust.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1986	200	OK	-	-	-	(empty)	-	-	-	-	-	FZ9SF1479gs4NWID3c	text/html
1357988355.896878	ClDKHC4mhpBSFS4Bw8	192.168.116.10	1034	173.194.75.95	80	1	GET	ajax.googleapis.com	/ajax/libs/jquery/1.5/jquery.min.js	http://www.owassolandtrust.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	85925	200	OK	-	-	-	(empty)	-	-	-	-	-	FFaMpL26pFpmaNyVm7	text/plain
1357988356.285245	CeOeEa2HarGLZnpil1	192.168.116.10	1031	50.116.85.79	80	3	GET	www.owassolandtrust.com	/media/system/js/modal.js	http://www.owassolandtrust.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	10588	200	OK	-	-	-	(empty)	-	-	-	-	-	FkfqLS2278n5Av5hYl	text/plain
1357988356.33067	ClDKHC4mhpBSFS4Bw8	192.168.116.10	1034	173.194.75.95	80	2	GET	ajax.googleapis.com	/ajax/libs/jquery/1.7/jquery.min.js	http://www.owassolandtrust.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	94840	200	OK	-	-	-	(empty)	-	-	-	-	-	Fpl8O3DT4ngWV29S5	text/html
1357988356.463495	CshwRY25TQkt9aREtb	192.168.116.10	1032	50.116.85.79	80	3	GET	www.owassolandtrust.com	/components/com_k2/js/k2.js	http://www.owassolandtrust.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6820	200	OK	-	-	-	(empty)	-	-	-	-	-	FylIjV1ruAbb0Icka	text/plain
1357988356.518112	CeOeEa2HarGLZnpil1	192.168.116.10	1031	50.116.85.79	80	4	GET	www.owassolandtrust.com	/media/system/js/caption.js	http://www.owassolandtrust.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1963	200	OK	-	-	-	(empty)	-	-	-	-	-	FEJvwo2fTxhCap8WO	text/plain
1357988356.569357	CshwRY25TQkt9aREtb	192.168.116.10	1032	50.116.85.79	80	4	GET	www.owassolandtrust.com	/modules/mod_slideshow3/slideshow/jquery.cycle.lite.js	http://www.owassolandtrust.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6870	200	OK	-	-	-	(empty)	-	-	-	-	-	FygYsE1q680Lyofgr6	text/plain
1357988356.653404	CeOeEa2HarGLZnpil1	192.168.116.10	1031	50.116.85.79	80	5	GET	www.owassolandtrust.com	/media/plg_jblibrary/jquery/jquery.badBrowser.js	http://www.owassolandtrust.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1455	200	OK	-	-	-	(empty)	-	-	-	-	-	Fqyfcp24yDtS2NRby9	text/html
1357988356.692712	CshwRY25TQkt9aREtb	192.168.116.10	1032	50.116.85.79	80	5	GET	www.owassolandtrust.com	/templates/system/css/system.css	http://www.owassolandtrust.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1385	200	OK	-	-	-	(empty)	-	-	-	-	-	Fsdem52PW6C4OKL1G2	text/plain
1357988356.693115	CeOeEa2HarGLZnpil1	192.168.116.10	1031	50.116.85.79	80	6	GET	www.owassolandtrust.com	/templates/system/css/general.css	http://www.owassolandtrust.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2777	200	OK	-	-	-	(empty)	-	-	-	-	-	F4aQpB26G96eihUb6	text/plain
1357988356.745541	CeOeEa2HarGLZnpil1	192.168.116.10	1031	50.116.85.79	80	7	GET	www.owassolandtrust.com	/templates/zengridframework/css/joomla.css	http://www.owassolandtrust.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3587	200	OK	-	-	-	(empty)	-	-	-	-	-	FLVkn61GeUturuCFC4	text/plain
1357988356.745852	CshwRY25TQkt9aREtb	192.168.116.10	1032	50.116.85.79	80	6	GET	www.owassolandtrust.com	/templates/zengridframework/css/template_css.css	http://www.owassolandtrust.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	11471	200	OK	-	-	-	(empty)	-	-	-	-	-	FsQij342SegTDHDBo8	text/plain
1357988356.786367	CeOeEa2HarGLZnpil1	192.168.116.10	1031	50.116.85.79	80	8	GET	www.owassolandtrust.com	/templates/zengridframework/css/fonts.css	http://www.owassolandtrust.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	246	200	OK	-	-	-	(empty)	-	-	-	-	-	F1WNYk3CPd4D4LADG5	text/plain
1357988356.792463	CshwRY25TQkt9aREtb	192.168.116.10	1032	50.116.85.79	80	7	GET	www.owassolandtrust.com	/templates/jbpure/css/theme.css	http://www.owassolandtrust.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	19458	200	OK	-	-	-	(empty)	-	-	-	-	-	FZAXZy4iM1BgZNcjM9	text/plain
1357988356.812358	CeOeEa2HarGLZnpil1	192.168.116.10	1031	50.116.85.79	80	9	GET	www.owassolandtrust.com	/templates/jbpure/css/hiliteOrangeGreen.css	http://www.owassolandtrust.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2895	200	OK	-	-	-	(empty)	-	-	-	-	-	FGMQQi36mZgPZ2neJ3	text/plain
1357988356.831367	CshwRY25TQkt9aREtb	192.168.116.10	1032	50.116.85.79	80	8	GET	www.owassolandtrust.com	/templates/jbpure/css/headerBrightGreen.css	http://www.owassolandtrust.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	511	200	OK	-	-	-	(empty)	-	-	-	-	-	FcJBDT3Xk2HoOHMAQ8	text/plain
1357988356.837037	CeOeEa2HarGLZnpil1	192.168.116.10	1031	50.116.85.79	80	10	GET	www.owassolandtrust.com	/templates/jbpure/css/bannerBlackTexture.css	http://www.owassolandtrust.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	368	200	OK	-	-	-	(empty)	-	-	-	-	-	FXwmCG4by9iiNXYd04	text/plain
1357988356.859851	CshwRY25TQkt9aREtb	192.168.116.10	1032	50.116.85.79	80	9	GET	www.owassolandtrust.com	/templates/jbpure/css/bottomAvanti.css	http://www.owassolandtrust.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	435	200	OK	-	-	-	(empty)	-	-	-	-	-	FoHTp4CVerhOW5Dl7	text/plain
1357988356.86216	CeOeEa2HarGLZnpil1	192.168.116.10	1031	50.116.85.79	80	11	GET	www.owassolandtrust.com	/cache/zengridframework/js/zengrid.js	http://www.owassolandtrust.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	13281	200	OK	-	-	-	(empty)	-	-	-	-	-	FFrdDl1E1iwPAOaf0k	text/plain
1357988357.042378	Cjpg5uMyZ1OKARjf5	192.168.116.10	1039	72.21.91.19	80	1	GET	use.typekit.com	/.js	http://www.owassolandtrust.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	9	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FaDmfZ2ncq6EKR6HJk	text/plain
1357988357.08296	CshwRY25TQkt9aREtb	192.168.116.10	1032	50.116.85.79	80	10	GET	www.owassolandtrust.com	/templates/zengridframework/js/modal/jquery.reveal.js	http://www.owassolandtrust.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4575	200	OK	-	-	-	(empty)	-	-	-	-	-	FJiLnW3WEpd9xtRO4d	text/plain
1357988357.137399	CeOeEa2HarGLZnpil1	192.168.116.10	1031	50.116.85.79	80	12	GET	www.owassolandtrust.com	/templates/jbpure/images/logo/logo.png	http://www.owassolandtrust.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	38976	200	OK	-	-	-	(empty)	-	-	-	-	-	Fg9GTnq2DpETmWlJ2	image/png
1357988357.531896	ClDKHC4mhpBSFS4Bw8	192.168.116.10	1034	173.194.75.95	80	3	GET	ajax.googleapis.com	/ajax/libs/webfont/1/webfont.js	http://www.owassolandtrust.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	17171	200	OK	-	-	-	(empty)	-	-	-	-	-	FvPndh2IO5KnmbaLhh	text/plain
1357988357.13997	CshwRY25TQkt9aREtb	192.168.116.10	1032	50.116.85.79	80	11	GET	www.owassolandtrust.com	/images/stories/banner-6.jpg	http://www.owassolandtrust.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	151479	200	OK	-	-	-	(empty)	-	-	-	-	-	F2z5OB4488Pms5vDr8	image/jpeg
1357988357.625751	CeOeEa2HarGLZnpil1	192.168.116.10	1031	50.116.85.79	80	13	GET	www.owassolandtrust.com	/images/stories/banner-3.jpg	http://www.owassolandtrust.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	154707	200	OK	-	-	-	(empty)	-	-	-	-	-	FDqkFF3mDrObX32Jzd	image/jpeg
1357988357.772518	CshwRY25TQkt9aREtb	192.168.116.10	1032	50.116.85.79	80	12	GET	www.owassolandtrust.com	/images/stories/banner-7.jpg	http://www.owassolandtrust.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	107093	200	OK	-	-	-	(empty)	-	-	-	-	-	FOsOVF4p8REis2nN2	image/jpeg
1357988357.835122	CeOeEa2HarGLZnpil1	192.168.116.10	1031	50.116.85.79	80	14	GET	www.owassolandtrust.com	/images/stories/banner-4.jpg	http://www.owassolandtrust.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	139877	200	OK	-	-	-	(empty)	-	-	-	-	-	FhsdsS3innxKGeM3a7	image/jpeg
1357988358.13812	CeOeEa2HarGLZnpil1	192.168.116.10	1031	50.116.85.79	80	15	GET	www.owassolandtrust.com	/templates/jbpure/images/brightGreen/headerGradient.png	http://www.owassolandtrust.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	43948	200	OK	-	-	-	(empty)	-	-	-	-	-	FKs4fnZALvxZxJoZ	image/png
1357988358.226272	CeOeEa2HarGLZnpil1	192.168.116.10	1031	50.116.85.79	80	16	GET	www.owassolandtrust.com	/templates/jbpure/images/nav.png	http://www.owassolandtrust.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	954	200	OK	-	-	-	(empty)	-	-	-	-	-	FqcdMj4jWftUDipNPh	image/png
1357988358.080979	CshwRY25TQkt9aREtb	192.168.116.10	1032	50.116.85.79	80	13	GET	www.owassolandtrust.com	/images/stories/banner-8.jpg	http://www.owassolandtrust.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	164734	200	OK	-	-	-	(empty)	-	-	-	-	-	FyumPS1pnVPwuqDXW3	image/jpeg
1357988358.333911	CshwRY25TQkt9aREtb	192.168.116.10	1032	50.116.85.79	80	14	GET	www.owassolandtrust.com	/templates/jbpure/images/navSep.png	http://www.owassolandtrust.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	326	200	OK	-	-	-	(empty)	-	-	-	-	-	F5Yo8dnbYU5EdUdL1	image/png
1357988358.438837	CshwRY25TQkt9aREtb	192.168.116.10	1032	50.116.85.79	80	15	GET	www.owassolandtrust.com	/images/stories/properties.png	http://www.owassolandtrust.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	10278	200	OK	-	-	-	(empty)	-	-	-	-	-	FFjreIVIQMv8SG11a	image/png
1357988358.335711	CeOeEa2HarGLZnpil1	192.168.116.10	1031	50.116.85.79	80	17	GET	www.owassolandtrust.com	/templates/jbpure/images/bg/blackTexture.png	http://www.owassolandtrust.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	245016	200	OK	-	-	-	(empty)	-	-	-	-	-	Fnpgo92i3S2FM80xEi	image/png
1357988358.49347	CshwRY25TQkt9aREtb	192.168.116.10	1032	50.116.85.79	80	16	GET	www.owassolandtrust.com	/images/stories/contact.png	http://www.owassolandtrust.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7322	200	OK	-	-	-	(empty)	-	-	-	-	-	FV9pRx2lJREB4axwpi	image/png
1357988358.507826	CeOeEa2HarGLZnpil1	192.168.116.10	1031	50.116.85.79	80	18	GET	www.owassolandtrust.com	/images/stories/sprint-logo-1.png	http://www.owassolandtrust.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6509	200	OK	-	-	-	(empty)	-	-	-	-	-	Fedh661VT1n7POmwvk	image/png
1357988358.524147	CshwRY25TQkt9aREtb	192.168.116.10	1032	50.116.85.79	80	17	GET	www.owassolandtrust.com	/images/stories/200px-Dominos_pizza_logo.svg.png	http://www.owassolandtrust.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	12392	200	OK	-	-	-	(empty)	-	-	-	-	-	FBnjh03LCvxqAPuwog	image/png
1357988358.536007	CeOeEa2HarGLZnpil1	192.168.116.10	1031	50.116.85.79	80	19	GET	www.owassolandtrust.com	/images/stories/kw_stack_color_bg.png	http://www.owassolandtrust.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5557	200	OK	-	-	-	(empty)	-	-	-	-	-	FHcbaH1UmtMqukW2L3	image/png
1357988358.574543	CeOeEa2HarGLZnpil1	192.168.116.10	1031	50.116.85.79	80	20	GET	www.owassolandtrust.com	/images/stories/Cartridge-World.png	http://www.owassolandtrust.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5487	200	OK	-	-	-	(empty)	-	-	-	-	-	FopWk53K1KGRzeKKA2	image/png
1357988358.574265	CshwRY25TQkt9aREtb	192.168.116.10	1032	50.116.85.79	80	18	GET	www.owassolandtrust.com	/images/stories/logo.png	http://www.owassolandtrust.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	18357	200	OK	-	-	-	(empty)	-	-	-	-	-	FESQPP3uLtwgTaTAI9	image/png
