#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-09-03
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1315280758.312386	CxnuAH1EHa62SmogHk	192.168.53.10	1030	95.168.165.225	80	1	GET	x-teeny-tube.org	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	249	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	F8meBx42orPv6nSY7d	text/html
1315280758.532441	C0mNr43VBzJf5U5Kr6	192.168.53.10	1031	109.236.82.48	80	1	GET	bigtitsroundassesporno.com	/?site=6	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7505	200	OK	-	-	-	(empty)	-	-	-	-	-	FFIg6u1ZotDfzyUqnc	text/html
1315280759.619027	CRYvex25kwUvT4bzP8	192.168.53.10	1033	109.236.82.48	80	1	GET	bigtitsroundassesporno.com	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8293	200	OK	-	-	-	(empty)	-	-	-	-	-	FxfC8A47qvEcHkk2g8	application/jar
1315280759.621701	CFQSDQD5v9O6BVOJg	192.168.53.10	1035	109.236.82.48	80	1	GET	1844204080	/saturn.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	11944	200	OK	-	-	-	(empty)	-	-	-	-	-	Ff9HipzSGKd2ZNhDk	application/x-java-applet
1315280759.622434	CY9G1TCp3jVaSRRna	192.168.53.10	1034	109.236.82.48	80	1	GET	1844204080	/saturn.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	11944	200	OK	-	-	-	(empty)	-	-	-	-	-	F6c4Bz2QMget9Wpisl	application/x-java-applet
1315280759.620838	CJnlIxg6GpMCxtsXi	192.168.53.10	1032	109.236.82.48	80	1	GET	bigtitsroundassesporno.com	/dl/bingo.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	19391	200	OK	-	-	-	(empty)	-	-	-	-	-	FOETnZ2L4DHzXyDLnb	application/jar
1315280759.929797	C0ZLoI2wRe1D1Ifvj7	192.168.53.10	1036	109.236.82.48	80	1	GET	bigtitsroundassesporno.com	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8293	200	OK	-	-	-	(empty)	-	-	-	-	-	F3g3GxdyIiwv7b3Oa	application/jar
1315280760.211919	CQyA54nG5tpUd5vxk	192.168.53.10	1037	109.236.82.48	80	1	GET	bigtitsroundassesporno.com	/dl/bingo.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	19391	200	OK	-	-	-	(empty)	-	-	-	-	-	Fqilgg4hXC9p1PSjjj	application/jar
1315280760.514306	CpXSIo3QCvuzEwB4L1	192.168.53.10	1038	109.236.82.48	80	1	GET	1844204080	/saturn.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8529	200	OK	-	-	-	(empty)	-	-	-	-	-	F7GURM3aFmBuvsvPPb	application/x-java-applet
1315280760.521659	CqLNSd1pGOaxdz2xYe	192.168.53.10	1039	109.236.82.48	80	1	GET	1844204080	/saturn.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8529	200	OK	-	-	-	(empty)	-	-	-	-	-	FkJtxg3Bah8uQW2sgf	application/x-java-applet
1315280760.544815	C5TJxy44JWHdpsXhX4	192.168.53.10	1040	109.236.82.48	80	1	GET	bigtitsroundassesporno.com	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8293	200	OK	-	-	-	(empty)	-	-	-	-	-	FSC0szEjNo12tNznb	application/jar
1315280760.786077	CQVWYT3eQzRO3OVs61	192.168.53.10	1045	109.236.82.48	80	1	GET	bigtitsroundassesporno.com	/dl/bingo.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	19391	200	OK	-	-	-	(empty)	-	-	-	-	-	FUYJsN1niSdT3C4Yhe	application/jar
1315280761.158176	CRr8S646NQy8tJleQ2	192.168.53.10	1047	109.236.82.48	80	1	GET	bigtitsroundassesporno.com	/dl/jsm_text.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	522	200	OK	-	-	-	(empty)	-	-	-	-	-	Fy66hG2qSPJTiBBWqj	binary
1315280761.415459	CgZuBL3SAMJXHgLLg8	192.168.53.10	1049	109.236.82.48	80	1	GET	bigtitsroundassesporno.com	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8293	200	OK	-	-	-	(empty)	-	-	-	-	-	FdU12s4LoEczAHsgf4	application/jar
