#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-16-48
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1327712253.914355	C9N3CB4afoeJTeu6h8	192.168.46.10	1030	208.64.123.45	80	1	GET	3og2ua8ghl8xow.l95.me	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	178	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FqxI5G14R8xKSCa8fi	text/html
1327712254.161598	CUdpHw1TG7sVmdNFm4	192.168.46.10	1031	64.34.154.74	80	1	GET	fasttrackonlinesurveys.com	/d/traf2.com	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1727	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FK4MbEbeZtLER0gz4	text/html
1327712254.267407	Cq4w62EZxw79WH5vb	192.168.46.10	1032	209.17.74.150	80	1	GET	i35.tinypic.com	/n4ts0p.png	http://fasttrackonlinesurveys.com/d/traf2.com	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	97370	200	OK	-	-	-	(empty)	-	-	-	-	-	FKAHFZ3CVyWlnp8aib	image/png
1327712254.914527	CFY4Jl3TT8tmgd7Zti	192.168.46.10	1033	64.34.154.74	80	1	GET	i.d2f3.com	/oops/index.php?e9cb9458b4b97866bf6dfbbc558dfc77	http://fasttrackonlinesurveys.com/d/traf2.com	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	43955	200	OK	-	-	-	(empty)	-	-	-	-	-	F2kQTH1ZHmw1i1kvvc	text/html
1327712256.306136	CnXkcb4tzZ7tglJEPg	192.168.46.10	1034	64.34.154.74	80	1	GET	i.d2f3.com	/oops/server_privileges.php?6e973055ca2c946ef80a7baf6229c188=1	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	291840	200	OK	-	-	-	(empty)	-	-	-	-	-	FLr0Ge4Pt01DzWxC8h	application/x-dosexec
1327712257.979183	C6Ss7239wjtUACDnS2	192.168.46.10	1039	65.39.172.126	80	1	GET	network.stripthere.com	/mars/iLog.php?dl=5.9&log=Loader: 506^BB	-	IE7.0	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1327712258.097158	CMKFmg4ZLqjPITxpNb	192.168.46.10	1041	64.34.154.74	80	1	GET	i.d2f3.com	/oops/images/938a99f1be85e19406438f9a572fdf71.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	5380	200	OK	-	-	-	(empty)	-	-	-	-	-	FKKDn6dFBVQkkIfMd	application/jar
1327712258.098995	ChmZVa1Gv0iewIjaSi	192.168.46.10	1042	64.34.154.74	80	1	GET	fasttrackonlinesurveys.com	/Java.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2755	200	OK	-	-	-	(empty)	-	-	-	-	-	FaQL8K3zKiadHcNTK9	application/zip
1327712258.099948	CNYQ0l2EbOQ8mSsT9	192.168.46.10	1040	64.34.154.74	80	1	GET	i.d2f3.com	/oops/images/r/938a99f1be85e19406438f9a572fdf71.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2909	200	OK	-	-	-	(empty)	-	-	-	-	-	FBrCyY29KWf6FVhneh	application/jar
1327712258.223	CHYi4fzhKLJ6an7m9	192.168.46.10	1044	64.34.154.74	80	1	GET	i.d2f3.com	/oops/images/r/938a99f1be85e19406438f9a572fdf71.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2909	200	OK	-	-	-	(empty)	-	-	-	-	-	F7uGAS3EQ6mpGycBP3	application/jar
1327712258.229293	Cqx0Fp3MfyxYzwEul5	192.168.46.10	1043	64.34.154.74	80	1	GET	i.d2f3.com	/oops/images/938a99f1be85e19406438f9a572fdf71.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	5380	200	OK	-	-	-	(empty)	-	-	-	-	-	FuIRB8xPxqlT3E8a4	application/jar
