#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2014-04-03-10-25-54
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer
#types	time	string	addr	port	addr	port	string	string	bool	string
1345012571.930434	CfQhTi4fhEhOX2k4Oe	192.168.74.10	1045	199.21.148.88	80	unescaped_special_URI_char	-	F	bro
1345012571.935563	-	-	-	-	-	unknown_protocol_2	-	F	bro
1345012618.036864	Cwu66X1vq6uAkZKSV3	192.168.74.10	1071	91.193.74.13	53	DNS_Conn_count_too_large	-	F	bro
1345012618.037043	C2UrT42JZ2cWIQuFKf	192.168.74.10	1071	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1345012618.042302	CmZDyo4QmLKwKU2N9k	192.168.74.10	1073	91.193.74.13	53	DNS_Conn_count_too_large	-	F	bro
1345012618.042437	CmVtll3U3FEkTicGLk	192.168.74.10	1073	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1345012618.097676	CEeMbOZJyQ4a5jzn7	192.168.74.10	1076	91.193.74.13	53	DNS_Conn_count_too_large	-	F	bro
1345012618.09782	CaugWa7h7zwQrBBL6	192.168.74.10	1076	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1345012618.113623	CuPwBu2tH3QXYreMNh	192.168.74.10	1078	91.193.74.13	53	DNS_Conn_count_too_large	-	F	bro
1345012618.113769	CUnAWG2TiGwMFf1sB	192.168.74.10	1078	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1345012618.119528	CL3ueb17Lq84oUFXxb	192.168.74.10	1080	91.193.74.13	53	DNS_Conn_count_too_large	-	F	bro
1345012618.119662	CdMWs04TWk0us0n6xd	192.168.74.10	1080	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1345012618.55487	CnPRib40jBDxTiG80e	192.168.74.10	1083	91.193.74.13	53	DNS_Conn_count_too_large	-	F	bro
1345012618.554999	CrQlPF4KirtoK3WlX4	192.168.74.10	1083	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1345012618.713024	CVuLXj2i0tTBG9GiX	192.168.74.10	1086	91.193.74.13	53	DNS_Conn_count_too_large	-	F	bro
1345012618.713142	CkElhB1uvrWs4PAin1	192.168.74.10	1086	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1345012618.726586	Cmw05W3qsfxCMlfNuc	192.168.74.10	1089	91.193.74.13	53	DNS_Conn_count_too_large	-	F	bro
1345012618.7267	CWVhJL3HNuSprraEsf	192.168.74.10	1089	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
#close	2014-04-03-10-25-55
