#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-26-51
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1323198448.486161	C8XDCZ3XAkbAVxFin3	192.168.22.10	1030	64.202.189.170	80	1	GET	loanspayday.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	-	-
1323198448.582285	C2mOj711HjBmw30pmi	192.168.22.10	1031	69.39.236.36	80	1	GET	adf.ly	/2MWH	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	18910	200	OK	-	-	-	(empty)	-	-	-	-	-	FCfpcStVXRU1OQqMj	text/html
1323198448.689719	C87PBN3MmQH2UL4Qpb	192.168.22.10	1032	69.39.236.36	80	1	GET	adf.ly	/css/adfly_1.css	http://adf.ly/2MWH	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1382	200	OK	-	-	-	(empty)	-	-	-	-	-	FPFBCI1PXQ4QrQZ3b3	text/plain
1323198448.832535	C87PBN3MmQH2UL4Qpb	192.168.22.10	1032	69.39.236.36	80	2	GET	adf.ly	/images/logo_fb.png	http://adf.ly/2MWH	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2438	200	OK	-	-	-	(empty)	-	-	-	-	-	FPhLFVKbCadLXbljh	image/png
1323198448.873614	CAyR7U2kuI0bIcHyaa	192.168.22.10	1033	74.125.229.198	80	1	GET	www.google-analytics.com	/ga.js	http://adf.ly/2MWH	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	32614	200	OK	-	-	-	(empty)	-	-	-	-	-	FWej803jM6KpgFtzG6	text/plain
1323198448.883423	CAurOY1rjhZS0lLGnl	192.168.22.10	1034	69.39.236.36	80	1	GET	adf.ly	/images/advert-header-logo.gif	http://adf.ly/2MWH	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3229	200	OK	-	-	-	(empty)	-	-	-	-	-	FFytiDvm14MuVlXJ2	image/gif
1323198448.96038	CAyR7U2kuI0bIcHyaa	192.168.22.10	1033	74.125.229.198	80	2	GET	www.google-analytics.com	/__utm.gif?utmwv=5.2.2&utms=1&utmn=200016788&utmhn=adf.ly&utme=8(User)9(54617)&utmcs=utf-8&utmsr=800x600&utmsc=24-bit&utmul=en-us&utmje=1&utmfl=10.0 r32&utmdt=AdF.ly - shrink your URLs and get paid!&utmhid=918465308&utmr=-&utmp=/2MWH&utmac=UA-6469700-9&utmcc=__utma=255621336.286317240.1323212730.1323212730.1323212730.1;+__utmz=255621336.1323212730.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none);&utmu=qQ~	http://adf.ly/2MWH	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	35	200	OK	-	-	-	(empty)	-	-	-	-	-	FbNueV28DRgzx6Wjwh	image/gif
1323198448.945854	CAurOY1rjhZS0lLGnl	192.168.22.10	1034	69.39.236.36	80	2	GET	adf.ly	/omnigy7425325409.swf	http://adf.ly/2MWH	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	10104	200	OK	-	-	-	(empty)	-	-	-	-	-	F90EVv1VNYoiXKBYIi	application/x-shockwave-flash
1323198448.883741	C87PBN3MmQH2UL4Qpb	192.168.22.10	1032	69.39.236.36	80	3	GET	adf.ly	/1market.php?cb=3m&t=18ca67ae006ef11e5c68f7c35d76390c&d=226279	http://adf.ly/2MWH	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	474	200	OK	-	-	-	(empty)	-	-	-	-	-	FbIBG04QPC4EeFKEH5	text/html
1323198449.269126	CYPJ6a43nC1fGgvhZ	192.168.22.10	1035	69.39.236.36	80	1	GET	adf.ly	/images/skip_ad/en.png	http://adf.ly/2MWH	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1841	200	OK	-	-	-	(empty)	-	-	-	-	-	FIBfpa4YK4J4EZOtK7	image/png
1323198449.304543	CYPJ6a43nC1fGgvhZ	192.168.22.10	1035	69.39.236.36	80	2	GET	adf.ly	/images/ad_bottom_bg.png	http://adf.ly/2MWH	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	167	200	OK	-	-	-	(empty)	-	-	-	-	-	FZkjMp1dDlLd7Pkhg	image/png
1323198449.646302	CGtAMb18nsBKmPL9re	192.168.22.10	1037	69.31.74.80	80	1	GET	fpdownload2.macromedia.com	/get/flashplayer/update/current/xml/version_en_win_ax.xml	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1568	200	OK	-	-	-	(empty)	-	-	-	-	-	FG1M23CNLKvOUqEOi	text/html
1323198449.646479	C4Jghk6efkik4juM7	192.168.22.10	1036	69.39.236.36	80	1	GET	adf.ly	/images/ad_top_bg.png	http://adf.ly/2MWH	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	156	200	OK	-	-	-	(empty)	-	-	-	-	-	FtdUg52fgoEg0e6IKe	image/png
1323198449.74838	CkGmCg3nZ4GRMrhxN6	192.168.22.10	1038	83.149.127.79	80	1	GET	winsonlinepoker.com	/	http://adf.ly/1market.php?cb=3m&t=18ca67ae006ef11e5c68f7c35d76390c&d=226279	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	32185	200	OK	-	-	-	(empty)	-	-	-	-	-	FgIoGM18eR17JtmKSc	text/html
1323198450.030615	CGdaC43icgethDqpjk	192.168.22.10	1040	216.52.188.186	80	1	GET	www.byoaudio.com	/client/player/xplayer01.swf?v=44	http://winsonlinepoker.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	23551	200	OK	-	-	-	(empty)	-	-	-	-	-	FFS4Nu16PcZGqXvW8c	application/x-shockwave-flash
1323198449.95693	CkGmCg3nZ4GRMrhxN6	192.168.22.10	1038	83.149.127.79	80	2	GET	winsonlinepoker.com	/index_files/pokerheader2.jpg	http://winsonlinepoker.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	99799	200	OK	-	-	-	(empty)	-	-	-	-	-	FLlZkv4ftzAgz5255f	image/jpeg
1323198450.481743	CcdMbw44zAcpvIeaA2	192.168.22.10	1041	216.52.188.186	80	1	GET	www.byoaudio.com	/playlist/Pb1bf0a773ccec5f63f8ddf6486cc3c5fYV95QVREYmJ8.xml	http://www.byoaudio.com/client/player/xplayer01.swf?v=44	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	332	200	OK	-	-	-	(empty)	-	-	-	-	-	Frq3CS1SJfTOdqwnt2	text/plain
1323198450.470659	CkGmCg3nZ4GRMrhxN6	192.168.22.10	1038	83.149.127.79	80	3	GET	winsonlinepoker.com	/index_files/counter.swf	http://winsonlinepoker.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	18402	200	OK	-	-	-	(empty)	-	-	-	-	-	F2nBFc2vDTwfhRIkDk	application/x-shockwave-flash
1323198450.055782	CUAWZy13f7bS2ri0ig	192.168.22.10	1039	83.149.127.79	80	1	GET	winsonlinepoker.com	/index_files/myfulltilt.JPG	http://winsonlinepoker.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	77793	200	OK	-	-	-	(empty)	-	-	-	-	-	FTVsxqukLWCpZF9J5	image/jpeg
1323198450.663912	CUAWZy13f7bS2ri0ig	192.168.22.10	1039	83.149.127.79	80	2	GET	winsonlinepoker.com	/index_files/seal.jpg	http://winsonlinepoker.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	14412	200	OK	-	-	-	(empty)	-	-	-	-	-	FYr4Rm2gsm0O9Ouym5	image/jpeg
1323198450.577199	CkGmCg3nZ4GRMrhxN6	192.168.22.10	1038	83.149.127.79	80	4	GET	winsonlinepoker.com	/index_files/fulltiltwin.JPG	http://winsonlinepoker.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	64864	200	OK	-	-	-	(empty)	-	-	-	-	-	Ffs5u74TT2IvfYKw61	image/jpeg
1323198450.822025	CkTNR4TD5q0Calrgc	192.168.22.10	1042	83.149.124.225	80	1	GET	rpc.convertor.pro	/crossdomain.xml	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	179	200	OK	-	-	-	(empty)	-	-	-	-	-	Fe1L5g2A6SRRKcKKxh	text/plain
1323198450.822301	CkGmCg3nZ4GRMrhxN6	192.168.22.10	1038	83.149.127.79	80	5	GET	winsonlinepoker.com	/index_files/pokermid2.jpg	http://winsonlinepoker.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2571	200	OK	-	-	-	(empty)	-	-	-	-	-	F8DINc4gJ2yFwRurkf	image/jpeg
1323198450.8113	CUAWZy13f7bS2ri0ig	192.168.22.10	1039	83.149.127.79	80	3	GET	winsonlinepoker.com	/index_files/ebooklarge.jpg	http://winsonlinepoker.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	91805	200	OK	-	-	-	(empty)	-	-	-	-	-	FivEBW3fQGHUiqgT6	image/jpeg
1323198451.06374	CkGmCg3nZ4GRMrhxN6	192.168.22.10	1038	83.149.127.79	80	6	GET	winsonlinepoker.com	/index_files/pixel.gif	http://winsonlinepoker.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	43	200	OK	-	-	-	(empty)	-	-	-	-	-	Fl0hhCo7uLjL0ppP5	image/gif
1323198451.062362	CkTNR4TD5q0Calrgc	192.168.22.10	1042	83.149.124.225	80	2	POST	rpc.convertor.pro	/trs/remote/	http://winsonlinepoker.com/index_files/counter.swf	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	221	92	200	OK	-	-	-	(empty)	-	-	-	FjzEnG3I7KLqEgTtKf	text/plain	FHq46r2wWRFzc0rOY4	text/plain
1323198451.159969	CUAWZy13f7bS2ri0ig	192.168.22.10	1039	83.149.127.79	80	4	GET	winsonlinepoker.com	/index_files/orderbutton.jpg	http://winsonlinepoker.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	22990	200	OK	-	-	-	(empty)	-	-	-	-	-	Fh2kz34sXQnLJNJvH5	image/jpeg
1323198451.161681	CkGmCg3nZ4GRMrhxN6	192.168.22.10	1038	83.149.127.79	80	7	GET	winsonlinepoker.com	/index_files/cards.gif	http://winsonlinepoker.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5342	200	OK	-	-	-	(empty)	-	-	-	-	-	FOOvB11OzirJY0yu3f	image/gif
1323198451.308321	CUAWZy13f7bS2ri0ig	192.168.22.10	1039	83.149.127.79	80	5	GET	winsonlinepoker.com	/index_files/bullet.jpg	http://winsonlinepoker.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	24354	200	OK	-	-	-	(empty)	-	-	-	-	-	F7v1nq2AC8S2YgqNm8	image/jpeg
1323198451.308672	CkGmCg3nZ4GRMrhxN6	192.168.22.10	1038	83.149.127.79	80	8	GET	winsonlinepoker.com	/index_files/seanparty.jpg	http://winsonlinepoker.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	9491	200	OK	-	-	-	(empty)	-	-	-	-	-	F93bJ729dSQMqUglP7	image/jpeg
1323198451.468059	CUAWZy13f7bS2ri0ig	192.168.22.10	1039	83.149.127.79	80	6	GET	winsonlinepoker.com	/index_files/B55A6FB9EFFE3D239D87FE18E4EB9D51.png	http://winsonlinepoker.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1191	200	OK	-	-	-	(empty)	-	-	-	-	-	FcJvyZxvjzK8003Gd	image/png
1323198451.468412	CkGmCg3nZ4GRMrhxN6	192.168.22.10	1038	83.149.127.79	80	9	GET	winsonlinepoker.com	/index_files/footer2.jpg	http://winsonlinepoker.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	60206	200	OK	-	-	-	(empty)	-	-	-	-	-	FBssXQ1RdbBuTZSOea	image/jpeg
1323198451.596954	CUAWZy13f7bS2ri0ig	192.168.22.10	1039	83.149.127.79	80	7	GET	winsonlinepoker.com	/index_files/counter.swf	http://winsonlinepoker.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	18402	200	OK	-	-	-	(empty)	-	-	-	-	-	Fe1HC51CeAYqngCk39	application/x-shockwave-flash
