#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-09-58-44
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1340137457.154289	CGj97K2hG0wxC4vmc3	192.168.91.10	1029	98.124.198.1	80	1	GET	charityairsupport.org	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	185	302	Object moved	-	-	-	(empty)	-	-	-	-	-	FymnQkhUT183Myhv8	text/html
1340137457.288348	CYQ6zV3JZsG4Vweec8	192.168.91.10	1030	178.239.62.11	80	1	GET	next.bodysportcapoeira.com	/main.php?page=3081100e9fdaf127	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	61880	200	OK	-	-	-	(empty)	-	-	-	-	-	Fe5u69DwXbQT4QMRf	text/html
1340137460.12906	CYQ6zV3JZsG4Vweec8	192.168.91.10	1030	178.239.62.11	80	2	GET	next.bodysportcapoeira.com	/w.php?f=97d19&e=2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	31744	200	OK	-	-	-	(empty)	-	-	-	-	-	FXgjo01XLs6KhF6CVl	application/x-dosexec
1340137460.586324	CYQ6zV3JZsG4Vweec8	192.168.91.10	1030	178.239.62.11	80	3	GET	next.bodysportcapoeira.com	/data/ap2.php	http://next.bodysportcapoeira.com/main.php?page=3081100e9fdaf127	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	23119	200	OK	-	-	-	(empty)	-	-	-	-	-	F8z6Fp1NvzEbP7QTM5	application/pdf
1340137460.716528	CPo28a3TtHSdBnYuYg	192.168.91.10	1037	178.239.62.11	80	1	GET	next.bodysportcapoeira.com	/data/field.swf	http://next.bodysportcapoeira.com/main.php?page=3081100e9fdaf127	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1547	200	OK	-	-	-	(empty)	-	-	-	-	-	FTjKqA3I9PeraC4mG8	application/x-shockwave-flash
1340137463.860988	CUrKRZPqOgJePzqrg	192.168.91.10	1038	188.190.126.75	80	1	POST	WWWW.ACEBPSK9.COM	/vepof83/gw3t3s.php	-	Mozilla/4.0 (compatible; MSIE 5.0; Windows 98)	388	16	200	OK	-	-	-	(empty)	-	-	-	F8GfrK3yiVi7WAaKnl	binary	FUPC5m2l83fNFuko3i	text/plain
1340137464.263887	CJiVAo1KggWtNz0ih	192.168.91.10	1039	72.249.47.165	80	1	GET	tisdale.us	/pd.exe	-	Mozilla/4.0 (compatible; MSIE 5.0; Windows 98)	0	188928	200	OK	-	-	-	(empty)	-	-	-	-	-	FUBz6T1M49ebSl0xVi	application/x-dosexec
1340137464.791837	CaSJxx2mGATvMh7ryj	192.168.91.10	1041	208.91.207.10	80	1	GET	promos.fling.com	/geo/txt/city.php	-	-	0	28	200	OK	-	-	-	(empty)	-	-	-	-	-	Fg82WhGUjjCO1Jrj3	text/plain
1340137464.922616	CbIIaigM5e8hFoJdd	192.168.91.10	1042	184.172.204.122	80	1	GET	livecounter.co	/count.php?id=587&c=1&d=7&s=0	-	Opera/9 (Windows NT 5.1; US; x86)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1340137465.067618	CuD03L5Dojbxh3HMd	192.168.91.10	1044	184.172.204.122	80	1	GET	livecounter.co	/count.php?id=587&c=2&d=7&s=121	-	Opera/9 (Windows NT 5.1; US; x86)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1340137465.4399	CsPOSG3FxX5EQ3oQw5	192.168.91.10	1046	184.172.204.122	80	1	GET	livecounter.co	/count.php?id=587&c=3&d=7&s=131	-	Opera/9 (Windows NT 5.1; US; x86)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1340137465.922727	CWBcsz3QiZ1auLQ0r6	192.168.91.10	1048	184.172.204.122	80	1	GET	livecounter.co	/count.php?id=587&c=4&d=7&s=1	-	Opera/9 (Windows NT 5.1; US; x86)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1340137466.017031	CALwOE8g6F08A5aBe	192.168.91.10	1050	184.172.204.122	80	1	GET	livecounter.co	/count.php?id=587&c=5&d=7&s=20	-	Opera/9 (Windows NT 5.1; US; x86)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1340137467.916733	CeEvJL17VJCIuihiP	192.168.91.10	1056	184.172.204.122	80	1	GET	livecounter.co	/count.php?id=587&c=6&d=7&s=21	-	Opera/9 (Windows NT 5.1; US; x86)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1340137467.956671	CCXXJl2uG1QdV1EFMh	192.168.91.10	1059	184.172.204.122	80	1	GET	livecounter.co	/count.php?id=587&c=7&d=7&s=30	-	Opera/9 (Windows NT 5.1; US; x86)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1340137467.975768	CbaBri1UVZkqqK3O64	192.168.91.10	1062	184.172.204.122	80	1	GET	livecounter.co	/count.php?id=587&c=8&d=7&s=31	-	Opera/9 (Windows NT 5.1; US; x86)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1340137485.230971	CPo28a3TtHSdBnYuYg	192.168.91.10	1037	178.239.62.11	80	2	GET	next.bodysportcapoeira.com	/w.php?f=97d19&e=4	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	31744	200	OK	-	-	-	(empty)	-	-	-	-	-	FltEwN2zcE2bLajDX4	application/x-dosexec
1340137485.599233	C57gd81qCuTZ31m0tf	192.168.91.10	1065	178.239.62.11	80	1	GET	next.bodysportcapoeira.com	/Half.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	50858	200	OK	-	-	-	(empty)	-	-	-	-	-	F9H9CkjK4Eg37Okqi	application/zip
1340137486.179511	Crvf834e4rH4kxHsh7	192.168.91.10	1066	72.249.47.165	80	1	GET	tisdale.us	/pd.exe	-	Mozilla/4.0 (compatible; MSIE 5.0; Windows 98)	0	188928	200	OK	-	-	-	(empty)	-	-	-	-	-	FKGRTn1N04h9nRiLkg	application/x-dosexec
1340137486.789697	CpVsUW3bLKBJJQIX58	192.168.91.10	1068	208.91.207.10	80	1	GET	promos.fling.com	/geo/txt/city.php	-	-	0	28	200	OK	-	-	-	(empty)	-	-	-	-	-	FHK48x2Sv3zLT0k6Me	text/plain
1340137486.895852	CmYF3gC26rJcPD8Fb	192.168.91.10	1071	184.172.204.122	80	1	GET	livecounter.co	/count.php?id=587&c=2&d=7&s=110	-	Opera/9 (Windows NT 5.1; US; x86)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1340137486.895993	CfVdM01lSw2xH1z7ng	192.168.91.10	1069	184.172.204.122	80	1	GET	livecounter.co	/count.php?id=587&c=1&d=7&s=0	-	Opera/9 (Windows NT 5.1; US; x86)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1340137486.897149	CEgZcn4kHW8LyKm0R8	192.168.91.10	1073	184.172.204.122	80	1	GET	livecounter.co	/count.php?id=587&c=3&d=7&s=10	-	Opera/9 (Windows NT 5.1; US; x86)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1340137487.903577	CwE7xv1zKPzXndzb65	192.168.91.10	1075	178.239.62.11	80	1	GET	next.bodysportcapoeira.com	/w.php?f=97d19&e=0	-	Java/1.6.0_10	0	31744	200	OK	-	-	-	(empty)	-	-	-	-	-	FZSdkP35zP4qfJ1z4	application/x-dosexec
1340137489.119787	C8Zqyq4snYiyHuBMja	192.168.91.10	1076	72.249.47.165	80	1	GET	tisdale.us	/pd.exe	-	Mozilla/4.0 (compatible; MSIE 5.0; Windows 98)	0	188928	200	OK	-	-	-	(empty)	-	-	-	-	-	FZUFvj4n0ZBl5a9JCb	application/x-dosexec
1340137489.657622	CGxAxjaQIx68DDg7d	192.168.91.10	1078	208.91.207.10	80	1	GET	promos.fling.com	/geo/txt/city.php	-	-	0	30	200	OK	-	-	-	(empty)	-	-	-	-	-	Fu5bzz3cvl43tpMw8f	text/plain
1340137489.767932	CB3AyX12fCfzlZKRg	192.168.91.10	1079	184.172.204.122	80	1	GET	livecounter.co	/count.php?id=587&c=1&d=7&s=0	-	Opera/9 (Windows NT 5.1; US; x86)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1340137489.769045	CeUoDx20A6ggNQXGyj	192.168.91.10	1081	184.172.204.122	80	1	GET	livecounter.co	/count.php?id=587&c=2&d=7&s=110	-	Opera/9 (Windows NT 5.1; US; x86)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1340137489.770419	COD7yW1tBMluu8PjMi	192.168.91.10	1083	184.172.204.122	80	1	GET	livecounter.co	/count.php?id=587&c=3&d=7&s=10	-	Opera/9 (Windows NT 5.1; US; x86)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1340137499.136805	CsNpMZL98GmR4XPrg	192.168.91.10	1090	63.217.184.67	80	1	GET	fpdownload2.macromedia.com	/get/flashplayer/update/current/xml/version_en_win_ax.xml	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1111	200	OK	-	-	-	(empty)	-	-	-	-	-	Fw0WdG3hCPfFO2gQx4	text/plain
#close	2014-04-03-09-58-45
