#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-17-22
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1327616055.465519	CDZU9a1mVFCq7AsSV1	192.168.121.10	1030	208.64.123.45	80	1	GET	1ts8cdzx65mueo.l91.me	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	178	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FS17Bg2Mgj9epriJR2	text/html
1327616055.708247	CSYkb13eTyPe4Ik9o4	192.168.121.10	1031	64.34.154.74	80	1	GET	fasttrackonlinesurveys.com	/d/traf2.com	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1728	404	Not Found	-	-	-	(empty)	-	-	-	-	-	F9kkbD4MuHoybV0HX1	text/html
1327616055.83378	CWlG1n2Wzyrmgv8AKb	192.168.121.10	1032	209.17.74.150	80	1	GET	i35.tinypic.com	/n4ts0p.png	http://fasttrackonlinesurveys.com/d/traf2.com	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	97370	200	OK	-	-	-	(empty)	-	-	-	-	-	FnpAfG2pTwkzXmqBDe	image/png
1327616056.180029	COjnH41qFFgebqskSe	192.168.121.10	1033	64.34.154.74	80	1	GET	i.d2f3.com	/oops/index.php?e9cb9458b4b97866bf6dfbbc558dfc77	http://fasttrackonlinesurveys.com/d/traf2.com	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	43950	200	OK	-	-	-	(empty)	-	-	-	-	-	F8etoo4azmHsvEKIWa	text/html
1327616057.732566	CSGLjzNVQlPjKTAI2	192.168.121.10	1034	64.34.154.74	80	1	GET	i.d2f3.com	/oops/server_privileges.php?6e973055ca2c946ef80a7baf6229c188=1	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	267264	200	OK	-	-	-	(empty)	-	-	-	-	-	FsXwyg3p7kCxhF85kf	application/x-dosexec
1327616059.830348	CIAoxA2SNm4CefTHh2	192.168.121.10	1042	65.39.172.126	80	1	GET	network.stripthere.com	/mars/iLog.php?dl=5.9&log=Loader: 505^BB	-	IE7.0	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1327616059.838479	CJvwcpEqI2X4Fkzq5	192.168.121.10	1041	64.34.154.74	80	1	GET	fasttrackonlinesurveys.com	/Java.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2755	200	OK	-	-	-	(empty)	-	-	-	-	-	FeYwGuir7LVN4DHvb	application/zip
1327616059.839542	CDRJNu2DodW9SlmQ8b	192.168.121.10	1039	64.34.154.74	80	1	GET	i.d2f3.com	/oops/images/938a99f1be85e19406438f9a572fdf71.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	5380	200	OK	-	-	-	(empty)	-	-	-	-	-	FWo54N3gEopM3siTch	application/jar
1327616059.840935	CrjTzWB9sW1Mhte7e	192.168.121.10	1040	64.34.154.74	80	1	GET	i.d2f3.com	/oops/images/r/938a99f1be85e19406438f9a572fdf71.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2909	200	OK	-	-	-	(empty)	-	-	-	-	-	FGOvCQ1uI5nStkzDc7	application/jar
1327616059.964947	CkxEB53uvcJp5lbZQd	192.168.121.10	1043	64.34.154.74	80	1	GET	i.d2f3.com	/oops/images/r/938a99f1be85e19406438f9a572fdf71.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2909	200	OK	-	-	-	(empty)	-	-	-	-	-	FJpopErqMJwjFdOzh	application/jar
1327616059.971811	CcjPzliLHYnoq3Qpb	192.168.121.10	1044	64.34.154.74	80	1	GET	i.d2f3.com	/oops/images/938a99f1be85e19406438f9a572fdf71.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	5380	200	OK	-	-	-	(empty)	-	-	-	-	-	FffpYk15CkVo06Quhi	application/jar
