#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-09-58-42
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1357330002.08016	CotfIS3GK3tNjAFLv1	192.168.114.10	1030	212.95.58.89	80	1	GET	russiasexygirls.net	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1357330002.469067	CmscFh2Y5HY2wrVOmh	192.168.114.10	1031	94.23.76.187	80	1	GET	kp.22tungalenko.info	/?71e04011001fd7b396a10727592ee13c=15&0763ff9292a34d66825533336694d234=	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	517	200	OK	-	-	-	(empty)	-	-	-	-	-	FCrgWC3eneDvxq5Q08	text/html
1357330002.748824	CKyaH33eQUkIYF9HBh	192.168.114.10	1032	94.23.76.187	80	1	GET	kp.22tungalenko.info	/972c66e66298f504897edcbc7f7061df.eot	http://kp.22tungalenko.info/?71e04011001fd7b396a10727592ee13c=15&0763ff9292a34d66825533336694d234=	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4190	200	OK	-	-	-	(empty)	-	-	-	-	-	Fm6U9Z2lptXYxdEzz9	application/vnd.ms-fontobject
1357330004.463017	CDdJ0W2QNs9ETwo7X1	192.168.114.10	1034	94.23.76.187	80	1	GET	94.23.76.187	/?e7ec31b939c1d80e45f9df0520bb7009	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	71680	200	OK	-	-	-	(empty)	-	-	-	-	-	FeEomX3vtOyaruIQOj	application/x-dosexec
1357330007.450516	CiLKl32gFKZc3FHp3h	192.168.114.10	1039	94.23.76.187	80	1	GET	kp.22tungalenko.info	/010bb8d4375a5a29ce5910a169280fa5/a17ebf9054cf56e253391791664cb83c.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	9293	200	OK	-	-	-	(empty)	-	-	-	-	-	FU3hWr1JtlgMxE1uYg	application/jar
1357330007.748674	CvyW0a3gDCmEcvLjf2	192.168.114.10	1041	94.23.76.187	80	1	GET	kp.22tungalenko.info	/010bb8d4375a5a29ce5910a169280fa5/a17ebf9054cf56e253391791664cb83c.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	9293	200	OK	-	-	-	(empty)	-	-	-	-	-	Fj9iVPsZ3ZmNO40zk	application/jar
1357330008.067769	CBbJY54jZqOeDPue29	192.168.114.10	1043	94.23.76.187	80	1	GET	kp.22tungalenko.info	/010bb8d4375a5a29ce5910a169280fa5/a17ebf9054cf56e253391791664cb83c.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	9293	200	OK	-	-	-	(empty)	-	-	-	-	-	FDwjgaLiMkyNQ1CN7	application/jar
1357330008.037875	CxrfDb2ZyHbcKKQlmf	192.168.114.10	1042	91.201.215.176	80	1	POST	91.201.215.176	/CallBack/SomeScripts/mgsNewPeer.php	-	-	96	58	200	OK	-	-	-	(empty)	-	-	-	F6sULt2e3K9ypSb7q4	text/plain	FB4c5OPirerJpnBhb	text/html
1357330008.371097	CVrRZ4jdC1gyYxAt9	192.168.114.10	1044	94.23.76.187	80	1	GET	kp.22tungalenko.info	/010bb8d4375a5a29ce5910a169280fa5/0	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	71680	200	OK	-	-	-	(empty)	-	-	-	-	-	FShHyc4enraQmOGM3e	binary
1357330008.846191	C8mgF3rXmPXXdpeBf	192.168.114.10	1045	91.201.215.176	80	1	POST	91.201.215.176	/CallBack/SomeScripts/mgsGetMGList.php	-	-	99	179	200	OK	-	-	-	(empty)	-	-	-	FWdNUO2YAYv1CA5pH2	text/plain	FGUpe6dj8GkVVVx58	text/html
1357330011.298187	CWQjLV3gY4o6iSjig8	192.168.114.10	1047	94.23.76.187	80	1	GET	kp.22tungalenko.info	/010bb8d4375a5a29ce5910a169280fa5/1	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	35800	200	OK	-	-	-	(empty)	-	-	-	-	-	FKsmBoOMntJeF4b5f	binary
