#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-01-04
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1357158628.999278	C3xIi73QlNTaO7Kf02	192.168.51.10	1030	188.72.204.12	80	1	GET	beemp3s.net	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1357158629.395604	CHilqXOA85OncedN4	192.168.51.10	1031	94.23.76.187	80	1	GET	hcn.1lafestoni.info	/?878c9821e61c7d3f63876e03817ee59a=18&4b6291e56bc93a8f16471a896d7342f0=	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	514	200	OK	-	-	-	(empty)	-	-	-	-	-	F5JKLy3OKLFI8vgVfb	text/html
1357158629.669056	CORhEnsCryOxkOMI8	192.168.51.10	1032	94.23.76.187	80	1	GET	hcn.1lafestoni.info	/c16b277055e50388e5bf8b0882cf2040.eot	http://hcn.1lafestoni.info/?878c9821e61c7d3f63876e03817ee59a=18&4b6291e56bc93a8f16471a896d7342f0=	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4190	200	OK	-	-	-	(empty)	-	-	-	-	-	FPnGDC1zOUHrABKuVj	application/vnd.ms-fontobject
1357158631.829488	C1r1ai1uRnJ7nSQPV5	192.168.51.10	1034	94.23.76.187	80	1	GET	94.23.76.187	/?e7ec31b939c1d80e45f9df0520bb7009	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	104448	200	OK	-	-	-	(empty)	-	-	-	-	-	FOyM2h2J8g52yBaNe4	application/x-dosexec
1357158639.176558	Civ9ld1ZgZ5oWRQuE5	192.168.51.10	1039	94.23.76.187	80	1	GET	hcn.1lafestoni.info	/e683f8e8298f3d2bc6dbcc5baee1060a/1d2aeeb2d04a9b1b5daf412a3cf9939f.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	9293	200	OK	-	-	-	(empty)	-	-	-	-	-	F9e6932Jt02ASkk9jg	application/jar
1357158639.451243	CdBteO1nQuyJMyLeG1	192.168.51.10	1040	94.23.76.187	80	1	GET	hcn.1lafestoni.info	/e683f8e8298f3d2bc6dbcc5baee1060a/1d2aeeb2d04a9b1b5daf412a3cf9939f.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	9293	200	OK	-	-	-	(empty)	-	-	-	-	-	FyNCR82XqdFSFfUdld	application/jar
1357158639.773874	C0qQ9Tvak733n3Xn4	192.168.51.10	1041	94.23.76.187	80	1	GET	hcn.1lafestoni.info	/e683f8e8298f3d2bc6dbcc5baee1060a/1d2aeeb2d04a9b1b5daf412a3cf9939f.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	9293	200	OK	-	-	-	(empty)	-	-	-	-	-	FxZ5k34ILIi53aweH5	application/jar
1357158640.086737	ChXygi1NH5pXiTvTe	192.168.51.10	1042	94.23.76.187	80	1	GET	hcn.1lafestoni.info	/e683f8e8298f3d2bc6dbcc5baee1060a/0	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	104448	200	OK	-	-	-	(empty)	-	-	-	-	-	F0t34G4xSLTzXPBdVa	binary
1357158643.916373	C9KgUC4VsriiTSlqUl	192.168.51.10	1045	85.17.136.97	80	1	GET	ighklplong.musicorange.info	/get.php	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FKeYNK1hBIF1qTLXLe	text/html
1357158646.225173	Csn1124dEPOCEuPkHl	192.168.51.10	1046	94.23.76.187	80	1	GET	hcn.1lafestoni.info	/e683f8e8298f3d2bc6dbcc5baee1060a/1	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	35328	200	OK	-	-	-	(empty)	-	-	-	-	-	FFKKPpFmVmVKu17J4	binary
1357158651.83002	Ck6YNF4lrREZeHNeec	192.168.51.10	1049	85.17.136.97	80	1	GET	ighklplong.musicorange.info	/get.php	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	Fnbf1GdP9SNnInAld	text/html
