#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-13-43
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1314989220.36767	CKvueOg05vJvWSDO3	192.168.42.10	1030	204.44.62.96	80	1	GET	dcfab.rsvpgenius.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	-	-
1314989220.493316	CE2zMK3B2pKjgqh2O5	192.168.42.10	1031	146.145.236.99	80	1	GET	dcfab.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5002	200	OK	-	-	-	(empty)	-	-	-	-	-	FNm8dB2CQ5F4msey88	text/html
1314989220.575164	CE2zMK3B2pKjgqh2O5	192.168.42.10	1031	146.145.236.99	80	2	GET	dcfab.com	/images/dcf_new.gif	http://dcfab.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5130	200	OK	-	-	-	(empty)	-	-	-	-	-	FqtYMJ2YcNHbC261ff	image/gif
1314989220.622556	CE2zMK3B2pKjgqh2O5	192.168.42.10	1031	146.145.236.99	80	3	GET	dcfab.com	/images/hhome3.gif	http://dcfab.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	10614	200	OK	-	-	-	(empty)	-	-	-	-	-	F1cV3U255Owz8Cnock	image/gif
1314989220.701914	CE2zMK3B2pKjgqh2O5	192.168.42.10	1031	146.145.236.99	80	4	GET	dcfab.com	/images/bhome3.gif	http://dcfab.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1423	200	OK	-	-	-	(empty)	-	-	-	-	-	FuubOu1GCV21XGv4Ma	image/gif
1314989220.746677	CE2zMK3B2pKjgqh2O5	192.168.42.10	1031	146.145.236.99	80	5	GET	dcfab.com	/images/bprdsrv3.gif	http://dcfab.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1970	200	OK	-	-	-	(empty)	-	-	-	-	-	Fr27LA4THi53pPhyD2	image/gif
1314989220.602992	CvV4SY23waWykIUN0f	192.168.42.10	1032	146.145.236.99	80	1	GET	dcfab.com	/images/SUB2X.JPG	http://dcfab.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	30307	200	OK	-	-	-	(empty)	-	-	-	-	-	FvF9bs1MmiS6uUo2sc	image/jpeg
1314989220.817741	CE2zMK3B2pKjgqh2O5	192.168.42.10	1031	146.145.236.99	80	6	GET	dcfab.com	/images/btoc3.gif	http://dcfab.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1390	200	OK	-	-	-	(empty)	-	-	-	-	-	FSMcCy2UYWBGikCSY6	image/gif
1314989220.818058	CvV4SY23waWykIUN0f	192.168.42.10	1032	146.145.236.99	80	2	GET	dcfab.com	/images/bfeed3.gif	http://dcfab.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1427	200	OK	-	-	-	(empty)	-	-	-	-	-	FBG7iV1T4HpOfesAY	image/gif
1314989220.901611	CE2zMK3B2pKjgqh2O5	192.168.42.10	1031	146.145.236.99	80	7	GET	dcfab.com	/images/div3.gif	http://dcfab.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2141	200	OK	-	-	-	(empty)	-	-	-	-	-	F7Bzfo2m1YJuwR6cI7	image/gif
1314989220.901898	CvV4SY23waWykIUN0f	192.168.42.10	1032	146.145.236.99	80	3	GET	dcfab.com	/images/PLANT1.JPG	http://dcfab.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	13561	200	OK	-	-	-	(empty)	-	-	-	-	-	F8zpBD3d4BBG3vVS73	image/jpeg
1314989220.944981	CE2zMK3B2pKjgqh2O5	192.168.42.10	1031	146.145.236.99	80	8	GET	dcfab.com	/cgi-bin/counts.exe?link=counters&loghost=on	http://dcfab.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	8037	200	OK	-	-	-	(empty)	-	-	-	-	-	FJr8xv1N8lK4b9NgA	application/x-dosexec
1314989220.985504	CvV4SY23waWykIUN0f	192.168.42.10	1032	146.145.236.99	80	4	GET	dcfab.com	/images/MailC201.gif	http://dcfab.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4196	200	OK	-	-	-	(empty)	-	-	-	-	-	FSV116fNCn9Se4Q94	image/gif
#close	2014-04-03-11-13-43
