#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-09-55-55
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1369680417.935018	ClQOf94CJFfcUZzHx	192.168.81.10	1030	31.170.167.250	80	1	GET	booksstorm.yuf.be	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1369680418.061731	CtUr661TQFFqyati1e	192.168.81.10	1031	31.170.163.241	80	1	GET	redirect.main-hosting.com	/cpu_exceeded.php?id=33390&domain=booksstorm.yuf.be&master=0	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	155	200	OK	-	-	-	(empty)	-	-	-	-	-	FIBDExMQzHMDTRcgc	text/html
1369680418.224044	CTmioU2WA4REcoB4r1	192.168.81.10	1032	174.37.233.209	80	1	GET	aff.ringtonepartner.com	/geo/preset/4966/2/?booksstorm.yuf.be	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1396	200	OK	-	-	-	(empty)	-	-	-	-	-	FqBKFBRnKd0lao061	text/html
1369680421.877045	CdOS754FbfeEPJY126	192.168.81.10	1035	178.63.45.183	80	1	GET	pageerror-download.com	/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1405271012_ea977a_118_226_51a3a9ad_4ad92461_0_0_0_2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4274	200	OK	-	-	-	(empty)	-	-	-	-	-	Fu5XKC2hOUfPUQ0ySa	text/html
1369680431.020761	CdOS754FbfeEPJY126	192.168.81.10	1035	178.63.45.183	80	2	GET	pageerror-download.com	/styles/browser.css	http://pageerror-download.com/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1405271012_ea977a_118_226_51a3a9ad_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6002	200	OK	-	-	-	(empty)	-	-	-	-	-	FnLQuaAGFi0IzuZu1	text/plain
1369680431.673055	CdOS754FbfeEPJY126	192.168.81.10	1035	178.63.45.183	80	3	GET	pageerror-download.com	/js/error.js	http://pageerror-download.com/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1405271012_ea977a_118_226_51a3a9ad_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2223	200	OK	-	-	-	(empty)	-	-	-	-	-	FgnNfs4a9QB1FTVlTg	text/plain
1369680431.848436	CsV1Ri3F55wD26mIQ3	192.168.81.10	1041	74.125.137.113	80	1	GET	www.google-analytics.com	/ga.js	http://pageerror-download.com/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1405271012_ea977a_118_226_51a3a9ad_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	39601	200	OK	-	-	-	(empty)	-	-	-	-	-	FLJpbNAaztv7tQ1Fd	text/plain
1369680431.948057	CsV1Ri3F55wD26mIQ3	192.168.81.10	1041	74.125.137.113	80	2	GET	www.google-analytics.com	/__utm.gif?utmwv=5.4.2&utms=1&utmn=828286615&utmhn=pageerror-download.com&utmcs=utf-8&utmsr=800x600&utmvp=780x475&utmsc=24-bit&utmul=en-us&utmje=1&utmfl=10.0 r32&utmdt=Error: Plugin missing&utmhid=1656917443&utmr=-&utmp=/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1405271012_ea977a_118_226_51a3a9ad_4ad92461_0_0_0_2&utmht=1369694713859&utmac=UA-36620930-1&utmcc=__utma=142247987.1392181502.1369694714.1369694714.1369694714.1;+__utmz=142247987.1369694714.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none);&utmu=q~	http://pageerror-download.com/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1405271012_ea977a_118_226_51a3a9ad_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	35	200	OK	-	-	-	(empty)	-	-	-	-	-	FKJvFE4K6u88ExeVbi	image/gif
1369680431.969977	CuZHdF3xsD546FZoV6	192.168.81.10	1040	178.63.45.183	80	1	GET	pageerror-download.com	/images/attention.jpg	http://pageerror-download.com/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1405271012_ea977a_118_226_51a3a9ad_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5153	200	OK	-	-	-	(empty)	-	-	-	-	-	FJSrSK2BwpyD643wI5	image/jpeg
1369680432.099837	CuZHdF3xsD546FZoV6	192.168.81.10	1040	178.63.45.183	80	2	GET	pageerror-download.com	/error4ga.html?utm_source=1405271012_ea977a_118_226_51a3a9ad_4ad92461_0_0_0_2&utm_medium=&utm_campaign=2555296	http://pageerror-download.com/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1405271012_ea977a_118_226_51a3a9ad_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	726	200	OK	-	-	-	(empty)	-	-	-	-	-	FjC2HW1DGeVoh9s2I8	text/html
1369680432.2642	CsV1Ri3F55wD26mIQ3	192.168.81.10	1041	74.125.137.113	80	3	GET	www.google-analytics.com	/__utm.gif?utmwv=5.4.2&utms=1&utmn=161374415&utmhn=pageerror-download.com&utmcs=utf-8&utmsr=800x600&utmsc=24-bit&utmul=en-us&utmje=1&utmfl=10.0 r32&utmdt=error4ga&utmhid=578814371&utmr=0&utmp=/error4ga.html?utm_source=1405271012_ea977a_118_226_51a3a9ad_4ad92461_0_0_0_2&utm_medium=&utm_campaign=2555296&utmht=1369694714171&utmac=UA-36620930-1&utmcc=__utma=142247987.1392181502.1369694714.1369694714.1369694714.2;+__utmz=142247987.1369694714.2.2.utmcsr=1405271012_ea977a_118_226_51a3a9ad_4ad92461_0_0_0_2|utmccn=2555296|utmcmd=(not%20set);&utmu=q~	http://pageerror-download.com/error4ga.html?utm_source=1405271012_ea977a_118_226_51a3a9ad_4ad92461_0_0_0_2&utm_medium=&utm_campaign=2555296	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	35	200	OK	-	-	-	(empty)	-	-	-	-	-	Fi8SA01372255lREI8	image/gif
1369680432.226756	CuZHdF3xsD546FZoV6	192.168.81.10	1040	178.63.45.183	80	3	GET	pageerror-download.com	/images/green.jpg	http://pageerror-download.com/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1405271012_ea977a_118_226_51a3a9ad_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1434	200	OK	-	-	-	(empty)	-	-	-	-	-	FS9fJa3wI63TYenys7	image/jpeg
1369680432.357034	CuZHdF3xsD546FZoV6	192.168.81.10	1040	178.63.45.183	80	4	GET	pageerror-download.com	/images/red.jpg	http://pageerror-download.com/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1405271012_ea977a_118_226_51a3a9ad_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1434	200	OK	-	-	-	(empty)	-	-	-	-	-	F0lFW31gElluaL5GUh	image/jpeg
1369680431.817711	CdOS754FbfeEPJY126	192.168.81.10	1035	178.63.45.183	80	4	GET	pageerror-download.com	/images/chrome1_error.png	http://pageerror-download.com/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1405271012_ea977a_118_226_51a3a9ad_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1180	200	OK	-	-	-	(empty)	-	-	-	-	-	FURS1e4CW4X0k0iCdh	image/png
1369680437.027571	CuZHdF3xsD546FZoV6	192.168.81.10	1040	178.63.45.183	80	5	GET	pageerror-download.com	/images/bg.png	http://pageerror-download.com/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1405271012_ea977a_118_226_51a3a9ad_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1108	200	OK	-	-	-	(empty)	-	-	-	-	-	FfvZmA1SR2V1VzxNC8	image/png
1369680437.196126	CuZHdF3xsD546FZoV6	192.168.81.10	1040	178.63.45.183	80	6	GET	pageerror-download.com	/images/tl.gif	http://pageerror-download.com/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1405271012_ea977a_118_226_51a3a9ad_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1161	200	OK	-	-	-	(empty)	-	-	-	-	-	FAY0R44FcsHz9PK5Jb	image/gif
1369680437.33013	CuZHdF3xsD546FZoV6	192.168.81.10	1040	178.63.45.183	80	7	GET	pageerror-download.com	/images/tr.gif	http://pageerror-download.com/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1405271012_ea977a_118_226_51a3a9ad_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1163	200	OK	-	-	-	(empty)	-	-	-	-	-	FS8a9x2fdwUaTNFZyi	image/gif
1369680437.457199	CuZHdF3xsD546FZoV6	192.168.81.10	1040	178.63.45.183	80	8	GET	pageerror-download.com	/images/bl.gif	http://pageerror-download.com/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1405271012_ea977a_118_226_51a3a9ad_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1162	200	OK	-	-	-	(empty)	-	-	-	-	-	FhTt5AOZM97GdE72h	image/gif
1369680437.590381	CuZHdF3xsD546FZoV6	192.168.81.10	1040	178.63.45.183	80	9	GET	pageerror-download.com	/images/br.gif	http://pageerror-download.com/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1405271012_ea977a_118_226_51a3a9ad_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1161	200	OK	-	-	-	(empty)	-	-	-	-	-	F72SUq33Hg5ye1vGm7	image/gif
1369680437.02789	CdOS754FbfeEPJY126	192.168.81.10	1035	178.63.45.183	80	5	GET	pageerror-download.com	/images/download.jpg	http://pageerror-download.com/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1405271012_ea977a_118_226_51a3a9ad_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	10404	200	OK	-	-	-	(empty)	-	-	-	-	-	FRNZno4Hjpmy1ZQfFf	image/jpeg
1369680439.041893	CsV1Ri3F55wD26mIQ3	192.168.81.10	1041	74.125.137.113	80	4	GET	www.google-analytics.com	/__utm.gif?utmwv=5.4.2&utms=2&utmn=1810649400&utmhn=pageerror-download.com&utmt=event&utme=5(download*auto*ie)&utmcs=utf-8&utmsr=800x600&utmvp=780x475&utmsc=24-bit&utmul=en-us&utmje=1&utmfl=10.0 r32&utmdt=Error: Plugin missing&utmhid=1656917443&utmr=-&utmp=/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1405271012_ea977a_118_226_51a3a9ad_4ad92461_0_0_0_2&utmht=1369694720921&utmac=UA-36620930-1&utmcc=__utma=142247987.1392181502.1369694714.1369694714.1369694714.2;+__utmz=142247987.1369694714.2.2.utmcsr=1405271012_ea977a_118_226_51a3a9ad_4ad92461_0_0_0_2|utmccn=2555296|utmcmd=(not%20set);&utmu=6~	http://pageerror-download.com/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1405271012_ea977a_118_226_51a3a9ad_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	35	200	OK	-	-	-	(empty)	-	-	-	-	-	FlzWx43PvU6O9fbGa9	image/gif
1369680439.394127	CkitPjaIednaHWgFd	192.168.81.10	1042	5.9.68.144	80	1	GET	offers.avazuscd.net	/tracking/redirect/redirect.php?kw=1405271012_ea977a_118_226_51a3a9ad_4ad92461_0_0_0_2&id=2555296&vurl=&czid=YXZhenUyNTU1Mjk2MQ==	http://pageerror-download.com/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1405271012_ea977a_118_226_51a3a9ad_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	245	200	OK	-	-	-	(empty)	-	-	-	-	-	FyoCcp3f4vXRxaNUm	text/html
1369680439.575337	CpBewY29ithtFt8TZ4	192.168.81.10	1043	204.246.175.217	80	1	GET	d1ljy82xpaaux9.cloudfront.net	/n/50aa6885-2418-4487-a8d6-031d5bc06f2f/FlvMPlayer.exe	http://pageerror-download.com/error.php?campaignid=2555296&czid=YXZhenUyNTU1Mjk2MQ==&subid=1405271012_ea977a_118_226_51a3a9ad_4ad92461_0_0_0_2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
