#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-02-52
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1355633400.152945	C1v5wolZ7QQbK8uB3	192.168.3.10	1029	216.239.32.21	80	1	GET	pornochilango.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	226	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	Fg3FkL2oAOSLKC7wSj	text/html
1355633400.166282	CNHoMs4eqceTnbq6d6	192.168.3.10	1030	74.125.134.121	80	1	GET	www.pornochilango.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	223071	200	OK	-	-	-	(empty)	-	-	-	-	-	FfRjaj18T8y7HpZGT	text/html
1355633400.624304	CKQBcG2HoUQIbJAWp9	192.168.3.10	1036	109.205.138.42	80	1	GET	www.amateurmexicano.com	/mobile.js	http://www.pornochilango.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2113	200	OK	-	-	-	(empty)	-	-	-	-	-	F8Let13RoTLTvvBDO3	text/plain
1355633400.874349	C3tobV3rg5ISr8gl01	192.168.3.10	1039	74.125.140.191	80	1	GET	www.blogger.com	/static/v1/widgets/1937454905-widget_css_bundle.css	http://www.pornochilango.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	19335	200	OK	-	-	-	(empty)	-	-	-	-	-	Fu5hy32crYKpqyBlYe	text/plain
1355633400.874778	C4HZVP3y4qAv3YvC69	192.168.3.10	1040	74.125.140.191	80	1	GET	www.blogger.com	/static/v1/v-css/3307124014-interstitial_bundle.css	http://www.pornochilango.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3404	200	OK	-	-	-	(empty)	-	-	-	-	-	FDFoYwLxhHAATRjB9	text/plain
1355633400.879602	C3tobV3rg5ISr8gl01	192.168.3.10	1039	74.125.140.191	80	2	GET	www.blogger.com	/dyn-css/authorization.css?targetBlogID=8113028722257492901&zx=92c3c7d1-462b-4a9d-95ac-39f8cddd9467	http://www.pornochilango.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1	200	OK	-	-	-	(empty)	-	-	-	-	-	FEMpZT2h3WqMlqqVba	application/octet-stream
1355633400.873486	CiRuom36ehbH8U6m21	192.168.3.10	1038	74.125.229.194	80	1	GET	www.google-analytics.com	/ga.js	http://www.pornochilango.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	37362	200	OK	-	-	-	(empty)	-	-	-	-	-	FNt7XV1y42izf7AV46	text/plain
1355633400.925816	C7aE1e3XgsvHQ4IHR6	192.168.3.10	1041	74.125.134.95	80	1	GET	ajax.googleapis.com	/ajax/libs/jquery/1.4.2/jquery.min.js	http://www.pornochilango.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	72174	200	OK	-	-	-	(empty)	-	-	-	-	-	FswSiB9CNxCX61pNj	text/plain
1355633401.060999	CiRuom36ehbH8U6m21	192.168.3.10	1038	74.125.229.194	80	2	GET	www.google-analytics.com	/__utm.gif?utmwv=5.3.8&utms=1&utmn=724190365&utmhn=www.pornochilango.com&utmcs=utf-8&utmsr=800x600&utmvp=796x475&utmsc=24-bit&utmul=en-us&utmje=1&utmfl=10.0 r32&utmdt=PORNO CHILANGO&utmhid=1594943051&utmr=-&utmp=/&utmac=UA-35652768-1&utmcc=__utma=257503242.1499088309.1355647682.1355647682.1355647682.1;+__utmz=257503242.1355647682.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none);&utmu=q~	http://www.pornochilango.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	35	200	OK	-	-	-	(empty)	-	-	-	-	-	FPjti71jEt4RRtWoa6	image/gif
1355633401.264888	C4HZVP3y4qAv3YvC69	192.168.3.10	1040	74.125.140.191	80	2	GET	www.blogger.com	/blogin.g?blogspotURL=http://www.pornochilango.com/	http://www.pornochilango.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1789	200	OK	-	-	-	(empty)	-	-	-	-	-	F2YsPe3Cp86p43jy41	text/html
1355633401.302991	C4HZVP3y4qAv3YvC69	192.168.3.10	1040	74.125.140.191	80	3	GET	www.blogger.com	/img/blogger-logo-small.png	http://www.blogger.com/blogin.g?blogspotURL=http://www.pornochilango.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2106	200	OK	-	-	-	(empty)	-	-	-	-	-	F3BSwm3amhkRE2g3mg	image/png
1355633401.302499	C3tobV3rg5ISr8gl01	192.168.3.10	1039	74.125.140.191	80	3	GET	www.blogger.com	/static/v1/v-css/1190788392-new_ui_static_pages.css	http://www.blogger.com/blogin.g?blogspotURL=http://www.pornochilango.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	28845	200	OK	-	-	-	(empty)	-	-	-	-	-	FeHcWr13bpyQoEVc27	text/plain
1355633401.322618	C0G1ut4ep2I6l7mVah	192.168.3.10	1043	74.125.134.95	80	1	GET	fonts.googleapis.com	/css?family=Open+Sans:300	http://www.blogger.com/blogin.g?blogspotURL=http://www.pornochilango.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	539	200	OK	-	-	-	(empty)	-	-	-	-	-	FykF7w4duXrFVZri8c	text/plain
