#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-32-50
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1338690292.94166	CMZpUGBKcefrIE5i3	192.168.63.10	1030	50.63.72.1	80	1	GET	alwayssafeandhealthy.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	-	-
1338690293.334923	ChKBYi4fTcqacwkvq6	192.168.63.10	1031	50.63.72.1	80	1	GET	www.alwayssafeandhealthy.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	15831	200	OK	-	-	-	(empty)	-	-	-	-	-	F2CTNu4IhJLLc1VGQg	text/html
1338690293.749925	C9FT1u2NDZYlmx5wR9	192.168.63.10	1032	173.194.79.95	80	1	GET	ajax.googleapis.com	/ajax/libs/jquery/1.4.2/jquery.min.js	http://www.alwayssafeandhealthy.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	72174	200	OK	-	-	-	(empty)	-	-	-	-	-	Fxtbgd2JN3JAcft4m9	text/plain
1338690293.847256	ChKBYi4fTcqacwkvq6	192.168.63.10	1031	50.63.72.1	80	2	GET	www.alwayssafeandhealthy.com	/wp-includes/js/l10n.js?ver=20101110	http://www.alwayssafeandhealthy.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	308	200	OK	-	-	-	(empty)	-	-	-	-	-	FEkZjz1SANV1XyyLzf	text/plain
1338690293.909205	ChKBYi4fTcqacwkvq6	192.168.63.10	1031	50.63.72.1	80	3	GET	www.alwayssafeandhealthy.com	/wp-content/plugins/cforms/js/jquery.js?ver=1.6.2	http://www.alwayssafeandhealthy.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	91555	200	OK	-	-	-	(empty)	-	-	-	-	-	FzaR6W1QeAH8avFglf	text/html
1338690294.240787	ChKBYi4fTcqacwkvq6	192.168.63.10	1031	50.63.72.1	80	4	GET	www.alwayssafeandhealthy.com	/wp-content/plugins/wp-external-links/js/external-links.js?ver=1.10	http://www.alwayssafeandhealthy.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1744	200	OK	-	-	-	(empty)	-	-	-	-	-	FLEOCf4MDeFPmM7YLe	text/plain
1338690294.362688	ChKBYi4fTcqacwkvq6	192.168.63.10	1031	50.63.72.1	80	5	GET	www.alwayssafeandhealthy.com	/wp-content/plugins/cforms/styling/cforms.css	http://www.alwayssafeandhealthy.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	9653	200	OK	-	-	-	(empty)	-	-	-	-	-	F6ZQDi4hO8xKsXN8qa	text/plain
1338690294.423228	CkdHwv3JfUacz9XVB2	192.168.63.10	1033	50.63.72.1	80	1	GET	www.alwayssafeandhealthy.com	/wp-content/plugins/cforms/js/cforms.js	http://www.alwayssafeandhealthy.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	17700	200	OK	-	-	-	(empty)	-	-	-	-	-	F9ogBi2oJOukSdT1L7	text/plain
1338690294.487471	ChKBYi4fTcqacwkvq6	192.168.63.10	1031	50.63.72.1	80	6	GET	www.alwayssafeandhealthy.com	/wp-content/plugins/cforms/styling/calendar.css	http://www.alwayssafeandhealthy.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2109	200	OK	-	-	-	(empty)	-	-	-	-	-	Fwy5oFAjNN0nvY3lk	text/plain
1338690294.622146	CkdHwv3JfUacz9XVB2	192.168.63.10	1033	50.63.72.1	80	2	GET	www.alwayssafeandhealthy.com	/wp-content/themes/Safe_&_Healthy/style.css	http://www.alwayssafeandhealthy.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	29492	200	OK	-	-	-	(empty)	-	-	-	-	-	FvCSYf2wOWMlgeQCr4	text/plain
1338690294.709508	ChKBYi4fTcqacwkvq6	192.168.63.10	1031	50.63.72.1	80	7	GET	www.alwayssafeandhealthy.com	/wp-content/themes/Safe_&_Healthy/swisscl-webfont.eot?	http://www.alwayssafeandhealthy.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	33886	200	OK	-	-	-	(empty)	-	-	-	-	-	FBgrRn1P4fRjFvPhl1	application/vnd.ms-fontobject
1338690294.7497	C0g9IR3WxKy6tflhyd	192.168.63.10	1034	74.125.127.139	80	1	GET	www.google-analytics.com	/ga.js	http://www.alwayssafeandhealthy.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	36639	200	OK	-	-	-	(empty)	-	-	-	-	-	FG419V3sIIp6mPn1X	text/plain
