#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-13-00
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1357071301.839182	CehOXSg5jO3YRc378	192.168.89.10	1030	95.168.173.91	80	1	GET	hornyteenboys.org	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1357071302.209148	C9YBwb9rxncnMcIc4	192.168.89.10	1031	94.23.76.187	80	1	GET	ldxbo.u12hanhenlo.info	/?816728f8dd83c24330115fdf949f53e6=27&caffb49d3dac214cb73bee5cbe426174=	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	523	200	OK	-	-	-	(empty)	-	-	-	-	-	FunsDA3qrZg8g8ktF	text/html
1357071302.473991	Ce5aXP1ILOH06FgmTa	192.168.89.10	1032	94.23.76.187	80	1	GET	ldxbo.u12hanhenlo.info	/5a291d356645df479655b0a7015bcda0.eot	http://ldxbo.u12hanhenlo.info/?816728f8dd83c24330115fdf949f53e6=27&caffb49d3dac214cb73bee5cbe426174=	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4190	200	OK	-	-	-	(empty)	-	-	-	-	-	FSou553GRevmxJeKJ6	application/vnd.ms-fontobject
1357071305.483722	CeWIuF29PrSGHdgRGe	192.168.89.10	1039	94.23.76.187	80	1	GET	ldxbo.u12hanhenlo.info	/e8e52ea48e7902222b11e4552727fefa/85f30332002c91dc997cf2993d3c9597.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	9293	200	OK	-	-	-	(empty)	-	-	-	-	-	FTD8cczddnKj5eSzf	application/jar
1357071304.870778	CGJn0Mpv4b4dp7pq1	192.168.89.10	1034	94.23.76.187	80	1	GET	94.23.76.187	/?e7ec31b939c1d80e45f9df0520bb7009	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	103936	200	OK	-	-	-	(empty)	-	-	-	-	-	Fwmch5aiSig8hYhka	application/x-dosexec
1357071305.7664	CvoZlG4oz5JQv3v3Fj	192.168.89.10	1040	94.23.76.187	80	1	GET	ldxbo.u12hanhenlo.info	/e8e52ea48e7902222b11e4552727fefa/85f30332002c91dc997cf2993d3c9597.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	9293	200	OK	-	-	-	(empty)	-	-	-	-	-	FpYWgC30yU05BsuZUd	application/jar
1357071306.196105	CxPSGf3nM5jgd2GxYb	192.168.89.10	1041	94.23.76.187	80	1	GET	ldxbo.u12hanhenlo.info	/e8e52ea48e7902222b11e4552727fefa/85f30332002c91dc997cf2993d3c9597.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	9293	200	OK	-	-	-	(empty)	-	-	-	-	-	FGdo6s3STU0ekTBij7	application/jar
1357071306.514721	CyiP9641i8T4TB9cdf	192.168.89.10	1042	94.23.76.187	80	1	GET	ldxbo.u12hanhenlo.info	/e8e52ea48e7902222b11e4552727fefa/0	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	103936	200	OK	-	-	-	(empty)	-	-	-	-	-	F9kup41rfBFs493aWf	binary
1357071308.125509	C8RbSy2nJHOLZU8vtc	192.168.89.10	1044	94.23.76.187	80	1	GET	ldxbo.u12hanhenlo.info	/e8e52ea48e7902222b11e4552727fefa/2	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	186368	200	OK	-	-	-	(empty)	-	-	-	-	-	F1ZNGd4HiKSmfY3Y26	binary
1357071310.207617	Cqu5MC3ESOa1LbEgUl	192.168.89.10	1045	94.23.76.187	80	1	GET	ldxbo.u12hanhenlo.info	/e8e52ea48e7902222b11e4552727fefa/3	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FWug6WRgdReIYDZGj	text/html
1357071310.471435	C3w8M83LaTIG6xSpR7	192.168.89.10	1046	94.23.76.187	80	1	GET	ldxbo.u12hanhenlo.info	/e8e52ea48e7902222b11e4552727fefa/4	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FKYcrI37a6NAvQahha	text/html
1357071307.45079	CXO1Gc4kQ3wxLpEzaj	192.168.89.10	1043	94.23.76.187	80	1	GET	ldxbo.u12hanhenlo.info	/e8e52ea48e7902222b11e4552727fefa/1	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	0	-	-	-	-	-	(empty)	-	-	-	-	-	-	-
1357071327.365964	CC0MtM17M1iEHmgJDa	192.168.89.10	1049	78.140.131.158	80	1	GET	megaupload.com	/upload/fid=BwCRAAEAickAAAEFCAAAAAAAAAAAAAAAAAAAAABCDAwfCwAAABXZuujiEU1UrLhygiZvmW9kQONQAABVVVVVVVVVVVVVVVVVVVVVfejNAXzsGP2JyQAAVXd1bXNtfWNvZXMzMmhnOGc4OAJGkzUK3f4TbwAAAAAAAQcAAAAHAAAANFYA	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)	0	562	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FRwkAo1wiimm9WrAaa	text/html
#close	2014-04-03-10-13-01
