#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-01-12
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1327612266.278368	CPPS6120xXhrArnjQ6	192.168.3.10	1030	201.132.159.166	80	1	GET	g8yt.tragedywounds.in	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1327612266.643984	CcnAxy19sSG72AHwX7	192.168.3.10	1031	50.18.253.58	80	1	GET	next-step-2012.net	/main.php?page=ce57441e61ae2f12	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	80997	200	OK	-	-	-	(empty)	-	-	-	-	-	FRdqPf1uhdmJgYslx5	text/html
1327612279.465901	CcnAxy19sSG72AHwX7	192.168.3.10	1031	50.18.253.58	80	2	GET	next-step-2012.net	/w.php?f=19&e=2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	79872	200	OK	-	-	-	(empty)	-	-	-	-	-	FdgQ7D3Oq5cHZ4Hc57	application/x-dosexec
1327612283.758349	CcnAxy19sSG72AHwX7	192.168.3.10	1031	50.18.253.58	80	3	GET	next-step-2012.net	/content/adfp2.php?f=19	http://next-step-2012.net/main.php?page=ce57441e61ae2f12	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	13034	200	OK	-	-	-	(empty)	-	-	-	-	-	F73GqW3K8xknAeGG89	application/pdf
1327612285.051859	CBK8QJ3qg9SHKLoXuj	192.168.3.10	1036	50.18.253.58	80	1	GET	next-step-2012.net	/content/field.swf	http://next-step-2012.net/main.php?page=ce57441e61ae2f12	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1490	200	OK	-	-	-	(empty)	-	-	-	-	-	FTeQyCGmnObebVpIb	application/x-shockwave-flash
1327612285.331424	CJxIuz4nT19WCX4aCk	192.168.3.10	1037	50.18.253.58	80	1	GET	next-step-2012.net	/content/rino.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	4378	200	OK	-	-	-	(empty)	-	-	-	-	-	FhvU7G3oYY8tbxOY8a	application/zip
1327612301.964295	CyqGf72cfVWUO59gua	192.168.3.10	1039	50.18.253.58	80	1	GET	next-step-2012.net	/com.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	162	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FaCBBGxgDbF2i7OS2	text/html
1327612298.88603	CcnAxy19sSG72AHwX7	192.168.3.10	1031	50.18.253.58	80	4	GET	next-step-2012.net	/w.php?f=19&e=4	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	79872	200	OK	-	-	-	(empty)	-	-	-	-	-	Fm9N2aAp91EMVb1Ka	application/x-dosexec
1327612303.06452	CyqGf72cfVWUO59gua	192.168.3.10	1039	50.18.253.58	80	2	GET	next-step-2012.net	/edu.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	162	404	Not Found	-	-	-	(empty)	-	-	-	-	-	Fm8Jrn3d1IAhwENGIk	text/html
1327612304.149184	CyqGf72cfVWUO59gua	192.168.3.10	1039	50.18.253.58	80	3	GET	next-step-2012.net	/net.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	162	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FCUzBz3elDoTSjOa2g	text/html
1327612305.216035	CyqGf72cfVWUO59gua	192.168.3.10	1039	50.18.253.58	80	4	GET	next-step-2012.net	/org.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	162	404	Not Found	-	-	-	(empty)	-	-	-	-	-	F7UnOr1jankorjT2N2	text/html
1327612306.467461	CyqGf72cfVWUO59gua	192.168.3.10	1039	50.18.253.58	80	5	GET	next-step-2012.net	/w.php?f=19&e=0	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	79872	200	OK	-	-	-	(empty)	-	-	-	-	-	FAkeMe1JmcIcKf9N6e	application/x-dosexec
#close	2014-04-03-10-01-12
