#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-24-46
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1327177490.79391	Ct2Q74ojTVyieIAUb	192.168.23.10	1030	95.8.66.221	80	1	GET	isunbmwbq.leaningmenchu.ru	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1327177497.645892	Cyi6EZEIauvCwNEr3	192.168.23.10	1035	176.34.179.106	80	1	GET	egg8.net	/main.php?page=ce57441e61ae2f12	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	79663	200	OK	-	-	-	(empty)	-	-	-	-	-	F6dCCq201u7UXx9BZa	text/html
1327177508.080291	Cyi6EZEIauvCwNEr3	192.168.23.10	1035	176.34.179.106	80	2	GET	egg8.net	/w.php?f=19&e=2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	79872	200	OK	-	-	-	(empty)	-	-	-	-	-	F0v7VZ13LXpYwWZFG2	application/x-dosexec
1327177512.511964	Cyi6EZEIauvCwNEr3	192.168.23.10	1035	176.34.179.106	80	3	GET	egg8.net	/content/fdp2.php?f=19	http://egg8.net/main.php?page=ce57441e61ae2f12	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	89864	200	OK	-	-	-	(empty)	-	-	-	-	-	F4mSz641jM2xSzlNn1	application/pdf
1327177517.046685	Cyi6EZEIauvCwNEr3	192.168.23.10	1035	176.34.179.106	80	4	GET	egg8.net	/content/field.swf	http://egg8.net/main.php?page=ce57441e61ae2f12	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1464	200	OK	-	-	-	(empty)	-	-	-	-	-	F68NxQ12913RpMlQde	application/x-shockwave-flash
1327177522.701784	CtIFE03532hXEdXI82	192.168.23.10	1037	8.26.206.126	80	1	GET	www.download.windowsupdate.com	/msdownload/update/v3/static/trustedr/en/authrootseq.txt	-	Microsoft-CryptoAPI/5.131.2600.2180	0	18	200	OK	-	-	-	(empty)	-	-	-	-	-	Fd02eEoon6kcSHQs7	text/plain
1327177523.159282	CtIFE03532hXEdXI82	192.168.23.10	1037	8.26.206.126	80	2	GET	www.download.windowsupdate.com	/msdownload/update/v3/static/trustedr/en/authrootstl.cab	-	Microsoft-CryptoAPI/5.131.2600.2180	0	47186	200	OK	-	-	-	(empty)	-	-	-	-	-	FLrIJV1StC4YHRcb59	application/vnd.ms-cab-compressed
1327177527.073235	C8oypV2eIISvC1Hh8b	192.168.23.10	1038	176.34.179.106	80	1	GET	egg8.net	/content/v1.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	4408	200	OK	-	-	-	(empty)	-	-	-	-	-	FMZOOn4mYAm5if9fFj	application/zip
1327177540.841849	CL4Ip7NQWWLdWrmYf	192.168.23.10	1039	176.34.179.106	80	1	GET	egg8.net	/com.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	162	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FTkapl4me6lFkkCqde	text/html
1327177549.242415	CL4Ip7NQWWLdWrmYf	192.168.23.10	1039	176.34.179.106	80	2	GET	egg8.net	/edu.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	162	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FLJyfu4RhgikBwjOua	text/html
1327177550.082646	CL4Ip7NQWWLdWrmYf	192.168.23.10	1039	176.34.179.106	80	3	GET	egg8.net	/net.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	162	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FP9vVO14Z5W0dt9lp2	text/html
1327177551.287219	CL4Ip7NQWWLdWrmYf	192.168.23.10	1039	176.34.179.106	80	4	GET	egg8.net	/org.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	162	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FzYWGK2q7aS4j0IMy	text/html
1327177552.274364	CL4Ip7NQWWLdWrmYf	192.168.23.10	1039	176.34.179.106	80	5	GET	egg8.net	/w.php?f=19&e=0	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	79872	200	OK	-	-	-	(empty)	-	-	-	-	-	FN8QG34NGYQwbbEqel	application/x-dosexec
#close	2014-04-03-10-24-47
