#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-28-07
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1342396313.160394	CJahGY2Jb5bXXSxRCk	192.168.49.10	1030	88.251.43.212	80	1	GET	5xx7.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1342396313.990229	CTVohnuDTjSLXEV46	192.168.49.10	1031	81.61.217.85	80	1	GET	sn134w.snt134.mail.live.5xx7.com	/1342377001.php?mid=&rru=home&&livecom=1#!/mail/InboxLight.aspx?n=46320472611	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5455	200	OK	-	-	-	(empty)	-	-	-	-	-	F5aFIe3MzWhvCq6ZQd	text/html
1342396314.534283	CMdXZX28rOqfYHpA7f	192.168.49.10	1032	74.125.127.95	80	1	GET	ajax.googleapis.com	/ajax/libs/jquery/1.7.1/jquery.min.js	http://sn134w.snt134.mail.live.5xx7.com/1342377001.php?mid=&rru=home&&livecom=1#!/mail/InboxLight.aspx?n=46320472611	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	93868	200	OK	-	-	-	(empty)	-	-	-	-	-	FSjSQ1z4JcvGOk0R4	text/html
1342396314.510497	CTVohnuDTjSLXEV46	192.168.49.10	1031	81.61.217.85	80	2	GET	sn134w.snt134.mail.live.5xx7.com	/templates/mobile2/images/MobileCSS1033.css	http://sn134w.snt134.mail.live.5xx7.com/1342377001.php?mid=&rru=home&&livecom=1#!/mail/InboxLight.aspx?n=46320472611	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2639	200	OK	-	-	-	(empty)	-	-	-	-	-	FXY31N3rv3YYhAy7V3	text/plain
1342396314.912721	CTVohnuDTjSLXEV46	192.168.49.10	1031	81.61.217.85	80	3	GET	sn134w.snt134.mail.live.5xx7.com	/templates/exit.js	http://sn134w.snt134.mail.live.5xx7.com/1342377001.php?mid=&rru=home&&livecom=1#!/mail/InboxLight.aspx?n=46320472611	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2402	200	OK	-	-	-	(empty)	-	-	-	-	-	FYaHZZ1O6IWLoHZG89	text/html
1342396315.385116	CJyGS44WHvsyruSm6c	192.168.49.10	1035	184.73.190.197	80	1	GET	server1.opentracker.net	/?site=utyttyej.com	http://sn134w.snt134.mail.live.5xx7.com/1342377001.php?mid=&rru=home&&livecom=1#!/mail/InboxLight.aspx?n=46320472611	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3307	200	OK	-	-	-	(empty)	-	-	-	-	-	Fwhv1W1COLDfTnm9G2	text/plain
1342396315.414275	C0N2kU1mcw288rUYta	192.168.49.10	1036	209.17.68.209	80	1	GET	i49.tinypic.com	/x1xgeh.png	http://sn134w.snt134.mail.live.5xx7.com/1342377001.php?mid=&rru=home&&livecom=1#!/mail/InboxLight.aspx?n=46320472611	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	27700	200	OK	-	-	-	(empty)	-	-	-	-	-	F6JPVg1n1iPnJIfQig	image/png
1342396315.256194	CTVohnuDTjSLXEV46	192.168.49.10	1031	81.61.217.85	80	4	GET	sn134w.snt134.mail.live.5xx7.com	/templates/mobile2/images/WLFlag.png	http://sn134w.snt134.mail.live.5xx7.com/1342377001.php?mid=&rru=home&&livecom=1#!/mail/InboxLight.aspx?n=46320472611	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	933	200	OK	-	-	-	(empty)	-	-	-	-	-	F88LqW2Ew6MrGGwmEb	image/png
1342396315.512127	CEFtmU2DlX8Hoz0Zyh	192.168.49.10	1037	64.34.154.74	80	1	GET	f.j742.com	/?37f43932c925711a10270a588af2ad41	http://sn134w.snt134.mail.live.5xx7.com/1342377001.php?mid=&rru=home&&livecom=1#!/mail/InboxLight.aspx?n=46320472611	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1342396315.722843	CtoAWT2zGg2pg9sWwh	192.168.49.10	1042	64.34.154.74	80	1	GET	f.j742.com	/1341797401.php?37f43932c925711a10270a588af2ad41	http://sn134w.snt134.mail.live.5xx7.com/1342377001.php?mid=&rru=home&&livecom=1#!/mail/InboxLight.aspx?n=46320472611	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	253	200	OK	-	-	-	(empty)	-	-	-	-	-	FfBoqD3S5OSDfciSy3	text/plain
1342396315.631938	CTVohnuDTjSLXEV46	192.168.49.10	1031	81.61.217.85	80	5	GET	sn134w.snt134.mail.live.5xx7.com	/templates/mobile2/images/gm.png	http://sn134w.snt134.mail.live.5xx7.com/1342377001.php?mid=&rru=home&&livecom=1#!/mail/InboxLight.aspx?n=46320472611	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	187	200	OK	-	-	-	(empty)	-	-	-	-	-	FWuzJZ12WjOZkSg4lh	image/png
1342396315.436538	CYrqny1Z6tJhmz6xz	192.168.49.10	1033	81.61.217.85	80	1	GET	sn134w.snt134.mail.live.5xx7.com	/templates/mobile2/images/MHeader.jpg	http://sn134w.snt134.mail.live.5xx7.com/1342377001.php?mid=&rru=home&&livecom=1#!/mail/InboxLight.aspx?n=46320472611	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5478	200	OK	-	-	-	(empty)	-	-	-	-	-	F3MAGp1iWCD490YsQj	image/jpeg
1342396316.828752	C43HuK3FWX6a5Gm35	192.168.49.10	1043	64.34.154.74	80	1	GET	f.j742.com	/images/335594535/d15ceb1dc02e2cf4da1d2b6c9465ff99.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	17810	200	OK	-	-	-	(empty)	-	-	-	-	-	FlueUr1QmZhmHRKL18	application/jar
1342396317.109861	CEtmc44aYxUuLzZU2c	192.168.49.10	1044	64.34.154.74	80	1	GET	f.j742.com	/images/335594535/d15ceb1dc02e2cf4da1d2b6c9465ff99.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	17810	200	OK	-	-	-	(empty)	-	-	-	-	-	FEDd7WSxTaMAnxAA6	application/jar
1342396317.446569	C1IKIU1m1ypJZOdUK1	192.168.49.10	1045	64.34.154.74	80	1	GET	f.j742.com	/images/335594535/d15ceb1dc02e2cf4da1d2b6c9465ff99.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	17810	200	OK	-	-	-	(empty)	-	-	-	-	-	FlFEv14OHgP5Spr8x4	application/jar
1342396324.067338	CCf2Kh1VS40OJFbBd7	192.168.49.10	1046	64.34.154.74	80	1	GET	f.j742.com	/images/335594535/d15ceb1dc02e2cf4da1d2b6c9465ff99.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	17810	200	OK	-	-	-	(empty)	-	-	-	-	-	Fh7xaLBRL72AQocFk	application/jar
1342396324.367864	CGBPMe341groMdCbsj	192.168.49.10	1047	64.34.154.74	80	1	GET	f.j742.com	/o/335594535/d15ceb1dc02e2cf4da1d2b6c9465ff99/2	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	197632	200	OK	-	-	-	(empty)	-	-	-	-	-	FGmKJ52xVBqr0Jl0Ie	application/x-dosexec
1342396328.289988	CHUEc75lsyZCSTNg7	192.168.49.10	1048	64.34.154.74	80	1	GET	network.stripthere.com	/mars/iLog.php?dl=5.9&log=Loader: 508^BB	-	IE7.0	0	0	404	Not Found	-	-	-	(empty)	-	-	-	-	-	-	-
#close	2014-04-03-10-28-07
