#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2014-04-03-09-55-53
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer
#types	time	string	addr	port	addr	port	string	string	bool	string
1346309656.183282	CYqqC42pRjb0Hv5y9b	192.168.37.10	1047	199.21.148.88	80	unescaped_special_URI_char	-	F	bro
1346309657.358234	-	-	-	-	-	unknown_protocol_2	-	F	bro
1346309703.581763	CcoAcmhBmfGQCT2vj	192.168.37.10	1087	83.133.123.20	53	DNS_Conn_count_too_large	-	F	bro
1346309703.583795	Ci0LwqVLFg8EsCBUj	192.168.37.10	1089	83.133.123.20	53	DNS_Conn_count_too_large	-	F	bro
1346309703.671594	CiPAU44NyYBI30jfX3	192.168.37.10	1091	83.133.123.20	53	DNS_Conn_count_too_large	-	F	bro
1346309703.712864	CwlYn13ho61FGKCSl7	192.168.37.10	1093	83.133.123.20	53	DNS_Conn_count_too_large	-	F	bro
1346309703.714672	CMUpFZ1Rlw6B6JDQpd	192.168.37.10	1095	83.133.123.20	53	DNS_Conn_count_too_large	-	F	bro
1346309703.716726	CmCxkU1FfQ10sT4c6d	192.168.37.10	1097	83.133.123.20	53	DNS_Conn_count_too_large	-	F	bro
1346309705.875357	CAyNLX2Pb3WsPmaEZ6	192.168.37.10	1100	83.133.123.20	53	DNS_Conn_count_too_large	-	F	bro
1346309705.889605	CMRH8WndDodTcabNg	192.168.37.10	1103	83.133.123.20	53	DNS_Conn_count_too_large	-	F	bro
1346309707.687793	CcaQNA493cY1AucNT	192.168.37.10	1105	83.133.123.20	53	DNS_Conn_count_too_large	-	F	bro
1346309709.258528	C4rxYX3KP4yP5kP6r3	192.168.37.10	1118	91.195.254.70	53	DNS_Conn_count_too_large	-	F	bro
1346309709.258716	CFHzN61cuwW09Bf6v	192.168.37.10	1118	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1346309709.267459	CV2AIu44i2wfWMrq5	192.168.37.10	1120	91.195.254.70	53	DNS_Conn_count_too_large	-	F	bro
1346309709.267608	CcxwvoABcIG8sU8Gj	192.168.37.10	1120	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1346309709.269973	CefOj24IOKqzIRHKQ3	192.168.37.10	1122	91.195.254.70	53	DNS_Conn_count_too_large	-	F	bro
1346309709.270602	CJMSU117wEsGaqfYD5	192.168.37.10	1122	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
#close	2014-04-03-09-55-54
