#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-42-58
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1340599222.655513	C16PpC2KkqFwz3F8Jf	192.168.54.10	1030	212.112.131.20	80	1	GET	jubiichat.dk	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	163	302	Found	-	-	-	(empty)	-	-	-	-	-	FWGJhD4ZCLepSFhiTc	text/html
1340599222.977283	Cfcior2IpnG1DDsTxa	192.168.54.10	1031	77.66.25.60	80	1	GET	dk.worldsbiggestchat.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	19694	200	OK	-	-	-	(empty)	-	-	-	-	-	F9uhX94aSzNRtLPDl2	text/html
1340599223.494755	CUHfBk1M0u4fHKjcRd	192.168.54.10	1032	141.101.124.171	80	1	GET	g.chatwbc.com	/css/20120304.jubii.css	http://dk.worldsbiggestchat.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	72453	200	OK	-	-	-	(empty)	-	-	-	-	-	FK6bXr4svM1Asrgd7f	text/plain
1340599224.013812	CUHfBk1M0u4fHKjcRd	192.168.54.10	1032	141.101.124.171	80	2	GET	g.chatwbc.com	/css/jquery.fancybox-1.3.4.css	http://dk.worldsbiggestchat.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7418	200	OK	-	-	-	(empty)	-	-	-	-	-	FEkZ8UQ7Y8mMxMKA4	text/plain
1340599224.031992	CUHfBk1M0u4fHKjcRd	192.168.54.10	1032	141.101.124.171	80	3	GET	g.chatwbc.com	/css/chosen.css	http://dk.worldsbiggestchat.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	9961	200	OK	-	-	-	(empty)	-	-	-	-	-	F1eCfq1vcDprxHa79h	text/plain
1340599224.037336	CUHfBk1M0u4fHKjcRd	192.168.54.10	1032	141.101.124.171	80	4	GET	g.chatwbc.com	/gfx/i/20120305/bg.png	http://dk.worldsbiggestchat.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	8516	200	OK	-	-	-	(empty)	-	-	-	-	-	FY98tB2grVnbdVLm0k	image/png
1340599224.038054	C8aXKJ1RjsxPoNhfg3	192.168.54.10	1034	212.112.131.8	80	1	GET	z.jimg.dk	/tpl/hfi.css	http://dk.worldsbiggestchat.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	56	200	OK	-	-	-	(empty)	-	-	-	-	-	F2gBeX1eUknBcDSaob	text/plain
1340599224.096052	CUHfBk1M0u4fHKjcRd	192.168.54.10	1032	141.101.124.171	80	5	GET	g.chatwbc.com	/css/20120401.jubii.css	http://dk.worldsbiggestchat.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1353	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FV0rNQ3RmCYaRMKOS3	text/html
1340599223.495035	C1S1YG2OTFAkHjFxj9	192.168.54.10	1033	141.101.124.171	80	1	GET	g.chatwbc.com	/css/20120304.jubii.ie6.css	http://dk.worldsbiggestchat.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	72438	200	OK	-	-	-	(empty)	-	-	-	-	-	F9veMu1fzB3Mux3jJb	text/plain
1340599225.378542	CIya104TpTtGP9bWq4	192.168.54.10	1039	212.112.131.8	80	1	GET	s.jimg.dk	/tpl/hf/css/hf.css?c6eel	http://dk.worldsbiggestchat.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7963	200	OK	-	-	-	(empty)	-	-	-	-	-	FxOZuE2F6qN7KVTMol	text/plain
1340599225.737396	CRLyZ135yPiwDIGPl	192.168.54.10	1040	77.66.25.19	80	1	GET	x.chatwbc.com	/openx/www/delivery/spcjs.php?id=20&chat=dk	http://dk.worldsbiggestchat.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2351	200	OK	-	-	-	(empty)	-	-	-	-	-	FZFpnj2xErl5QHLii9	text/plain
1340599225.925673	CRLyZ135yPiwDIGPl	192.168.54.10	1040	77.66.25.19	80	2	GET	x.chatwbc.com	/openx/www/delivery/spc.php?zones=930x180_t=48|930x180_b=47|728x90_b=45|160x600_r=51|300x250=46|&nz=1&source=dk&r=94652418&chat=dk&charset=iso-8859-1&loc=http://dk.worldsbiggestchat.com/	http://dk.worldsbiggestchat.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	31527	200	OK	-	-	-	(empty)	-	-	-	-	-	FjKBkT1JpeBrYYr4Ub	text/plain
1340599226.088553	CyIPNJ3jmkbAWx6cXk	192.168.54.10	1041	77.66.25.19	80	1	GET	x.chatwbc.com	/openx/www/delivery/fl.js	http://dk.worldsbiggestchat.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6707	200	OK	-	-	-	(empty)	-	-	-	-	-	FBEJk53QsRBBXqTQk2	text/plain
1340599226.29	CCJzkD3bi81XuhyDY4	192.168.54.10	1042	173.194.79.102	80	1	GET	www.google-analytics.com	/ga.js	http://dk.worldsbiggestchat.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	36639	200	OK	-	-	-	(empty)	-	-	-	-	-	FJWWGK1BsJlCUX4DKd	text/plain
1340599226.412074	CCJzkD3bi81XuhyDY4	192.168.54.10	1042	173.194.79.102	80	2	GET	www.google-analytics.com	/__utm.gif?utmwv=5.3.2&utms=1&utmn=1596095698&utmhn=dk.worldsbiggestchat.com&utmcs=iso-8859-1&utmsr=800x600&utmvp=796x475&utmsc=24-bit&utmul=en-us&utmje=1&utmfl=10.0 r32&utmdt=Jubii Chat | Den Sejeste Gratis Chat Online&utmhid=1970382922&utmr=-&utmp=/&utmac=UA-7001151-4&utmcc=__utma=60666552.2048544683.1340613508.1340613508.1340613508.1;+__utmz=60666552.1340613508.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none);&utmu=q~	http://dk.worldsbiggestchat.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	35	200	OK	-	-	-	(empty)	-	-	-	-	-	FN7so93qVXHPMdhUg9	image/gif
1340599226.443332	CUvJmO3dW0v5eKRz54	192.168.54.10	1044	173.194.79.102	80	1	GET	www.google-analytics.com	/__utm.gif?utmwv=5.3.2&utms=2&utmn=593931643&utmhn=dk.worldsbiggestchat.com&utmcs=iso-8859-1&utmsr=800x600&utmvp=796x475&utmsc=24-bit&utmul=en-us&utmje=1&utmfl=10.0 r32&utmdt=Jubii Chat | Den Sejeste Gratis Chat Online&utmhid=1970382922&utmr=-&utmp=/&utmac=UA-7001151-1&utmcc=__utma=60666552.2048544683.1340613508.1340613508.1340613508.1;+__utmz=60666552.1340613508.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none);&utmu=qAAg~	http://dk.worldsbiggestchat.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	35	200	OK	-	-	-	(empty)	-	-	-	-	-	Fa0YwnWstghT4dRKd	image/gif
1340599226.437001	CVOpbdFsKxyYVQxqj	192.168.54.10	1043	94.198.59.132	80	1	GET	jubdk.nuggad.net	/rc?nuggn=224986932&nuggsid=1642967306&nuggrid=http://dk.worldsbiggestchat.com/	http://dk.worldsbiggestchat.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	508	200	OK	-	-	-	(empty)	-	-	-	-	-	F95jCnnQMxNlfXKA9	text/plain
1340599226.642423	CRLyZ135yPiwDIGPl	192.168.54.10	1040	77.66.25.19	80	3	GET	x.chatwbc.com	/openx/www/delivery/lg.php?bannerid=69&campaignid=13&zoneid=48&source=dk&loc=1&referer=http://dk.worldsbiggestchat.com/&cb=c66daf8271	http://dk.worldsbiggestchat.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	43	200	OK	-	-	-	(empty)	-	-	-	-	-	FQIsLJ240KNbkpFGY3	image/gif
