#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-18-53
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1325210742.026268	CLvB3e21smF44lrKMd	192.168.72.10	1029	67.205.6.89	80	1	GET	eversoncomputers.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	238	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	F1Yu2d2zjfFzs3xZX9	text/html
1325210742.240037	C2udkMxpDLTiFsN91	192.168.72.10	1030	67.205.4.123	80	1	GET	www.computerdoctors.me	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	10435	200	OK	-	-	-	(empty)	-	-	-	-	-	FYMhaJAoIHyxNL9T4	text/html
1325210742.45703	CbYabf4jmxbZbNKNug	192.168.72.10	1032	74.125.157.95	80	1	GET	ajax.googleapis.com	/ajax/libs/jquery/1.6.2/jquery.min.js	http://www.computerdoctors.me/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	91556	200	OK	-	-	-	(empty)	-	-	-	-	-	FxEHXR30skssodbb5g	text/html
1325210742.460875	CJFnQt2xqxtN6q6oq9	192.168.72.10	1031	67.205.4.123	80	1	GET	www.computerdoctors.me	/images/b_home.gif	http://www.computerdoctors.me/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	751	200	OK	-	-	-	(empty)	-	-	-	-	-	Fz1LH32C0UtvMzkgL9	image/gif
1325210742.575417	CJFnQt2xqxtN6q6oq9	192.168.72.10	1031	67.205.4.123	80	2	GET	www.computerdoctors.me	/images/b_services.gif	http://www.computerdoctors.me/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	834	200	OK	-	-	-	(empty)	-	-	-	-	-	FfzzYW39hsDHaszm7j	image/gif
1325210742.651466	CJFnQt2xqxtN6q6oq9	192.168.72.10	1031	67.205.4.123	80	3	GET	www.computerdoctors.me	/images/b_specials.gif	http://www.computerdoctors.me/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	851	200	OK	-	-	-	(empty)	-	-	-	-	-	FDyszy1pTDxu7810wk	image/gif
1325210742.712494	CJFnQt2xqxtN6q6oq9	192.168.72.10	1031	67.205.4.123	80	4	GET	www.computerdoctors.me	/images/b_aboutus.gif	http://www.computerdoctors.me/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	901	200	OK	-	-	-	(empty)	-	-	-	-	-	FDu1OE2pOEzM82WoQj	image/gif
1325210742.402348	C2udkMxpDLTiFsN91	192.168.72.10	1030	67.205.4.123	80	2	GET	www.computerdoctors.me	/images/top.gif	http://www.computerdoctors.me/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	46031	200	OK	-	-	-	(empty)	-	-	-	-	-	FdwTfSYviHXXPm843	image/gif
1325210742.792921	C2udkMxpDLTiFsN91	192.168.72.10	1030	67.205.4.123	80	3	GET	www.computerdoctors.me	/images/b_location.gif	http://www.computerdoctors.me/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	865	200	OK	-	-	-	(empty)	-	-	-	-	-	FsvyOd1IuIzOExKXSj	image/gif
1325210742.77372	CJFnQt2xqxtN6q6oq9	192.168.72.10	1031	67.205.4.123	80	5	GET	www.computerdoctors.me	/images/shadow.gif	http://www.computerdoctors.me/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	9539	200	OK	-	-	-	(empty)	-	-	-	-	-	F4aIya2whvkBOch6r6	image/gif
1325210742.855133	C2udkMxpDLTiFsN91	192.168.72.10	1030	67.205.4.123	80	4	GET	www.computerdoctors.me	/images/b_contactus.gif	http://www.computerdoctors.me/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	831	200	OK	-	-	-	(empty)	-	-	-	-	-	F02kKM3ucAlZ6LUmD6	image/gif
1325210742.900607	CJFnQt2xqxtN6q6oq9	192.168.72.10	1031	67.205.4.123	80	6	GET	www.computerdoctors.me	/images/store.jpg	http://www.computerdoctors.me/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	15956	200	OK	-	-	-	(empty)	-	-	-	-	-	F701z53ekAOHutHa32	image/jpeg
1325210742.922717	C2udkMxpDLTiFsN91	192.168.72.10	1030	67.205.4.123	80	5	GET	www.computerdoctors.me	/images/ambulance.jpg	http://www.computerdoctors.me/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	23911	200	OK	-	-	-	(empty)	-	-	-	-	-	FzDfGS15mxEZTi1J0d	image/jpeg
1325210743.045349	CJFnQt2xqxtN6q6oq9	192.168.72.10	1031	67.205.4.123	80	7	GET	www.computerdoctors.me	/images/rshadow.gif	http://www.computerdoctors.me/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	10091	200	OK	-	-	-	(empty)	-	-	-	-	-	FAIGD53ldpNN0EWgHl	image/gif
1325210743.08369	C2udkMxpDLTiFsN91	192.168.72.10	1030	67.205.4.123	80	6	GET	www.computerdoctors.me	/images/bottom.gif	http://www.computerdoctors.me/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	32596	200	OK	-	-	-	(empty)	-	-	-	-	-	FHuoFF2594QgVfG3h	image/gif
1325210743.236408	CJFnQt2xqxtN6q6oq9	192.168.72.10	1031	67.205.4.123	80	8	GET	www.computerdoctors.me	/images/a_home.gif	http://www.computerdoctors.me/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2225	200	OK	-	-	-	(empty)	-	-	-	-	-	FCtGtm1UNt9RuRcAg	image/gif
1325210743.237557	C2udkMxpDLTiFsN91	192.168.72.10	1030	67.205.4.123	80	7	GET	www.computerdoctors.me	/images/a_products.gif	http://www.computerdoctors.me/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2761	200	OK	-	-	-	(empty)	-	-	-	-	-	F587BP1qvQLQUb6Qp9	image/gif
1325210743.323378	CJFnQt2xqxtN6q6oq9	192.168.72.10	1031	67.205.4.123	80	9	GET	www.computerdoctors.me	/images/a_services.gif	http://www.computerdoctors.me/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2650	200	OK	-	-	-	(empty)	-	-	-	-	-	Foe8oH2f0m09CfCgq3	image/gif
1325210743.323707	C2udkMxpDLTiFsN91	192.168.72.10	1030	67.205.4.123	80	8	GET	www.computerdoctors.me	/images/a_location.gif	http://www.computerdoctors.me/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2698	200	OK	-	-	-	(empty)	-	-	-	-	-	FSaays2WaDePj4sYf1	image/gif
1325210743.387164	C2udkMxpDLTiFsN91	192.168.72.10	1030	67.205.4.123	80	9	GET	www.computerdoctors.me	/images/a_contactus.gif	http://www.computerdoctors.me/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2631	200	OK	-	-	-	(empty)	-	-	-	-	-	FMAVtr2I5Cg6frylk8	image/gif
1325210743.385167	CJFnQt2xqxtN6q6oq9	192.168.72.10	1031	67.205.4.123	80	10	GET	www.computerdoctors.me	/images/a_aboutus.gif	http://www.computerdoctors.me/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2889	200	OK	-	-	-	(empty)	-	-	-	-	-	FDIm3M25zuzE8aBvBa	image/gif
