#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2014-04-03-10-01-31
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer
#types	time	string	addr	port	addr	port	string	string	bool	string
1334471779.778891	CaH3261A1HjjWcPxgk	192.168.81.10	1042	199.21.148.98	80	unescaped_special_URI_char	-	F	bro
1334471780.852215	CYKVA13W9UbaJmnvLb	192.168.81.10	1053	206.41.8.220	80	above_hole_data_without_any_acks	-	F	bro
1334471781.200296	-	-	-	-	-	unknown_protocol_2	-	F	bro
1334471829.241347	CN6IFe2BCQVShUMfo7	192.168.81.10	1079	94.242.250.64	53	DNS_Conn_count_too_large	-	F	bro
1334471829.243705	CVo2YJ2W6RDCyhOzVf	192.168.81.10	1081	94.242.250.64	53	DNS_Conn_count_too_large	-	F	bro
1334471829.317764	CynGVQ1qedNKPEFPg6	192.168.81.10	1083	94.242.250.64	53	DNS_Conn_count_too_large	-	F	bro
1334471829.323477	CSHgrx2NgEEbIEZRie	192.168.81.10	1085	94.242.250.64	53	DNS_Conn_count_too_large	-	F	bro
1334471829.330205	CYWVacw1bCU9Esbj3	192.168.81.10	1087	94.242.250.64	53	DNS_Conn_count_too_large	-	F	bro
1334471829.338109	Co40cc4Zqqe78Fhwgh	192.168.81.10	1089	94.242.250.64	53	DNS_Conn_count_too_large	-	F	bro
1334471829.441097	CS2XFM2JPXEY7J6Osf	192.168.81.10	1091	94.242.250.64	53	DNS_Conn_count_too_large	-	F	bro
1334471829.533484	CaYQHb26fa9bVPX3S7	192.168.81.10	1093	94.242.250.64	53	DNS_Conn_count_too_large	-	F	bro
1334471830.196382	CkpL6x4byTUQhpI3Ri	192.168.81.10	1095	94.242.250.64	53	DNS_Conn_count_too_large	-	F	bro
1334471830.222963	CEx1hrCdHCss9rOt4	192.168.81.10	1097	94.242.250.64	53	DNS_Conn_count_too_large	-	F	bro
1334471830.282951	CbkR2g4Or9VHG9lcTg	192.168.81.10	1099	94.242.250.64	53	DNS_Conn_count_too_large	-	F	bro
1334471830.577785	CFne58h3cPsVzlNH3	192.168.81.10	1101	94.242.250.64	53	DNS_Conn_count_too_large	-	F	bro
1334471830.988774	CRjmlt2gooZ0sQgsHe	192.168.81.10	1103	94.242.250.64	53	DNS_Conn_count_too_large	-	F	bro
1334471831.426282	C3sKMU1nqYGpsTkxT5	192.168.81.10	1105	94.242.250.64	53	DNS_Conn_count_too_large	-	F	bro
#close	2014-04-03-10-01-32
