#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-21-57
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1314513371.297203	C0XtFP1Olr7SwTZlLg	192.168.31.10	1030	95.168.165.223	80	1	GET	18yo-teens-orgy.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	252	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FxRZlB1IE6PjqrpAsd	text/html
1314513371.520867	CbQg7hQMxN1PM1tR1	192.168.31.10	1031	109.236.82.46	80	1	GET	a.daddies-dirty-daughter.com	/?site=23	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7314	200	OK	-	-	-	(empty)	-	-	-	-	-	FAkK034YDmFOEWw2O7	text/html
1314513373.639631	CSnIMX3gSILtbRndJg	192.168.31.10	1038	109.236.82.46	80	1	GET	a.cocosluts.net	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8534	200	OK	-	-	-	(empty)	-	-	-	-	-	FYAjY7SNUgZJSoC6	application/jar
1314513373.634285	ClR8is3O1MUC4FyiJ1	192.168.31.10	1037	109.236.82.46	80	1	GET	1844204078	/saturn.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	12296	200	OK	-	-	-	(empty)	-	-	-	-	-	FsDcUS3nDL164cfFd4	application/x-java-applet
1314513373.636394	C1Tyvg0lQSDYAlUJ9	192.168.31.10	1039	109.236.82.46	80	1	GET	1844204078	/saturn.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	12296	200	OK	-	-	-	(empty)	-	-	-	-	-	FgYgh64CgMnARJMOGi	application/x-java-applet
1314513373.638076	CE2FHW1SqfpkCDs6H9	192.168.31.10	1036	109.236.82.46	80	1	GET	a.cocosluts.net	/dl/bingo.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	19716	200	OK	-	-	-	(empty)	-	-	-	-	-	FPSG2F1RIbLdINXoN7	application/jar
1314513373.966044	CbY2Ls3SyMdPgZBKne	192.168.31.10	1040	109.236.82.46	80	1	GET	a.cocosluts.net	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8534	200	OK	-	-	-	(empty)	-	-	-	-	-	FXnenb2xMSaCV8ijre	application/jar
1314513374.128624	CY8drY1nbTaY8fxJyh	192.168.31.10	1041	109.236.82.46	80	1	GET	1844204078	/saturn.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8529	200	OK	-	-	-	(empty)	-	-	-	-	-	FcHDjB3wWEveuzEq95	application/x-java-applet
1314513374.143896	CB4QXl4JOqWB7Yg2	192.168.31.10	1042	109.236.82.46	80	1	GET	1844204078	/saturn.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8529	200	OK	-	-	-	(empty)	-	-	-	-	-	FkYoCG28LKWYbBJpq5	application/x-java-applet
1314513374.290754	CWCMgR1fmJ0hewsQUa	192.168.31.10	1044	109.236.82.46	80	1	GET	a.cocosluts.net	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8534	200	OK	-	-	-	(empty)	-	-	-	-	-	FP6sJQ3dlivHFrrM8c	application/jar
1314513374.236842	C4zoaV33WXWD7l90Ae	192.168.31.10	1043	109.236.82.46	80	1	GET	a.cocosluts.net	/dl/bingo.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	19716	200	OK	-	-	-	(empty)	-	-	-	-	-	FA7CRE460p5RECwC39	application/jar
