#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-08-07
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1382213575.168405	C3tuGzGhvRoqqEMc6	192.168.93.10	1036	192.133.137.240	80	1	GET	bizhyip.org	/	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1382213575.544615	CJV3Mspugp2KGVo31	192.168.93.10	1037	144.76.192.100	80	1	GET	cuzrckpaaq.1tatrinov.info	/?35207ed1e66db5c0fd31f44c4665e8bd=a2&9f897e25746351f99d4e88675d721392=bizhyip.org	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1813	200	OK	-	-	-	(empty)	-	-	-	-	-	FS0yKz49XexFx37Jik	text/html
1382213577.326534	CymJYH1xqPEiiFe44i	192.168.93.10	1038	144.76.192.100	80	1	GET	cuzrckpaaq.1tatrinov.info	/bc6f5f463a7beec6ef0ea9b160a805d7/faef0fcf3c94d5255ab26c3802e5f1e7.swf	http://cuzrckpaaq.1tatrinov.info/?35207ed1e66db5c0fd31f44c4665e8bd=a2&9f897e25746351f99d4e88675d721392=bizhyip.org	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FypBSO1x9O50uBE1Qj	text/html
1382213577.346996	CnI8gp2oI2ZrLDHFUc	192.168.93.10	1039	144.76.192.100	80	1	GET	cuzrckpaaq.1tatrinov.info	/bc6f5f463a7beec6ef0ea9b160a805d7/db6c8de5c6cfba9352cb041fb8a8f256	http://cuzrckpaaq.1tatrinov.info/?35207ed1e66db5c0fd31f44c4665e8bd=a2&9f897e25746351f99d4e88675d721392=bizhyip.org	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	11995	200	OK	-	-	-	(empty)	-	-	-	-	-	FO6pXE4l9ZrACyIWRg	text/html
1382213580.150299	CsJYsE32LkKDLucsh4	192.168.93.10	1040	144.76.192.100	80	1	GET	144.76.192.100	/?c6b41168b73a4a564cb167d8349e7718	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	850944	200	OK	-	-	-	(empty)	-	-	-	-	-	FsVeRp2loqLIuVTG6k	application/x-dosexec
1382213584.641685	C9Z3JFjz71HAbeuLe	192.168.93.10	1044	144.76.192.100	80	1	GET	144.76.192.100	/?7e93e8a06c249a0c0343b8348db75b20	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1382213584.998986	C1DoJu3OUEtq2S2n4k	192.168.93.10	1046	144.76.192.100	80	1	GET	144.76.192.100	/?5a4c031fb5a14c6d24044c7930b39c2f	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1382213584.841356	C49bRA4sMfWV8fQqBk	192.168.93.10	1045	74.86.20.50	80	1	GET	twinkcam.net	/images/s.php?id=95.1	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2	200	OK	-	-	-	(empty)	-	-	-	-	-	FqAm0l2yh4g9sVdZU1	text/plain
1382213585.468548	Cu5d5D4VxWm5DtlTW9	192.168.93.10	1048	216.17.105.36	80	1	GET	cinnamyn.com	/images/s.php?id=95.1	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2	200	OK	-	-	-	(empty)	-	-	-	-	-	FKc8IS1LT08ngSc61k	text/plain
1382213585.335117	C9OiSn395jBFKIL0Ve	192.168.93.10	1047	144.76.192.100	80	1	GET	144.76.192.100	/?ee5cc8f225fe89c34f2c322f4ed160fb	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	65536	200	OK	-	-	-	(empty)	-	-	-	-	-	FZA6Ec4UkcdRLGLdgb	application/x-dosexec
1382213647.728218	CYElVS1f8L98pU6yL1	192.168.93.10	1049	74.86.20.50	80	1	GET	saggerboy.com	/twg/b.php?id=95.1	-	Mozilla	0	2	200	OK	-	-	-	(empty)	-	-	-	-	-	FJAGQ5eBLFUVFpKzl	text/plain
#close	2014-04-03-11-08-07
