#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-40-21
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1326267267.110693	Clvtd944LdZc7i8fU6	192.168.87.10	1030	95.168.165.223	80	1	GET	goodsbestbuy.net	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	234	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FMK0gm22fvcBUgjoB1	text/html
1326267267.266587	CxtjVx2gsWXnJwgA01	192.168.87.10	1031	46.21.155.83	80	1	GET	abctale.net	/?site=3	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1326267267.633845	COYITO3YkHBZGjzKu	192.168.87.10	1032	109.123.116.52	80	1	GET	matrixneo.net	/redir.html	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	349	200	OK	-	-	-	(empty)	-	-	-	-	-	FslWlp21alA6NHhvYg	text/html
1326267267.862582	ChW05r2jZUM17HkCli	192.168.87.10	1034	109.123.116.52	80	1	GET	matrixneo.net	/in.cgi?default	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	180	302	Found	-	-	-	(empty)	-	-	-	-	-	FXbr8r30RZhuL9doC	text/html
1326267267.994472	CGhEPghjghELCQYbc	192.168.87.10	1035	46.21.155.83	80	1	GET	abctale.net	/?site=8	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	482	200	OK	-	-	-	(empty)	-	-	-	-	-	FNdYhC4IPutN9hwA4d	text/html
1326267269.540231	CWYnWDZ4HU8kVqif	192.168.87.10	1041	46.21.155.83	80	1	GET	abctale.net	/?82b2eb2245f147b3eeb8bc7385c92a79	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	13165	200	OK	-	-	-	(empty)	-	-	-	-	-	FBSNTC12FnjtgFQVF	application/jar
1326267269.5431	CJh3MF1HxyjGEBspRi	192.168.87.10	1040	46.21.155.83	80	1	GET	abctale.net	/?f5d07b5a86309a669a8ace1f892fceb4	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	11779	200	OK	-	-	-	(empty)	-	-	-	-	-	FmW6t93YTtWRkuP7E4	application/jar
1326267269.627056	CIdPxV1bUbbwRFWy3k	192.168.87.10	1042	46.21.155.83	80	1	GET	abctale.net	/?f5d07b5a86309a669a8ace1f892fceb4	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	11779	200	OK	-	-	-	(empty)	-	-	-	-	-	FgRaXv2g94wi57A12g	application/jar
1326267269.629675	CRnWSVvgKrSpRRLSj	192.168.87.10	1043	46.21.155.83	80	1	GET	abctale.net	/?82b2eb2245f147b3eeb8bc7385c92a79	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	13165	200	OK	-	-	-	(empty)	-	-	-	-	-	Fk4ydXYxR6qlTcMt1	application/jar
1326267269.788995	CDHaf71ZIgclJsiB9g	192.168.87.10	1044	46.21.155.83	80	1	GET	abctale.net	/?82b2eb2245f147b3eeb8bc7385c92a79	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	13165	200	OK	-	-	-	(empty)	-	-	-	-	-	FTTgQN2mdiN18dmU32	application/jar
1326267269.889883	CMupiT1aazjMyTvmS9	192.168.87.10	1045	46.21.155.83	80	1	GET	abctale.net	/?f5d07b5a86309a669a8ace1f892fceb4	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	11779	200	OK	-	-	-	(empty)	-	-	-	-	-	F2LNiI3c9eMccQ4C5f	application/jar
