#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-18-52
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1328298453.570186	CvaEq52gt7HWC5JgL3	192.168.72.10	1030	64.88.251.53	80	1	GET	gaytube.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	231	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FwUXyy3vN1AnzG3WR1	text/html
1328298453.760053	CnO3E34zQCZ6QKu7xg	192.168.72.10	1033	4.27.10.125	80	1	GET	cdn1.static.pornhub.phncdn.com	/css/bar.css	http://www.gaytube.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1800	200	OK	-	-	-	(empty)	-	-	-	-	-	F1jwMm3Pvtajke3Gbf	text/plain
1328298453.756444	CzHpk01VKVYOv8vyH2	192.168.72.10	1032	4.27.10.125	80	1	GET	cdn1.static.gaytube.com	/templates/frontend/gaytubeprem/stylesheet.css	http://www.gaytube.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	20464	200	OK	-	-	-	(empty)	-	-	-	-	-	FMRmax3eW0hoSNmRCl	text/plain
1328298453.613752	CfL2Bg4WDJYb3fa5Yk	192.168.72.10	1031	64.88.249.157	80	1	GET	www.gaytube.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	60463	200	OK	-	-	-	(empty)	-	-	-	-	-	FnzlRB1q5zSJ6NN2Cf	text/html
1328298453.793914	CzHpk01VKVYOv8vyH2	192.168.72.10	1032	4.27.10.125	80	2	GET	cdn1.static.gaytube.com	/js/functions.js	http://www.gaytube.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3357	200	OK	-	-	-	(empty)	-	-	-	-	-	Fi1AMs2YjvZ4SjbcVk	text/plain
1328298453.815758	CzHpk01VKVYOv8vyH2	192.168.72.10	1032	4.27.10.125	80	3	GET	cdn1.static.gaytube.com	/js/dropdown_menu.js	http://www.gaytube.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3609	200	OK	-	-	-	(empty)	-	-	-	-	-	FezYSw1YFx1RgF6sx6	text/plain
1328298453.953023	CfL2Bg4WDJYb3fa5Yk	192.168.72.10	1031	64.88.249.157	80	2	GET	www.gaytube.com	/images/frontend/gaytubeprem/sprite.png	http://www.gaytube.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	25859	200	OK	-	-	-	(empty)	-	-	-	-	-	FZxuo72BYebOEXFD81	image/png
1328298454.146058	C7C9C25Mgb2I8Rv0l	192.168.72.10	1034	4.27.10.125	80	1	GET	cdn1.pics.gaytube.com	/thumbs/2012-02-02/0c8cfe8c2c3a1.jpg	http://www.gaytube.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5200	200	OK	-	-	-	(empty)	-	-	-	-	-	FV3M494ejXE42wyVR9	image/jpeg
1328298454.146319	CD2DMZ5p9AHOLIPI3	192.168.72.10	1035	4.27.10.125	80	1	GET	cdn1.pics.gaytube.com	/thumbs/2012-02-02/1e6a4fc2297f1.jpg	http://www.gaytube.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4858	200	OK	-	-	-	(empty)	-	-	-	-	-	FF35nB4coDm6PmrO52	image/jpeg
1328298454.148805	C7yT8h4UzrtAc67zug	192.168.72.10	1036	146.82.205.41	80	1	GET	ads.trafficjunky.net	/ads?zone_id=2835&site_id=37&cache=41967514&millis=1328312734015	http://www.gaytube.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	677	200	OK	-	-	-	(empty)	-	-	-	-	-	Fw8vDE1Lls9A3xRK89	text/html
1328298454.149667	CLri83M8p1wDsd7K2	192.168.72.10	1037	146.82.205.41	80	1	GET	ads.trafficjunky.net	/ads?zone_id=2836&site_id=37&cache=76453251&millis=1328312734031	http://www.gaytube.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	674	200	OK	-	-	-	(empty)	-	-	-	-	-	FbLzsl2uQsJWhxCW69	text/html
1328298454.145785	CzHpk01VKVYOv8vyH2	192.168.72.10	1032	4.27.10.125	80	4	GET	cdn1.static.gaytube.com	/images/frontend/gaytubeprem/sprite.png	http://www.gaytube.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	25859	200	OK	-	-	-	(empty)	-	-	-	-	-	F3FNEo4CNvz1FNCLVi	image/png
1328298454.348322	CD2DMZ5p9AHOLIPI3	192.168.72.10	1035	4.27.10.125	80	2	GET	cdn1.pics.gaytube.com	/thumbs/2012-02-02/e1bbfb99d11b1.jpg	http://www.gaytube.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5476	200	OK	-	-	-	(empty)	-	-	-	-	-	Frhpum3tKRMzRElz1k	image/jpeg
