#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-05-16
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1339325656.7017	Cq6VIc2obLAzea6iQb	192.168.126.10	1030	74.208.54.219	80	1	GET	regencypointeretirement.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	-	-
1339325657.979485	CfsaJH23w9v78vkxYb	192.168.126.10	1032	74.208.54.219	80	1	GET	www.regencypointeretirement.com	/wp-content/themes/fallseason/style.css	http://www.regencypointeretirement.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7438	200	OK	-	-	-	(empty)	-	-	-	-	-	FviZCu13d3lbj8g8l3	text/plain
1339325657.331564	C8oCqI1AMq5YT8Q4b6	192.168.126.10	1031	74.208.54.219	80	1	GET	www.regencypointeretirement.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	10958	200	OK	-	-	-	(empty)	-	-	-	-	-	Fg2TW4NhJdDodWec8	text/html
1339325658.185222	CfsaJH23w9v78vkxYb	192.168.126.10	1032	74.208.54.219	80	2	GET	www.regencypointeretirement.com	/wp-content/plugins/nextgen-gallery/css/nggallery.css?ver=1.0.0	http://www.regencypointeretirement.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7158	200	OK	-	-	-	(empty)	-	-	-	-	-	FzvMbV1W2hRHOcJSnd	text/plain
1339325658.367368	C8oCqI1AMq5YT8Q4b6	192.168.126.10	1031	74.208.54.219	80	2	GET	www.regencypointeretirement.com	/wp-content/plugins/nextgen-gallery/shutter/shutter-reloaded.css?ver=1.3.4	http://www.regencypointeretirement.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1623	200	OK	-	-	-	(empty)	-	-	-	-	-	FUdJDg4NVvATG5XEa	text/plain
1339325658.367724	CfsaJH23w9v78vkxYb	192.168.126.10	1032	74.208.54.219	80	3	GET	www.regencypointeretirement.com	/wp-includes/js/jquery/jquery.js?ver=1.7.1	http://www.regencypointeretirement.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	93889	200	OK	-	-	-	(empty)	-	-	-	-	-	FGsY7j1ICXxv7wMVz8	text/html
1339325658.917991	C8oCqI1AMq5YT8Q4b6	192.168.126.10	1031	74.208.54.219	80	3	GET	www.regencypointeretirement.com	/wp-content/plugins/events-calendar/js/jquery.bgiframe.js?ver=2.1	http://www.regencypointeretirement.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5044	200	OK	-	-	-	(empty)	-	-	-	-	-	FQLHaygGUckjYIqmg	text/plain
1339325659.127078	CfsaJH23w9v78vkxYb	192.168.126.10	1032	74.208.54.219	80	4	GET	www.regencypointeretirement.com	/wp-content/plugins/events-calendar/js/jquery.tooltip.min.js?ver=1.3	http://www.regencypointeretirement.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4553	200	OK	-	-	-	(empty)	-	-	-	-	-	FpiQeK1dFDtGZifO4k	text/plain
1339325659.221341	C8oCqI1AMq5YT8Q4b6	192.168.126.10	1031	74.208.54.219	80	4	GET	www.regencypointeretirement.com	/wp-content/plugins/nextgen-gallery/shutter/shutter-reloaded.js?ver=1.3.3	http://www.regencypointeretirement.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	10263	200	OK	-	-	-	(empty)	-	-	-	-	-	F0S0gG2wMdJfhEeodd	text/plain
1339325659.377874	CfsaJH23w9v78vkxYb	192.168.126.10	1032	74.208.54.219	80	5	GET	www.regencypointeretirement.com	/wp-content/plugins/nextgen-gallery/js/jquery.cycle.all.min.js?ver=2.9995	http://www.regencypointeretirement.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	26590	200	OK	-	-	-	(empty)	-	-	-	-	-	FM5TWB4hWwSviqIVb4	text/plain
1339325659.568674	C8oCqI1AMq5YT8Q4b6	192.168.126.10	1031	74.208.54.219	80	5	GET	www.regencypointeretirement.com	/wp-content/plugins/nextgen-gallery/js/ngg.slideshow.min.js?ver=1.06	http://www.regencypointeretirement.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1791	200	OK	-	-	-	(empty)	-	-	-	-	-	FAbFTY1QuPtBZMNBz2	text/plain
