#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-09-50-43
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1337804050.430202	CgtLGb2qDAiPfH1Dhd	192.168.21.10	1030	216.146.38.125	80	1	GET	thelocal.de	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	-	-
1337804050.711019	CD2x0L1Ta9BpqlO8Wg	192.168.21.10	1031	46.20.229.1	80	1	GET	www.thelocal.de	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	101906	200	OK	-	-	-	(empty)	-	-	-	-	-	FMCrex3JrQUNHmjc94	text/html
1337804051.535498	CD2x0L1Ta9BpqlO8Wg	192.168.21.10	1031	46.20.229.1	80	2	GET	www.thelocal.de	/styles/print.css	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4114	200	OK	-	-	-	(empty)	-	-	-	-	-	FyVfwu200lI1ayfnii	text/plain
1337804051.527677	CfZoBa1bIDntfaI396	192.168.21.10	1032	46.20.229.1	80	1	GET	www.thelocal.de	/styles/screen.css?20110728	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	72097	200	OK	-	-	-	(empty)	-	-	-	-	-	FpL9XW2CF3U3IsDs4c	text/plain
1337804051.752053	CD2x0L1Ta9BpqlO8Wg	192.168.21.10	1031	46.20.229.1	80	3	GET	www.thelocal.de	/scripts/jquery-1.2.6.min.js	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	55774	200	OK	-	-	-	(empty)	-	-	-	-	-	FJ5zwA1YinEBe7wwFa	text/plain
1337804052.307479	CfZoBa1bIDntfaI396	192.168.21.10	1032	46.20.229.1	80	2	GET	www.thelocal.de	/scripts/jquery.tablesorter.min.js	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	12795	200	OK	-	-	-	(empty)	-	-	-	-	-	FDwtDt4ghg4sqSYVqc	application/x-elc
1337804052.505466	CD2x0L1Ta9BpqlO8Wg	192.168.21.10	1031	46.20.229.1	80	4	GET	www.thelocal.de	/scripts/jquery.tablesorter.pager.js	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3936	200	OK	-	-	-	(empty)	-	-	-	-	-	F6KCUt4MRlWxv8PUEa	text/plain
1337804052.704629	CfZoBa1bIDntfaI396	192.168.21.10	1032	46.20.229.1	80	3	GET	www.thelocal.de	/scripts/core.js?v=20120320	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2804	200	OK	-	-	-	(empty)	-	-	-	-	-	FPYEp1zcAhHvkcmkk	text/plain
1337804052.930474	CtP2A94AOOtjYPn58	192.168.21.10	1037	173.241.250.2	80	1	GET	d1.openx.org	/spcjs.php?id=32107&sov=62&keywords=&loggedin=n&block=1&charset=ISO-8859-1	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2325	200	OK	-	-	-	(empty)	-	-	-	-	-	FNRTFp4UuknLqeo54d	text/plain
1337804052.973227	CEpfgB4V1ln3LbWP68	192.168.21.10	1038	173.241.250.2	80	1	GET	d1.openx.org	/fl.js	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6707	200	OK	-	-	-	(empty)	-	-	-	-	-	FROaPm4k6pFexLwCS	text/plain
1337804052.958764	CtP2A94AOOtjYPn58	192.168.21.10	1037	173.241.250.2	80	2	GET	d1.openx.org	/spc.php?zones=leaderboard=133221|sectionhomepagescolumn1a=144777|belowcontentcolumn1=158303|topcolumn2a=172584|abovehighlightscolumn2=144775|belowhighlightscolumn2a=158293|belowhighlightscolumn2b=133453|topcolumn3a=138653|topcolumn3b=165673|topcolumn3c=165674|belowtextadscolumn3=133454|topcolumn4=150755|sectioncolumn1b=175310|&nz=1&source=home&r=58416073&sov=62&keywords=&loggedin=n&block=1&charset=ISO-8859-1&loc=http://www.thelocal.de/	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	61392	200	OK	-	-	-	(empty)	-	-	-	-	-	FJcudr1BALTSKz3qIb	text/plain
1337804054.023956	CEpfgB4V1ln3LbWP68	192.168.21.10	1038	173.241.250.2	80	2	GET	d1.openx.org	/ajs.php?zoneid=267985&cb=51558538802&charset=iso-8859-1&loc=http://www.thelocal.de/&mmm_fo=1	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	155	200	OK	-	-	-	(empty)	-	-	-	-	-	FiarbA3UfffNN5lMej	text/plain
1337804054.103666	CWpAdHYY9eoMxSbhb	192.168.21.10	1040	184.87.159.139	80	1	GET	connect.facebook.net	/en_US/all.js	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	181793	200	OK	-	-	-	(empty)	-	-	-	-	-	F2kuW34RrDCXR7DwRh	text/plain
1337804054.278293	CtP2A94AOOtjYPn58	192.168.21.10	1037	173.241.250.2	80	3	GET	d1.openx.org	/ajs.php?zoneid=268171&cb=86742727713&charset=iso-8859-1&loc=http://www.thelocal.de/&context=cDozNTk5NjB8&mmm_fo=1	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	155	200	OK	-	-	-	(empty)	-	-	-	-	-	FQNuv31qUBARhtWtK4	text/plain
1337804054.75652	CEpfgB4V1ln3LbWP68	192.168.21.10	1038	173.241.250.2	80	3	GET	d1.openx.org	/lg.php?bannerid=778769&campaignid=361553&zoneid=133221&source=home&loc=http://www.thelocal.de/&cb=e7695be495&r_id=ef82b19a7cc3e510fd353e30f4e17503&r_ts=m4hs4f	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	43	200	OK	-	-	-	(empty)	-	-	-	-	-	Fu2igi3QnQCy5U4Dwf	image/gif
1337804054.762465	C7BcAh3iWhLEejQfT1	192.168.21.10	1044	198.87.51.16	80	1	GET	i-cdn.servedbyopenx.com	/273/2732b2df3db1100300d49e826d822014ea3e23e2/6d4/6d440e63a4bf4ae820dea6efe60b8b61.gif	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	63646	200	OK	-	-	-	(empty)	-	-	-	-	-	FLjV531byXg63TUax	image/gif
1337804054.758471	CD2x0L1Ta9BpqlO8Wg	192.168.21.10	1031	46.20.229.1	80	5	GET	www.thelocal.de	/log/?spotlightview&746cd62d51b298fb6f5a6ba261472a7e&523	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1337804054.759698	CfZoBa1bIDntfaI396	192.168.21.10	1032	46.20.229.1	80	4	GET	www.thelocal.de	/images/spotlight/523.jpg	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3358	200	OK	-	-	-	(empty)	-	-	-	-	-	Fvuhbx26LxD2DWIYwg	image/jpeg
1337804054.909825	Cz03k12LdZDSqVCrrh	192.168.21.10	1043	85.17.122.249	80	1	GET	eurostile.info	/banners.cgi?advert_id=1&banner_id=1&chid=341aa8fca26bcff7830499c1c5f8e359	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	628	200	OK	-	-	-	(empty)	-	-	-	-	-	FCGEnf37UDHpGm8Erd	text/html
1337804054.944988	CD2x0L1Ta9BpqlO8Wg	192.168.21.10	1031	46.20.229.1	80	6	GET	www.thelocal.de	/images/core/arrows4.png	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	349	200	OK	-	-	-	(empty)	-	-	-	-	-	FPBY4o3TvbWnHmrHWh	image/png
1337804054.948224	CfZoBa1bIDntfaI396	192.168.21.10	1032	46.20.229.1	80	5	GET	www.thelocal.de	/images/core/facebook14.png	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	293	200	OK	-	-	-	(empty)	-	-	-	-	-	FDDuJB3XMxpP314wA8	image/png
1337804055.186621	CD2x0L1Ta9BpqlO8Wg	192.168.21.10	1031	46.20.229.1	80	7	GET	www.thelocal.de	/scripts/rotate_banner.js	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1673	200	OK	-	-	-	(empty)	-	-	-	-	-	FB4zC8j3QUceBsRn7	text/plain
1337804055.189701	CfZoBa1bIDntfaI396	192.168.21.10	1032	46.20.229.1	80	6	GET	www.thelocal.de	/images/core/2011-DE-site-flat-f57000.png	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3433	200	OK	-	-	-	(empty)	-	-	-	-	-	FkOgjr1Wwvy91dPAre	image/png
1337804055.423655	CD2x0L1Ta9BpqlO8Wg	192.168.21.10	1031	46.20.229.1	80	8	GET	www.thelocal.de	/includes/roate_banner/get_banners.php?a=1	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	455	200	OK	-	-	-	(empty)	-	-	-	-	-	FGdDdh2KHKz6BuULic	text/html
