#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-23-54
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1330214789.28572	CH2FjKjiAk2mnTnwi	192.168.92.10	1030	98.124.199.1	80	1	GET	bbbpopo.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	154	302	Object moved	-	-	-	(empty)	-	-	-	-	-	F0D7WJSuahGlusYLb	text/html
1330214789.421253	Ctk7b51feR12dx5Lvg	192.168.92.10	1031	69.4.227.43	80	1	GET	69.4.227.43	/img/index.html	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2780	200	OK	-	-	-	(empty)	-	-	-	-	-	FdXa1F4fyYeFwx7f0i	text/html
1330214789.554884	Ctk7b51feR12dx5Lvg	192.168.92.10	1031	69.4.227.43	80	2	GET	69.4.227.43	/img/swfobject.js	http://69.4.227.43/img/index.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	9439	200	OK	-	-	-	(empty)	-	-	-	-	-	Ft7F7a1K5rxJEjdbpi	text/plain
1330214789.696009	Ctk7b51feR12dx5Lvg	192.168.92.10	1031	69.4.227.43	80	3	GET	69.4.227.43	/img/jpg.js	http://69.4.227.43/img/index.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	41228	200	OK	-	-	-	(empty)	-	-	-	-	-	F2w0CV2shevUSJb06j	text/plain
1330214790.3053	Ctk7b51feR12dx5Lvg	192.168.92.10	1031	69.4.227.43	80	4	GET	69.4.227.43	/img/ff.html	http://69.4.227.43/img/index.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5829	200	OK	-	-	-	(empty)	-	-	-	-	-	FMOz2f2QBjv8Cbozo3	text/html
1330214790.639334	Ctk7b51feR12dx5Lvg	192.168.92.10	1031	69.4.227.43	80	5	GET	69.4.227.43	/img/K.Js	http://69.4.227.43/img/ff.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	203	200	OK	-	-	-	(empty)	-	-	-	-	-	Fz0IrY3Cgp6txoV776	text/plain
1330214790.54312	C5a9POW3BeTTAhDz3	192.168.92.10	1032	121.14.89.250	80	1	GET	s24.cnzz.com	/stat.php?id=3716599&web_id=3716599	http://69.4.227.43/img/index.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2394	200	OK	-	-	-	(empty)	-	-	-	-	-	FCkELg2s5bYhXtmvMh	text/html
1330214803.252209	Ctk7b51feR12dx5Lvg	192.168.92.10	1031	69.4.227.43	80	6	GET	69.4.227.43	/img/bb.swf	-	contype	0	901	200	OK	-	-	-	(empty)	-	-	-	-	-	FRD11r259BAbM6JNEi	application/x-shockwave-flash
1330214803.532529	Cbo3qR3d39BrklUmP	192.168.92.10	1037	69.4.227.43	80	1	GET	69.4.227.43	/img/bb.swf	http://69.4.227.43/img/ff.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	901	206	Partial Content	-	-	-	(empty)	-	-	-	-	-	FtoMtQlFaIZGmE0jc	application/x-shockwave-flash
1330214803.904258	CWWaJr42jsPHWcuBgl	192.168.92.10	1038	24.27.250.40	80	1	GET	fpdownload2.macromedia.com	/get/flashplayer/update/current/xml/version_en_win_ax.xml	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1568	200	OK	-	-	-	(empty)	-	-	-	-	-	F3c6uy4Z21UulHBs3a	text/html
1330214803.870589	Cbo3qR3d39BrklUmP	192.168.92.10	1037	69.4.227.43	80	2	GET	69.4.227.43	/img/ee.jpg	http://69.4.227.43/img/bb.swf	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	8471	200	OK	-	-	-	(empty)	-	-	-	-	-	FFkc7Y302oiVKYePTb	video/mp4
1330214804.345722	C6RqveTV5MgcRe9Vk	192.168.92.10	1040	69.4.227.43	80	1	GET	69.4.227.43	/img/Gondad.jpg	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2099	200	OK	-	-	-	(empty)	-	-	-	-	-	FfdIj94xLrvUtv1GR2	application/jar
1330214804.475749	C2BGRuceXvEEGA2gj	192.168.92.10	1039	110.75.187.220	80	1	GET	hzs24.cnzz.com	/stat.htm?id=3716599&r=&lg=en-us&ntime=0.73310000 1330209584&repeatip=0&rtime=0&cnzz_eid=94045789-1330209584-&showp=800x600&st=1330229084&sin=&res=0	http://69.4.227.43/img/index.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	43	200	OK	-	-	-	(empty)	-	-	-	-	-	FIZyXs3wzV5Y1aW8G2	image/gif
1330214804.932021	CWM1nzdayPRjotvBj	192.168.92.10	1041	69.4.227.43	80	1	GET	69.4.227.43	/img/com.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	1635	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FUcUTH1aN1grsKMqvb	text/html
1330214805.009077	CWM1nzdayPRjotvBj	192.168.92.10	1041	69.4.227.43	80	2	GET	69.4.227.43	/img/edu.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	1635	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FVhtFA392JryC3BLB7	text/html
1330214805.079142	CWM1nzdayPRjotvBj	192.168.92.10	1041	69.4.227.43	80	3	GET	69.4.227.43	/img/net.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	1635	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FLGTBh2OAMj5qJwXW7	text/html
1330214805.153615	CWM1nzdayPRjotvBj	192.168.92.10	1041	69.4.227.43	80	4	GET	69.4.227.43	/img/org.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	1635	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FdYJxO1A1DTZJIlCo5	text/html
1330214806.220923	CKgXZ9IfcI3SQPPa1	192.168.92.10	1043	174.127.76.29	80	1	GET	teel.otscer.com	/images/res34824.jpg	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	82432	200	OK	-	-	-	(empty)	-	-	-	-	-	Fkg35gFlmx5UVooBe	application/x-dosexec
#close	2014-04-03-10-23-55
