#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2014-04-03-10-43-23
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer
#types	time	string	addr	port	addr	port	string	string	bool	string
1357676241.683292	C0y9TS3PNCNpJ10kOk	192.168.31.10	1039	199.21.148.89	80	unescaped_special_URI_char	-	F	bro
1357676243.062258	-	-	-	-	-	unknown_protocol_2	-	F	bro
1357676292.988416	CINBKk1z1FBwuEvav9	192.168.31.10	1079	194.165.17.3	53	DNS_Conn_count_too_large	-	F	bro
1357676292.988602	CHXZFp44gBJiXhceJa	192.168.31.10	1079	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1357676292.990298	CDV9aa4SVo8ZIcZYUg	192.168.31.10	1081	194.165.17.3	53	DNS_Conn_count_too_large	-	F	bro
1357676292.990449	CAJ70F1uGDgAxdSpQ6	192.168.31.10	1081	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1357676293.004744	CknjiO3OW1CrFOOb9l	192.168.31.10	1083	194.165.17.3	53	DNS_Conn_count_too_large	-	F	bro
1357676293.004918	CRy1jW1D67hMCBUKzj	192.168.31.10	1083	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1357676293.006835	Cpgxng2BndwqyiBY38	192.168.31.10	1085	194.165.17.3	53	DNS_Conn_count_too_large	-	F	bro
1357676293.006977	CY7tBy3miHoXsoO5ui	192.168.31.10	1085	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1357676293.008393	CwAEMk1o3kFtI7V0v9	192.168.31.10	1087	194.165.17.3	53	DNS_Conn_count_too_large	-	F	bro
1357676293.008539	CR7GDp4ZRzri2Tr4Ja	192.168.31.10	1087	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1357676293.010239	C7WN7a4LkB1vax1aVg	192.168.31.10	1089	194.165.17.3	53	DNS_Conn_count_too_large	-	F	bro
1357676293.010382	C4Gc2F1t4FXZ2JZeQ6	192.168.31.10	1089	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1357676293.366721	CYAggO31UrDrDnpl9l	192.168.31.10	1093	194.165.17.3	53	DNS_Conn_count_too_large	-	F	bro
1357676293.366924	CfollW1SxVcITXEUzj	192.168.31.10	1093	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1357676293.379935	CvgTpg2MSOYZK0zN38	192.168.31.10	1096	194.165.17.3	53	DNS_Conn_count_too_large	-	F	bro
1357676293.380115	CUaozy3vb9Mgov91U2	192.168.31.10	1096	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1357676293.53337	CfBXfu3J2WffQHSh4d	192.168.31.10	1098	194.165.17.3	53	DNS_Conn_count_too_large	-	F	bro
1357676293.534521	CwnBE8syjGXUVnTSb	192.168.31.10	1098	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
#close	2014-04-03-10-43-24
