#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-08-45
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1314995905.530816	CfIUVKCsKenRevkGb	192.168.62.10	1030	66.96.147.113	80	1	GET	powersbest.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	225	302	Found	-	-	-	(empty)	-	-	-	-	-	FqTqOkQcxQRiI86ed	text/html
1314995905.831571	CDnEHt1DARmQpmwoZc	192.168.62.10	1031	91.228.133.74	80	1	GET	promosoftware.ru	/apacabar/inde.php	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	178	200	OK	-	-	-	(empty)	-	-	-	-	-	FOCIFphSK48U9vZKl	text/html
1314995906.047016	CDnEHt1DARmQpmwoZc	192.168.62.10	1031	91.228.133.74	80	2	GET	promosoftware.ru	/apacabar/inde.php?rf=	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	86	200	OK	-	-	-	(empty)	-	-	-	-	-	FIi8SW2TY6DBDbT1bj	text/html
1314995908.350468	Cda3JM1N5lp7ZDc1yg	192.168.62.10	1037	91.228.132.34	80	1	GET	actualsecure.ru	/content/worms.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	5019	200	OK	-	-	-	(empty)	-	-	-	-	-	FOeU301m9axguI76Yj	application/zip
1314995906.84939	CCjyns1mmEsCOL3svk	192.168.62.10	1032	91.228.132.34	80	1	GET	actualsecure.ru	/main.php?page=ee87d5979969cea3	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	179529	200	OK	-	-	-	(empty)	-	-	-	-	-	FxW3SvECof5Cv0fz6	text/html
1314995910.056857	CCjyns1mmEsCOL3svk	192.168.62.10	1032	91.228.132.34	80	2	GET	actualsecure.ru	/content/2fdp.php?f=24	http://actualsecure.ru/main.php?page=ee87d5979969cea3	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	95903	200	OK	-	-	-	(empty)	-	-	-	-	-	F6pjSiajf1Hyui0x	application/pdf
1314995912.108175	C0Ss1k22UWYQvp0P1i	192.168.62.10	1045	95.163.66.188	80	1	GET	1604534972	/RAW.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	6063	200	OK	-	-	-	(empty)	-	-	-	-	-	F5eYsc1h5sgPlFewU8	application/x-java-applet
1314995922.334794	CkC4vpvIOsnvMjl9d	192.168.62.10	1049	95.163.66.188	80	1	GET	1604534972	/RAW.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	6063	200	OK	-	-	-	(empty)	-	-	-	-	-	FdFvGt4uJAqgJpdNdc	application/x-java-applet
1314995922.374067	CZbwZ32o7T0zP5s6Jf	192.168.62.10	1047	95.163.66.188	80	1	GET	1604534972	/RAW.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	6063	200	OK	-	-	-	(empty)	-	-	-	-	-	FHwcqeD8r016e7sb3	application/x-java-applet
1314995922.384982	CZszoaFllUAYQtxse	192.168.62.10	1046	95.163.66.188	80	1	GET	1604534972	/RAW.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	6063	200	OK	-	-	-	(empty)	-	-	-	-	-	FwdwsB42y58n8gQeG9	application/x-java-applet
1314995922.644037	CI1H332tzak254kUJh	192.168.62.10	1048	95.163.66.188	80	1	GET	1604534972	/RAW.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	6063	200	OK	-	-	-	(empty)	-	-	-	-	-	Fd9AGJ1GIpPEErDkPi	application/x-java-applet
