#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-09-58-19
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1343042143.940597	C5pyu11KDOkcAqWzg7	192.168.15.10	1030	88.214.194.59	80	1	GET	rus-tabletki.ru	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	343	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	F1CLwZqBm3yl47X57	text/html
1343042144.081398	C2CmsIWX3787LfCjj	192.168.15.10	1031	89.248.172.19	80	1	GET	boostdeeming.org	/main.php?page=3f8586796d336f52	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	74452	200	OK	-	-	-	(empty)	-	-	-	-	-	FAdDXq3PLAAVGsoRp4	text/html
1343042153.353478	CWw9tH2uIcEuzbaRnf	192.168.15.10	1032	65.55.13.243	80	1	POST	activex.microsoft.com	/objects/ocget.dll	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	44	13	404	Not Found	-	-	-	(empty)	-	-	-	F0G0f33CcirK25cY7a	text/plain	FtgIt52dbYRccnm5cb	text/plain
1343042153.569884	C8kOJ82Zc2H5deNVUl	192.168.15.10	1037	65.55.13.243	80	1	POST	codecs.microsoft.com	/isapi/ocget.dll	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	44	13	404	Not Found	-	-	-	(empty)	-	-	-	FsiamY1uH9NQUbkt56	text/plain	FyE8Yz2nM6eJ0Kq0Q1	text/plain
1343042153.310645	C2CmsIWX3787LfCjj	192.168.15.10	1031	89.248.172.19	80	2	GET	boostdeeming.org	/w.php?f=47bca&e=2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	48640	200	OK	-	-	-	(empty)	-	-	-	-	-	FM9W3p2mzhXxH8alF8	application/x-dosexec
1343042153.740891	C2CmsIWX3787LfCjj	192.168.15.10	1031	89.248.172.19	80	3	GET	boostdeeming.org	/w.php?f=f424f&e=2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	127058	200	OK	-	-	-	(empty)	-	-	-	-	-	F0gmvo2jK9X0FXazVj	application/x-dosexec
1343042154.39281	C2CmsIWX3787LfCjj	192.168.15.10	1031	89.248.172.19	80	4	GET	boostdeeming.org	/w.php?f=b6863&e=2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	61440	200	OK	-	-	-	(empty)	-	-	-	-	-	FTilpi4nhZjNIoc0y4	application/x-dosexec
1343042155.523311	C2CmsIWX3787LfCjj	192.168.15.10	1031	89.248.172.19	80	5	GET	boostdeeming.org	/w.php?f=5a20e&e=2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4608	200	OK	-	-	-	(empty)	-	-	-	-	-	FGtJfw4ZNIoKZmnE2d	application/x-dosexec
1343042155.637701	C2CmsIWX3787LfCjj	192.168.15.10	1031	89.248.172.19	80	6	GET	boostdeeming.org	/w.php?f=cf234&e=2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	34304	200	OK	-	-	-	(empty)	-	-	-	-	-	FCFVPWkFOiD7ofGge	application/x-dosexec
1343042156.056094	C2CmsIWX3787LfCjj	192.168.15.10	1031	89.248.172.19	80	7	GET	boostdeeming.org	/data/ap2.php	http://boostdeeming.org/main.php?page=3f8586796d336f52	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	20351	200	OK	-	-	-	(empty)	-	-	-	-	-	Fs3sIi3eAv965eLLS2	application/pdf
1343042160.935022	C2CmsIWX3787LfCjj	192.168.15.10	1031	89.248.172.19	80	8	GET	boostdeeming.org	/data/field.swf	http://boostdeeming.org/main.php?page=3f8586796d336f52	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1008	200	OK	-	-	-	(empty)	-	-	-	-	-	Fh8bcx4nq8KzxWHjjb	application/x-shockwave-flash
