#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-26-30
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1356236381.060726	C9psrD4HFVJTW7PgP5	192.168.90.10	1030	69.89.31.237	80	1	GET	ukmotorhomefinder.co.uk	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	-	-
1356236381.567109	CGI3TE1tupqBsLXZch	192.168.90.10	1031	69.89.31.237	80	1	GET	www.ukmotorhomefinder.co.uk	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	9294	200	OK	-	-	-	(empty)	-	-	-	-	-	FAYuNpWDNWKbGMtP6	text/html
1356236382.063354	CGI3TE1tupqBsLXZch	192.168.90.10	1031	69.89.31.237	80	2	GET	www.ukmotorhomefinder.co.uk	/wp-content/uploads/2011/06/cropped-100_03491.jpg	http://www.ukmotorhomefinder.co.uk/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	73887	200	OK	-	-	-	(empty)	-	-	-	-	-	FdQj2y4XnZrRZFMti9	image/jpeg
1356236382.067004	CNnLwP3CGKzs2iv4Jk	192.168.90.10	1032	69.89.31.237	80	1	GET	www.ukmotorhomefinder.co.uk	/wp-content/themes/twentyten/style.css	http://www.ukmotorhomefinder.co.uk/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	24256	200	OK	-	-	-	(empty)	-	-	-	-	-	FrAxfe3DjVqgPtvlnk	text/plain
1356236382.394942	C2jFBf4eIToGS7mxxa	192.168.90.10	1033	74.125.140.155	80	1	GET	pagead2.googlesyndication.com	/pagead/show_ads.js	http://www.ukmotorhomefinder.co.uk/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	13811	200	OK	-	-	-	(empty)	-	-	-	-	-	FCI251sfUi09odZ7	text/plain
1356236382.362166	CGI3TE1tupqBsLXZch	192.168.90.10	1031	69.89.31.237	80	3	GET	www.ukmotorhomefinder.co.uk	/wp-content/uploads/2010/11/beach1aw1.exe	http://www.ukmotorhomefinder.co.uk/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	36201	200	OK	-	-	-	(empty)	-	-	-	-	-	FlFb1X1CkZKRZrck08	application/x-dosexec
1356236382.449081	C2jFBf4eIToGS7mxxa	192.168.90.10	1033	74.125.140.155	80	2	GET	pagead2.googlesyndication.com	/pagead/js/r20121206/r20121214/show_ads_impl.js	http://www.ukmotorhomefinder.co.uk/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	57857	200	OK	-	-	-	(empty)	-	-	-	-	-	Fvd2Xw4kXffWGgiMXc	text/plain
1356236382.844353	C2jFBf4eIToGS7mxxa	192.168.90.10	1033	74.125.140.155	80	3	GET	pagead2.googlesyndication.com	/pagead/render_ads.js	http://www.ukmotorhomefinder.co.uk/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	287	200	OK	-	-	-	(empty)	-	-	-	-	-	FRN3pz22LxCG7Bpfsf	text/plain
1356236382.974356	C2jFBf4eIToGS7mxxa	192.168.90.10	1033	74.125.140.155	80	4	GET	pagead2.googlesyndication.com	/pagead/osd.js	http://www.ukmotorhomefinder.co.uk/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	16646	200	OK	-	-	-	(empty)	-	-	-	-	-	F0sUWmJCnANmmmC31	text/plain
1356236383.017769	CNnLwP3CGKzs2iv4Jk	192.168.90.10	1032	69.89.31.237	80	2	GET	www.ukmotorhomefinder.co.uk	/wp-content/uploads/2010/09/white-rose.gif	http://www.ukmotorhomefinder.co.uk/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6728	200	OK	-	-	-	(empty)	-	-	-	-	-	FJ8AKE479uAENcH62h	image/gif
1356236383.09444	CXSaTs3ey0U6jgaO54	192.168.90.10	1035	69.89.31.237	80	1	GET	www.ukmotorhomefinder.co.uk	/wp-content/uploads/2010/09/h4h2-150x100.jpg	http://www.ukmotorhomefinder.co.uk/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	8111	200	OK	-	-	-	(empty)	-	-	-	-	-	F5e2ZT1bBs0UCxmuAg	image/jpeg
