#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2014-04-03-09-52-05
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer
#types	time	string	addr	port	addr	port	string	string	bool	string
1340048642.042872	CJrQNGi8p7fzPhfJi	192.168.10.10	1036	208.71.125.58	80	window_recision	-	F	bro
1340048644.359131	-	-	-	-	-	unknown_protocol_2	-	F	bro
1340048644.37355	CKqmkH1gJj9zvjLVTj	192.168.10.10	1059	64.236.115.51	80	unescaped_special_URI_char	-	F	bro
1340048644.491731	Cr1oNf1gWUgr4fj14g	192.168.10.10	1064	64.236.115.51	80	unescaped_special_URI_char	-	F	bro
1340048654.445176	CA9vZb2toRVdULKWJd	192.168.10.10	1080	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1340048654.453806	CULhxK1L57qFjh1MN3	192.168.10.10	1082	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1340048654.464949	C8m4vS3RlqbuPWVOl	192.168.10.10	1084	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1340048654.467514	CsevzB43maeTqZU9I6	192.168.10.10	1086	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1340048654.471171	CotyLf3BYs5zjFkxN8	192.168.10.10	1088	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1340048654.630428	CklTJO2yaTVLXCQYK9	192.168.10.10	1091	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1340048654.670859	Cq8YuB2a3T1vGO6RI7	192.168.10.10	1094	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1340048654.701131	CmMhY23Gln45hHKaH1	192.168.10.10	1096	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1340048659.188815	CkDbuR3gU3Tuo8IZT3	192.168.10.10	1098	209.170.118.17	80	SYN_after_reset	-	F	bro
1340048659.202776	CkDbuR3gU3Tuo8IZT3	192.168.10.10	1098	209.170.118.17	80	data_after_reset	-	F	bro
#close	2014-04-03-09-52-06
