#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-48-30
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1337389947.270246	CHFgxwBJliSS0B9Wl	192.168.106.10	1031	199.85.212.87	80	1	GET	imdaveerickson.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	-	-
1337389948.05459	CJTcSPi5wHltuSRq3	192.168.106.10	1032	199.85.212.87	80	1	GET	www.imdaveerickson.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	82177	200	OK	-	-	-	(empty)	-	-	-	-	-	FLe5iD3z0yDLnQ4Ewk	text/html
1337389949.234185	CJTcSPi5wHltuSRq3	192.168.106.10	1032	199.85.212.87	80	2	GET	www.imdaveerickson.com	/wp-content/themes/adventure-journal/style-ie.css?ver=3.3.2	http://www.imdaveerickson.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	456	200	OK	-	-	-	(empty)	-	-	-	-	-	FoJKTP2UjFJU3tp4F1	text/plain
1337389949.241308	ComY4v4Dd8i5IFM2L6	192.168.106.10	1033	199.85.212.87	80	1	GET	www.imdaveerickson.com	/wp-content/themes/adventure-journal/style.css?ver=3.3.2	http://www.imdaveerickson.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	32136	200	OK	-	-	-	(empty)	-	-	-	-	-	Fa7NKq4l1hVFwXRsO1	text/plain
1337389949.323438	CJTcSPi5wHltuSRq3	192.168.106.10	1032	199.85.212.87	80	3	GET	www.imdaveerickson.com	/wp-includes/js/jquery/jquery.js?ver=1.7.1	http://www.imdaveerickson.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	93889	200	OK	-	-	-	(empty)	-	-	-	-	-	FGz1I83FVKdADWXgn5	text/html
1337389949.407734	ComY4v4Dd8i5IFM2L6	192.168.106.10	1033	199.85.212.87	80	2	GET	www.imdaveerickson.com	/wp-content/themes/adventure-journal/fonts/Vollkorn-Regular-webfont.eot	http://www.imdaveerickson.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	39148	200	OK	-	-	-	(empty)	-	-	-	-	-	FQJWrA45ZlSRiONnW8	application/vnd.ms-fontobject
1337389949.62104	CJTcSPi5wHltuSRq3	192.168.106.10	1032	199.85.212.87	80	4	GET	www.imdaveerickson.com	/wp-content/themes/adventure-journal/aj.js?ver=3.3.2	http://www.imdaveerickson.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	420	200	OK	-	-	-	(empty)	-	-	-	-	-	FzfqdgnTIY26QCTG8	text/plain
1337389949.70486	ComY4v4Dd8i5IFM2L6	192.168.106.10	1033	199.85.212.87	80	3	GET	www.imdaveerickson.com	/wp-content/themes/adventure-journal/bh.js?ver=3.3.2	http://www.imdaveerickson.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4037	200	OK	-	-	-	(empty)	-	-	-	-	-	FNaRAh4ta8ARlJ4Nsb	text/plain
1337389949.800213	CJTcSPi5wHltuSRq3	192.168.106.10	1032	199.85.212.87	80	5	GET	www.imdaveerickson.com	/wp-content/plugins/google-analyticator/external-tracking.min.js?ver=6.2	http://www.imdaveerickson.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	927	200	OK	-	-	-	(empty)	-	-	-	-	-	FyMLop47qSxf5g4PNh	text/plain
1337389949.893292	ComY4v4Dd8i5IFM2L6	192.168.106.10	1033	199.85.212.87	80	4	GET	www.imdaveerickson.com	/wp-content/plugins/shutter-reloaded/shutter-reloaded.css?ver=2.4	http://www.imdaveerickson.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2506	200	OK	-	-	-	(empty)	-	-	-	-	-	FXpoJ02CKW6lHcfqb6	text/plain
1337389950.019598	Crbdig1VBfgJphYbU9	192.168.106.10	1038	72.21.91.19	80	1	GET	s.wordpress.org	/images/browsers/ie.png	http://www.imdaveerickson.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	21228	200	OK	-	-	-	(empty)	-	-	-	-	-	F5SUdZ3gEawSrLMjxk	image/png
1337389950.051423	CNVZDiU37PuqAfcf2	192.168.106.10	1041	184.169.75.33	80	1	GET	widgets.twimg.com	/j/2/widget.js	http://www.imdaveerickson.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	45289	200	OK	-	-	-	(empty)	-	-	-	-	-	FEvJrg4I98ILyagEp6	text/plain
1337389950.223077	CNVZDiU37PuqAfcf2	192.168.106.10	1041	184.169.75.33	80	2	GET	widgets.twimg.com	/j/2/widget.css	http://www.imdaveerickson.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2927	200	OK	-	-	-	(empty)	-	-	-	-	-	FR40Ou1eRDLOJEO1Ae	text/plain
1337389950.002739	CJTcSPi5wHltuSRq3	192.168.106.10	1032	199.85.212.87	80	6	GET	www.imdaveerickson.com	/wp-content/uploads/2012/01/cropped-SUNDAY-Sunset.jpg	http://www.imdaveerickson.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	72915	200	OK	-	-	-	(empty)	-	-	-	-	-	Fswq3z1DIWIFiuKUGg	image/jpeg
1337389950.010542	ComY4v4Dd8i5IFM2L6	192.168.106.10	1033	199.85.212.87	80	5	GET	www.imdaveerickson.com	/wp-content/uploads/2012/05/Erin-and-Dave.jpg	http://www.imdaveerickson.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	110851	200	OK	-	-	-	(empty)	-	-	-	-	-	FTJDwk4nw9y5v2GCf2	image/jpeg
1337389950.230303	CJTcSPi5wHltuSRq3	192.168.106.10	1032	199.85.212.87	80	7	GET	www.imdaveerickson.com	/wp-content/themes/adventure-journal/images/mp-background-tile.jpg	http://www.imdaveerickson.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	75343	200	OK	-	-	-	(empty)	-	-	-	-	-	Fxg56F3Z44b1pK7zYf	image/jpeg
1337389950.251345	CTFa1CIYmQgHwI2ed	192.168.106.10	1044	199.85.212.87	80	1	GET	www.daveerickson360.com	/wp-content/uploads/2011/07/DE_media-WED-e1310577296677.jpg	http://www.imdaveerickson.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6635	200	OK	-	-	-	(empty)	-	-	-	-	-	FIU0mk40wjtmhAKdZ9	image/jpeg
1337389950.299644	Clz50k1z4ug1JFRKH5	192.168.106.10	1045	199.85.212.87	80	1	GET	www.daveerickson360.com	/wp-content/uploads/2011/07/SBRV2-copy-e1309757911197.jpg	http://www.imdaveerickson.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6113	200	OK	-	-	-	(empty)	-	-	-	-	-	F5k1RP1HeHR71Htcdj	image/jpeg
1337389950.162449	Cgl0bX2wMXvETzLKGe	192.168.106.10	1039	74.125.71.139	80	1	GET	www.google-analytics.com	/ga.js	http://www.imdaveerickson.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	36627	200	OK	-	-	-	(empty)	-	-	-	-	-	FnVhyt2xBQTqHOnr1l	text/plain
1337389950.454161	ComY4v4Dd8i5IFM2L6	192.168.106.10	1033	199.85.212.87	80	6	GET	www.imdaveerickson.com	/wp-includes/js/tinymce/plugins/wordpress/img/trans.gif	http://www.imdaveerickson.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	43	200	OK	-	-	-	(empty)	-	-	-	-	-	Fswzz14EMwvWlFH7S7	image/gif
1337389950.219951	C48v9F3SASRnIEWUH3	192.168.106.10	1042	74.125.71.190	80	1	GET	www.youtube.com	/embed/JAidUgwoygg	http://www.imdaveerickson.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7005	200	OK	-	-	-	(empty)	-	-	-	-	-	FAfgkX365iOmoHuzPa	text/html
1337389950.22025	CYlFKy4jhom2OKU1Tk	192.168.106.10	1043	74.125.71.190	80	1	GET	www.youtube.com	/embed/pCn3cXnH-qw	http://www.imdaveerickson.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7030	200	OK	-	-	-	(empty)	-	-	-	-	-	FLGv1W2ShF7ZNIozM9	text/html
1337389950.600507	CNVZDiU37PuqAfcf2	192.168.106.10	1041	184.169.75.33	80	3	GET	widgets.twimg.com	/j/1/default.gif	http://www.imdaveerickson.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	43	200	OK	-	-	-	(empty)	-	-	-	-	-	FdqECQ3f5VNUmMqtTl	image/gif
1337389950.455581	CTFa1CIYmQgHwI2ed	192.168.106.10	1044	199.85.212.87	80	2	GET	www.daveerickson360.com	/wp-content/uploads/2011/09/Oz-Fitness200.jpg	http://www.imdaveerickson.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	15710	200	OK	-	-	-	(empty)	-	-	-	-	-	FuCMFj4ocsV6TDZbO6	image/jpeg
1337389950.644749	CM0qND2qq61CQf6C04	192.168.106.10	1046	184.169.75.33	80	1	GET	widgets.twimg.com	/i/widget-logo.png	http://www.imdaveerickson.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	887	200	OK	-	-	-	(empty)	-	-	-	-	-	FdahYl1aEf7aFLD8Sf	image/png
1337389950.650544	CygDHC4hiXg21ekLbl	192.168.106.10	1047	199.59.148.20	80	1	GET	api.twitter.com	/1/statuses/user_timeline.json?screen_name=IMDaveErickson&callback=TWTR.Widget.receiveCallback_1&include_rts=true&count=11&clientsource=TWITTERINC_WIDGET&include_entities=true&1337404231078=cachebust	http://www.imdaveerickson.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	31333	200	OK	-	-	-	(empty)	-	-	-	-	-	F4hsXd26JCTHaqpd75	text/plain
1337389950.455858	Clz50k1z4ug1JFRKH5	192.168.106.10	1045	199.85.212.87	80	2	GET	www.daveerickson360.com	/wp-content/uploads/2011/07/Screen-shot-2011-07-05-at-12.38.00-PM-e1309894872539.png	http://www.imdaveerickson.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	32015	200	OK	-	-	-	(empty)	-	-	-	-	-	FfPgM8JunCs3TODF3	image/png
1337389950.454521	CJTcSPi5wHltuSRq3	192.168.106.10	1032	199.85.212.87	80	8	GET	www.imdaveerickson.com	/wp-content/uploads/2012/05/Dave-Infiniti-G25.jpg	http://www.imdaveerickson.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	156406	200	OK	-	-	-	(empty)	-	-	-	-	-	FXEqye3p6FHiQyKZtc	image/jpeg
1337389950.758018	CNWKYFka7DbICMfHd	192.168.106.10	1048	184.169.75.33	80	1	GET	a0.twimg.com	/profile_images/1860546814/ak_normal.jpg	http://www.imdaveerickson.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4197	200	OK	-	-	-	(empty)	-	-	-	-	-	FHCMor38FKISSE35j8	image/jpeg
1337389950.75827	C5lGgq117wRBCTFVa6	192.168.106.10	1049	184.169.75.33	80	1	GET	a0.twimg.com	/profile_images/1606535458/a76db12b-8b3a-4ac1-8804-68beb350f6fc_normal.png	http://www.imdaveerickson.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6087	200	OK	-	-	-	(empty)	-	-	-	-	-	Fmgd5G3HGIPK22Von1	image/png
1337389950.795361	CNWKYFka7DbICMfHd	192.168.106.10	1048	184.169.75.33	80	2	GET	a0.twimg.com	/profile_images/1809053736/EH_Podcast_Icon_normal.jpg	http://www.imdaveerickson.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5612	200	OK	-	-	-	(empty)	-	-	-	-	-	FX9d7fEVRacAfHHd	image/jpeg
1337389950.719467	Cgl0bX2wMXvETzLKGe	192.168.106.10	1039	74.125.71.139	80	2	GET	www.google-analytics.com	/__utm.gif?utmwv=5.3.1&utms=1&utmn=282019814&utmhn=www.imdaveerickson.com&utmcs=utf-8&utmsr=800x600&utmvp=780x459&utmsc=24-bit&utmul=en-us&utmje=1&utmfl=10.0 r32&utmdt=Dave Erickson, Ironman Reporter & Journalist&utmhid=1259824434&utmr=-&utmp=/&utmac=UA-23972357-9&utmcc=__utma=72235531.472586369.1337404231.1337404231.1337404231.1;+__utmz=72235531.1337404231.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none);&utmu=q~	http://www.imdaveerickson.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	35	200	OK	-	-	-	(empty)	-	-	-	-	-	F1mx6w2GG3OlAeNa75	image/gif
1337389950.616008	ComY4v4Dd8i5IFM2L6	192.168.106.10	1033	199.85.212.87	80	7	GET	www.imdaveerickson.com	/wp-content/uploads/2012/05/Volvo-XC60-R-Design.jpg	http://www.imdaveerickson.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	164309	200	OK	-	-	-	(empty)	-	-	-	-	-	FSsXsB2ejcqR6vQe7d	image/jpeg
1337389951.038708	Ccqo3K2tNA9qlKsVca	192.168.106.10	1050	74.125.71.113	80	1	GET	s.ytimg.com	/yt/img/pixel-vfl3z5WfW.gif	http://www.youtube.com/embed/JAidUgwoygg	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	43	200	OK	-	-	-	(empty)	-	-	-	-	-	F9HIgvWVEQlpb8QM	image/gif
