#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-09-57-09
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1338416648.607059	ClfPXO2RHpfbedwmJb	192.168.88.10	1030	62.109.23.206	80	1	GET	meta-tv.ru	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	282	200	OK	-	-	-	(empty)	-	-	-	-	-	FpSX6i1VTUIMjbNmP2	text/plain
1338416649.152043	CfOB9113gE5Ykce0k7	192.168.88.10	1032	158.255.215.154	80	1	GET	traaf.in	/www/show.php?s=0bd9af67fe	http://meta-tv.ru/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	293	200	OK	-	-	-	(empty)	-	-	-	-	-	FSt0kh2oFugWUAXAFb	text/html
1338416651.35811	Cx0xbi40k2Oq3ACqu5	192.168.88.10	1037	158.255.215.154	80	1	GET	traaf.in	/www/p_.jar?13eb213a	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	22123	200	OK	-	-	-	(empty)	-	-	-	-	-	FeRQoo38w7UmB0Byf9	application/jar
1338416652.128613	CRSgRlzXeDrK8q6Oe	192.168.88.10	1031	93.170.52.30	80	1	GET	qwerttioloa.tk	/83233786.html	http://meta-tv.ru/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1521	203	Non-Authoritative Information	-	-	-	(empty)	-	-	-	-	-	FNCu792Nq76gCoPkFf	text/html
1338416652.667407	CDelfm2A4x4D8Lczpj	192.168.88.10	1039	93.170.52.50	80	1	GET	domain.dot.tk	/p/?d=QWERTTIOLOA&i=74.217.36.97&c=1&ro=0&ref=http://meta-tv.ru/&_=1338416535222	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	-	-
1338416652.925879	ChNNve2i0FSN6cS14h	192.168.88.10	1040	93.170.52.30	80	1	GET	qwerttioloa.tk	/abused	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	13637	200	OK	-	-	-	(empty)	-	-	-	-	-	FUU76u2A4JOqtNMae	text/html
1338416653.956162	CnKTeT3fHwc8L9PVc9	192.168.88.10	1042	216.137.47.65	80	1	GET	cdn.dot.tk	/urlfwd/abused/logo.png	http://qwerttioloa.tk/abused	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7577	200	OK	-	-	-	(empty)	-	-	-	-	-	Fuie7x3OAd6r09eH25	image/png
1338416653.98867	CnKTeT3fHwc8L9PVc9	192.168.88.10	1042	216.137.47.65	80	2	GET	cdn.dot.tk	/urlfwd/abused/sub_page_box.png	http://qwerttioloa.tk/abused	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2408	200	OK	-	-	-	(empty)	-	-	-	-	-	Fjs7n04TIq5snLN8w3	image/png
1338416653.95639	C5c0KH1FfPvenQBNP6	192.168.88.10	1041	216.137.47.65	80	1	GET	cdn.dot.tk	/urlfwd/abused/background.jpg	http://qwerttioloa.tk/abused	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	46073	200	OK	-	-	-	(empty)	-	-	-	-	-	F6l8zG1x4mPq0cfkBl	image/jpeg
1338416654.144702	C5c0KH1FfPvenQBNP6	192.168.88.10	1041	216.137.47.65	80	2	GET	cdn.dot.tk	/urlfwd/abused/sub_page_box_slice.png	http://qwerttioloa.tk/abused	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	244	200	OK	-	-	-	(empty)	-	-	-	-	-	FqnVGL1pc5Wdt527Wh	image/png
1338416654.144979	CnKTeT3fHwc8L9PVc9	192.168.88.10	1042	216.137.47.65	80	3	GET	cdn.dot.tk	/urlfwd/abused/go.png	http://qwerttioloa.tk/abused	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1623	200	OK	-	-	-	(empty)	-	-	-	-	-	FagqIB2tW0GE84fyp8	image/png
1338416654.182153	CnKTeT3fHwc8L9PVc9	192.168.88.10	1042	216.137.47.65	80	4	GET	cdn.dot.tk	/urlfwd/abused/abuse_sprite2.png	http://qwerttioloa.tk/abused	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4832	200	OK	-	-	-	(empty)	-	-	-	-	-	Fm1DXq3d9Q10K9mXGg	image/png
1338416654.180503	C5c0KH1FfPvenQBNP6	192.168.88.10	1041	216.137.47.65	80	3	GET	cdn.dot.tk	/urlfwd/abused/bgGreyBox.gif	http://qwerttioloa.tk/abused	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	171	200	OK	-	-	-	(empty)	-	-	-	-	-	FSGOu54OO9zD6F0X29	image/gif
1338416654.373113	CnKTeT3fHwc8L9PVc9	192.168.88.10	1042	216.137.47.65	80	5	GET	cdn.dot.tk	/urlfwd/abused/sub_page_box_bottom1.png	http://qwerttioloa.tk/abused	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1214	200	OK	-	-	-	(empty)	-	-	-	-	-	FXEvPS2cZAjHkqdgL	image/png
1338416654.372766	C5c0KH1FfPvenQBNP6	192.168.88.10	1041	216.137.47.65	80	4	GET	cdn.dot.tk	/urlfwd/abused/tk2.png	http://qwerttioloa.tk/abused	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	43651	200	OK	-	-	-	(empty)	-	-	-	-	-	FrkdzA1ZgHjJ5QHlM	image/png
1338416653.14899	CHNIh03It3xSpgOCk2	192.168.88.10	1038	158.255.215.154	80	1	GET	traaf.in	/www/a.php?f=65&e=0&q=1510492427	-	Java/1.6.0_10	0	359424	200	OK	-	-	-	(empty)	-	-	-	-	-	FXVHCB22DsN48Upgbf	application/x-dosexec
#close	2014-04-03-09-57-10
