#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-05-28
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1320340746.181902	Cp8rnL1t5fQ3blHfl6	192.168.74.10	1030	176.65.160.43	80	1	GET	theccc.in	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	234	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FquhKvfiUcwghnnu2	text/html
1320340746.408798	C6m3c64TMcrxmZGIYj	192.168.74.10	1031	176.65.161.38	80	1	GET	eeestyle.in	/?site=3	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	51662	200	OK	-	-	-	(empty)	-	-	-	-	-	FY7UkG4h2XfVidtIl5	text/html
1320340747.462146	CHGYRj2JG4KJXiu9uh	192.168.74.10	1032	176.65.161.38	80	1	GET	eeestyle.in	/dl/pdf_libtiff9.php	http://eeestyle.in/?site=3	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2638	200	OK	-	-	-	(empty)	-	-	-	-	-	FDLa7Z8Gc7ksmF5hj	application/pdf
1320340751.179005	CHdemI1laiQkqI8rb9	192.168.74.10	1033	176.65.161.38	80	1	GET	eeestyle.in	/dl/dl.php?6	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	400368	200	OK	-	-	-	(empty)	-	-	-	-	-	FrvXfsAVzxWm1U1D6	application/x-dosexec
1320340752.390349	C395lx3URzGa0NQX9l	192.168.74.10	1042	176.65.161.38	80	1	GET	eeestyle.in	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	5930	200	OK	-	-	-	(empty)	-	-	-	-	-	FDcIH6vHOqFnTLHUe	application/jar
1320340752.391309	CadbxL1YS3QsomDPji	192.168.74.10	1041	176.65.161.38	80	1	GET	2957091110	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14289	200	OK	-	-	-	(empty)	-	-	-	-	-	F6gYIUq2LzoCSNjTb	application/x-java-applet
1320340752.387277	CrNY4D44hxBlFVDQk6	192.168.74.10	1045	176.65.161.38	80	1	GET	2957091110	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14289	200	OK	-	-	-	(empty)	-	-	-	-	-	FJpnPP1lAOwy45mene	application/x-java-applet
1320340752.392107	C4ntve1qxTxvlyIyY9	192.168.74.10	1039	176.65.161.38	80	1	GET	2957091110	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14289	200	OK	-	-	-	(empty)	-	-	-	-	-	Fe9Wlb1m8r2GUC6pWj	application/x-java-applet
1320340752.40217	CRXRP8440XtBVXkfth	192.168.74.10	1043	176.65.161.38	80	1	GET	2957091110	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14289	200	OK	-	-	-	(empty)	-	-	-	-	-	FsvG1j2heAABHdFvh9	application/x-java-applet
1320340752.393364	CIRFKj2yR9s36a5Btd	192.168.74.10	1040	176.65.161.38	80	1	GET	2957091110	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14289	200	OK	-	-	-	(empty)	-	-	-	-	-	FNsqtM106101VmzLi5	application/x-java-applet
1320340752.399085	CoKhaI1qXtQC9DAIa9	192.168.74.10	1044	176.65.161.38	80	1	GET	2957091110	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14289	200	OK	-	-	-	(empty)	-	-	-	-	-	FoGkf43vEFD2rEJnK8	application/x-java-applet
1320340752.39404	CBRF664OQf7Ww1CaYj	192.168.74.10	1038	176.65.161.38	80	1	GET	eeestyle.in	/dl/apache.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	19279	200	OK	-	-	-	(empty)	-	-	-	-	-	F9HtA810praKzbysab	application/jar
1320340752.882298	CmSSscW1NsbtSlhi5	192.168.74.10	1046	176.65.161.38	80	1	GET	eeestyle.in	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	5930	200	OK	-	-	-	(empty)	-	-	-	-	-	FHzlj32QtA7Dqh4LNh	application/jar
1320340753.277358	CdK3ev2eCgfJvi1mtg	192.168.74.10	1048	193.105.154.22	80	1	GET	open-994233.com	/up.php?0Q9oBPXEN0uECUgzEJ95RQsagj3vq1aG3F/2q5oNqwOd0A==	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1320340775.353394	CM8YOmGL7MqRPMW13	192.168.74.10	1050	193.105.154.34	80	1	GET	start-258527.com	/uuica1/587-direct	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	344064	200	OK	-	-	-	(empty)	-	-	-	-	-	Fd0XTL2DfBHzUATlNl	binary
#close	2014-04-03-11-05-29
