#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-47-53
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1322948969.780189	CawIbC3Fdoc0tuDZjb	192.168.113.10	1030	95.168.165.224	80	1	GET	tubeheart.net	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	240	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FCl9W21rhbsTVTGyCf	text/html
1322948969.933073	C302SB3O4tg1f2m00g	192.168.113.10	1031	149.255.33.229	80	1	GET	designportal2.com	/?site=6	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1322948970.067355	CbtJLC4CwfgurcuXnj	192.168.113.10	1032	109.123.116.51	80	1	GET	googleads5.in	/redir.html	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	349	200	OK	-	-	-	(empty)	-	-	-	-	-	FtqB144Lg1mFN1CHJk	text/html
1322948970.296069	CduUig1i6bB4j7DfH7	192.168.113.10	1036	109.123.116.51	80	1	GET	googleads5.in	/in.cgi?default	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	186	302	Found	-	-	-	(empty)	-	-	-	-	-	Fy857B2CdDbmU7Xzm4	text/html
1322948970.698642	C36jEzHAu4xODqrf8	192.168.113.10	1037	149.255.33.229	80	1	GET	portal5for8.in	/?site=8	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	154	200	OK	-	-	-	(empty)	-	-	-	-	-	FON6ks3EdPwmf2Xpk7	text/html
1322948972.605598	CE8pKH8WNjS6CHSI7	192.168.113.10	1042	149.255.33.229	80	1	GET	portal5for8.in	/?a3d74ce0d83dd8002f6a5d215f7afabf	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3991	200	OK	-	-	-	(empty)	-	-	-	-	-	Fm8aGe3ArwAejzqBi3	application/jar
1322948972.72138	CEhhszeNAiMnAaLc	192.168.113.10	1043	149.255.33.229	80	1	GET	portal5for8.in	/?a3d74ce0d83dd8002f6a5d215f7afabf	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3991	200	OK	-	-	-	(empty)	-	-	-	-	-	FwaRsN23gROjNITub1	application/jar
1322948972.855846	CgUkXf1H7GfoLr2y85	192.168.113.10	1044	149.255.33.229	80	1	GET	portal5for8.in	/?a3d74ce0d83dd8002f6a5d215f7afabf	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3991	200	OK	-	-	-	(empty)	-	-	-	-	-	FJtViv3lYtgQIBxvP4	application/jar
1322948973.001187	CEXh1i2PeFhqCQmN11	192.168.113.10	1045	149.255.33.229	80	1	GET	portal5for8.in	/com.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	208	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FpbaEW4RAZl6anc4f	text/html
1322948973.082043	CpR3Ep1WQGr7VSFvj4	192.168.113.10	1046	149.255.33.229	80	1	GET	portal5for8.in	/edu.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	208	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FRaDuq1JZYbmPYoSlb	text/html
1322948973.164569	CNcBk82uCJXpzZLi59	192.168.113.10	1047	149.255.33.229	80	1	GET	portal5for8.in	/net.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	208	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FE8yJUwK9HaszuMcb	text/html
1322948973.253051	CvSXuRnKrH5nzs8U6	192.168.113.10	1048	149.255.33.229	80	1	GET	portal5for8.in	/org.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	208	404	Not Found	-	-	-	(empty)	-	-	-	-	-	F5Ulhc1ggP8aKGSKQl	text/html
1322948973.421303	CB0LHpbxziBpypRS6	192.168.113.10	1049	149.255.33.229	80	1	GET	designportal2.com	/?59b3d5d0f71f16f14810ef6ce07373ff	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	445576	200	OK	-	-	-	(empty)	-	-	-	-	-	FYtLlE4HCSeoojDya5	application/x-dosexec
#close	2014-04-03-10-47-54
