#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-47-26
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1325101896.810963	C36aKaoCSOethvrCc	192.168.63.10	1029	78.108.81.160	80	1	GET	www.facturazemli.ru	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	294	302	Found	-	-	-	(empty)	-	-	-	-	-	F0Pixz1XBcQyvJhe43	text/html
1325101906.772171	CK3fjaZYPvmUHjGp9	192.168.63.10	1036	79.137.237.83	80	1	GET	floatspacer.ru	/access/index.php	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1273	200	OK	-	-	-	(empty)	-	-	-	-	-	FmWYbi3sjMFazgy0ng	text/html
1325101907.483351	ChWHHkhyMnVIab6ba	192.168.63.10	1040	79.137.237.83	80	1	GET	answer-spacer.ru	/main.php?page=b67137fa79c9e463	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	93343	200	OK	-	-	-	(empty)	-	-	-	-	-	FBXWgz3LM1fHXB3ba6	text/html
1325101916.94751	ChWHHkhyMnVIab6ba	192.168.63.10	1040	79.137.237.83	80	2	GET	answer-spacer.ru	/w.php?f=25&e=2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	323072	200	OK	-	-	-	(empty)	-	-	-	-	-	Fn5Ltg3W6gj9Ev4lUj	application/x-dosexec
1325101934.37761	C3nAxl4Cpechdb53da	192.168.63.10	1043	79.137.237.83	80	1	GET	answer-spacer.ru	/content/v1.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3622	200	OK	-	-	-	(empty)	-	-	-	-	-	FX1I1d2cuSTyDXmgif	application/zip
1325101935.561471	Ckn5RkG2TVYO4Hvw9	192.168.63.10	1044	79.137.237.83	80	1	GET	answer-spacer.ru	/com.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	465	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FmreFi2u6X0K9Izyyh	text/html
1325101935.833334	Ckn5RkG2TVYO4Hvw9	192.168.63.10	1044	79.137.237.83	80	2	GET	answer-spacer.ru	/edu.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	465	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FRsgM71YJZ51SU64y8	text/html
1325101937.122695	Ckn5RkG2TVYO4Hvw9	192.168.63.10	1044	79.137.237.83	80	3	GET	answer-spacer.ru	/net.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	465	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FelaKD25un5NzJ7LAj	text/html
1325101937.422115	Ckn5RkG2TVYO4Hvw9	192.168.63.10	1044	79.137.237.83	80	4	GET	answer-spacer.ru	/org.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	465	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FgRGzJyiFmisU93c7	text/html
1325101937.955709	Ckn5RkG2TVYO4Hvw9	192.168.63.10	1044	79.137.237.83	80	5	GET	answer-spacer.ru	/w.php?f=25&e=0	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1325101938.417368	C7j8DbfKOFHyrdtu9	192.168.63.10	1042	79.137.237.83	80	1	GET	answer-spacer.ru	/content/field.swf	http://answer-spacer.ru/main.php?page=b67137fa79c9e463	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1416	200	OK	-	-	-	(empty)	-	-	-	-	-	FS7CIK13roZ9eNpLog	application/x-shockwave-flash
1325101969.12025	CPD15g4tGjq7Y40DIc	192.168.63.10	1047	69.61.23.147	80	1	GET	vyganison.com	/1004000112	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)	0	2	200	OK	-	-	-	(empty)	-	-	-	-	-	FlazdA2I7TxhAJbCN1	text/plain
1325101932.756525	ChWHHkhyMnVIab6ba	192.168.63.10	1040	79.137.237.83	80	3	GET	answer-spacer.ru	/content/fdp2.php?f=25	http://answer-spacer.ru/main.php?page=b67137fa79c9e463	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	96062	200	OK	-	-	-	(empty)	-	-	-	-	-	FAYWF01Q5ianyQRjH5	application/pdf
#close	2014-04-03-10-47-27
