#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-45-56
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1330758395.970186	CYUWOQ3GaDHGHz0FQb	192.168.51.10	1030	64.202.189.170	80	1	GET	jbellashop.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	-	-
1330758396.09025	CjObVU3rr9XwdiwlPi	192.168.51.10	1031	97.74.144.91	80	1	GET	www.jbellashop.net	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	25947	200	OK	-	-	-	(empty)	-	-	-	-	-	FZzUpT33x0J5SAeiy	text/html
1330758397.676403	CjObVU3rr9XwdiwlPi	192.168.51.10	1031	97.74.144.91	80	2	GET	www.jbellashop.net	/wp-content/plugins/wp-e-commerce/wpsc-core/js/thickbox.css?ver=3.8.7.1.449097	http://www.jbellashop.net/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3458	200	OK	-	-	-	(empty)	-	-	-	-	-	FSdvzQ2laktoWrYX4f	text/plain
1330758397.81872	CjObVU3rr9XwdiwlPi	192.168.51.10	1031	97.74.144.91	80	3	GET	www.jbellashop.net	/wp-content/themes/WPFlexiShop12/wpsc-FlexiShop.css?ver=3.2.1	http://www.jbellashop.net/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	28533	200	OK	-	-	-	(empty)	-	-	-	-	-	FbQbsx47puDHsjdcJ4	text/plain
1330758397.821987	CR3QZb37MMUp1GggOd	192.168.51.10	1033	94.75.244.113	80	1	GET	photosmile.in	/in.cgi?6	http://www.jbellashop.net/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	190	302	Found	-	-	-	(empty)	-	-	-	-	-	F92Vzc2zUb86sGIXj6	text/html
1330758397.936185	CjObVU3rr9XwdiwlPi	192.168.51.10	1031	97.74.144.91	80	4	GET	www.jbellashop.net	/wp-content/themes/WPFlexiShop12/compatibility.css?ver=3.2.1	http://www.jbellashop.net/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1308	200	OK	-	-	-	(empty)	-	-	-	-	-	FbpBrZ16pNHnch3Wvg	text/plain
1330758397.988648	CjObVU3rr9XwdiwlPi	192.168.51.10	1031	97.74.144.91	80	5	GET	www.jbellashop.net	/wp-content/plugins/wp-e-commerce/wpsc-core/js/product_rater.css?ver=3.8.7.1.449097	http://www.jbellashop.net/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2421	200	OK	-	-	-	(empty)	-	-	-	-	-	FQmapG3ISUEfTmIw7l	text/plain
1330758397.709129	Ch2vHq2iBZWDKTuWJk	192.168.51.10	1032	97.74.144.91	80	1	GET	www.jbellashop.net	/wp-content/themes/WPFlexiShop12/style.css	http://www.jbellashop.net/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	51749	200	OK	-	-	-	(empty)	-	-	-	-	-	Fmo0sP3LCMpr3ZmbY8	text/plain
1330758398.149263	Ch2vHq2iBZWDKTuWJk	192.168.51.10	1032	97.74.144.91	80	2	GET	www.jbellashop.net	/wp-content/themes/WPFlexiShop12/js/prettyphoto/css/prettyPhoto.css?ver=3.0.1	http://www.jbellashop.net/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	16900	200	OK	-	-	-	(empty)	-	-	-	-	-	FnzHgv3K4kJfMMhiV1	text/plain
1330758398.14901	CHRRIF4ihU4Jw234Cb	192.168.51.10	1034	85.17.77.145	80	1	GET	heartukraine.in	/?site=15	http://www.jbellashop.net/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	334	200	OK	-	-	-	(empty)	-	-	-	-	-	F7USIl40sRmlksIvc	text/html
1330758398.208235	Ch2vHq2iBZWDKTuWJk	192.168.51.10	1032	97.74.144.91	80	3	GET	www.jbellashop.net	/wp-content/plugins/contact-form-7/styles.css?ver=3.0.2.1	http://www.jbellashop.net/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	951	200	OK	-	-	-	(empty)	-	-	-	-	-	FknmTA4sAouojSFM	text/plain
1330758398.26023	Ch2vHq2iBZWDKTuWJk	192.168.51.10	1032	97.74.144.91	80	4	GET	www.jbellashop.net	/wp-includes/js/l10n.js?ver=20101110	http://www.jbellashop.net/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	308	200	OK	-	-	-	(empty)	-	-	-	-	-	FdMG632arj9eTkuOUa	text/plain
1330758398.3537	Ch2vHq2iBZWDKTuWJk	192.168.51.10	1032	97.74.144.91	80	5	GET	www.jbellashop.net	/wp-content/themes/WPFlexiShop12/images/background.jpg	http://www.jbellashop.net/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	8629	200	OK	-	-	-	(empty)	-	-	-	-	-	FqAHz515ZVUXXnkgt3	image/jpeg
1330758398.041296	CjObVU3rr9XwdiwlPi	192.168.51.10	1031	97.74.144.91	80	6	GET	www.jbellashop.net	/index.php?wpsc_user_dynamic_css=true&category&ver=3.8.7.1.449097	http://www.jbellashop.net/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1815	200	OK	-	-	-	(empty)	-	-	-	-	-	FFX9IJvOIQxGdwaY9	text/plain
1330758399.956456	CgsodZ2T3zuW9eOaUe	192.168.51.10	1040	85.17.77.145	80	1	GET	heartukraine.in	/?42e5cec825ba9eeb35e197d6e580dacd	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	11419	200	OK	-	-	-	(empty)	-	-	-	-	-	F3zsDX2IAYb75LdL32	application/jar
