#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-19-25
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1331339895.331964	CCKSIe2KCqbthODgOb	192.168.89.10	1030	66.235.245.134	80	1	GET	phoenixnewtimes.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	330	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FhDrry29uf3x4v0I4i	text/html
1331339895.636274	Cy4hFx1X6DsNnJ7t1c	192.168.89.10	1032	69.164.10.214	80	1	GET	assets.phoenixnewtimes.com	/load/c/default-29398.css	http://www.phoenixnewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	58969	200	OK	-	-	-	(empty)	-	-	-	-	-	Fi0KXl9dDyfNBoN82	text/plain
1331339895.378482	CcR1w42vH2KjWhydQe	192.168.89.10	1031	69.164.10.161	80	1	GET	www.phoenixnewtimes.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	126618	200	OK	-	-	-	(empty)	-	-	-	-	-	FGyMvh4MbeTeZfkfjg	text/html
1331339895.640986	Cy4hFx1X6DsNnJ7t1c	192.168.89.10	1032	69.164.10.214	80	2	GET	assets.phoenixnewtimes.com	/load/j/default-29398.js	http://www.phoenixnewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	364406	200	OK	-	-	-	(empty)	-	-	-	-	-	FjmePU2SEsVeZuWon6	text/html
1331339895.636698	CeyHt82yR8S0gDibye	192.168.89.10	1033	69.164.10.214	80	1	GET	assets.phoenixnewtimes.com	/load/c/index-index-29398.css	http://www.phoenixnewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	39577	200	OK	-	-	-	(empty)	-	-	-	-	-	F7a4zS3BqqCX0nxAig	text/plain
1331339896.063257	CcR1w42vH2KjWhydQe	192.168.89.10	1031	69.164.10.161	80	2	GET	www.phoenixnewtimes.com	/img/toolbar_spinner.gif	http://www.phoenixnewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4474	200	OK	-	-	-	(empty)	-	-	-	-	-	FW6HSa4n53Y2OM9mba	image/gif
1331339896.116746	Cm8KWu1I9F4CChfTv1	192.168.89.10	1034	208.71.123.69	80	1	GET	oascentral.phoenixnewtimes.com	/adstream_mjx.ads/www.phoenixnewtimes.com/home/1912206308@TopLeft,TopRight,Middle,Middle3?XE&Category=Home&Subcategory=Home&XE	http://www.phoenixnewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2165	200	OK	-	-	-	(empty)	-	-	-	-	-	Frxe0g4Ct8eXId1mjl	text/html
1331339896.161923	CeyHt82yR8S0gDibye	192.168.89.10	1033	69.164.10.214	80	2	GET	assets.phoenixnewtimes.com	/load/j/index-index-29398.js	http://www.phoenixnewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	30469	200	OK	-	-	-	(empty)	-	-	-	-	-	FenPLN1Mvy8GgYdBB1	text/plain
1331339896.600705	CeyHt82yR8S0gDibye	192.168.89.10	1033	69.164.10.214	80	3	GET	assets.phoenixnewtimes.com	/img/citylogo-lg.png	http://www.phoenixnewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	19047	200	OK	-	-	-	(empty)	-	-	-	-	-	Flpf4L1N16C8NcjW2e	image/png
1331339896.848067	CGtMyg4FIzYnJ8Oax4	192.168.89.10	1035	74.125.47.101	80	1	GET	www.google-analytics.com	/ga.js	http://www.phoenixnewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	33407	200	OK	-	-	-	(empty)	-	-	-	-	-	FUJIj9su8Ri1K2Vid	text/plain
1331339896.888471	CeyHt82yR8S0gDibye	192.168.89.10	1033	69.164.10.214	80	4	GET	assets.phoenixnewtimes.com	/img/nav_template_both.jpg	http://www.phoenixnewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	26715	200	OK	-	-	-	(empty)	-	-	-	-	-	FfSIUD1lsQPOpbMexh	image/jpeg
