#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-11-25
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1325821420.623879	CRCryP2Qm0U4an0yP6	192.168.7.10	1030	188.165.3.30	80	1	GET	kportal11.net	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	237	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FRYXrU3IfZlXzFARtg	text/html
1325821420.820218	Cs5n25IXOL8xWVET7	192.168.7.10	1031	94.23.148.66	80	1	GET	whitecat3.net	/?site=11	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	463	200	OK	-	-	-	(empty)	-	-	-	-	-	FM3vtAaFtDxUni2L8	text/html
1325821422.580743	CPplP21lmiMsZLBON8	192.168.7.10	1032	94.23.148.66	80	1	GET	whitecat3.net	/?13bed1487c1fd9f80add0a2023c216ad	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	13219	200	OK	-	-	-	(empty)	-	-	-	-	-	FMFtfD2GsCXxtiYWXf	application/jar
1325821422.583148	CznhbiXMJSCMM8CR9	192.168.7.10	1033	94.23.148.66	80	1	GET	whitecat3.net	/?ad3dc7962e5743fa02f9cf73560b5d00	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	10244	200	OK	-	-	-	(empty)	-	-	-	-	-	FTorP42kAzl4TYWdpd	application/jar
1325821423.011606	CctKBPQqBuFhAes95	192.168.7.10	1034	94.23.148.66	80	1	GET	whitecat3.net	/?13bed1487c1fd9f80add0a2023c216ad	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	13219	200	OK	-	-	-	(empty)	-	-	-	-	-	Fkdm1nfnalpDKKtPj	application/jar
1325821423.013205	CXHOec2E3w5AUHoet3	192.168.7.10	1035	94.23.148.66	80	1	GET	whitecat3.net	/?ad3dc7962e5743fa02f9cf73560b5d00	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	10244	200	OK	-	-	-	(empty)	-	-	-	-	-	FQDtUQ2PNrgSyg4kQ8	application/jar
1325821423.481374	CactDm1N20QgIM4iO1	192.168.7.10	1040	94.23.148.66	80	1	GET	whitecat3.net	/?13bed1487c1fd9f80add0a2023c216ad	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	13219	200	OK	-	-	-	(empty)	-	-	-	-	-	FG7aof3UadkyfWvfi	application/jar
1325821423.560941	CfDwKJ1awBsiRtRK0c	192.168.7.10	1041	94.23.148.66	80	1	GET	whitecat3.net	/?ad3dc7962e5743fa02f9cf73560b5d00	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	10244	200	OK	-	-	-	(empty)	-	-	-	-	-	Fcpy421CUiVKCFZWCe	application/jar
1325821423.992334	CqOt6w3w65XWL4P7Hd	192.168.7.10	1042	94.23.148.66	80	1	GET	whitecat3.net	/com.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	208	404	Not Found	-	-	-	(empty)	-	-	-	-	-	Fm1rJj4YWuDp2Bxoe9	text/html
1325821424.209869	CVEJfT3ZM7S005T4Gf	192.168.7.10	1043	94.23.148.66	80	1	GET	whitecat3.net	/edu.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	208	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FhU9vK2arr6nWLBM2	text/html
1325821424.408298	CtABGD43MjxGt17mZd	192.168.7.10	1044	94.23.148.66	80	1	GET	whitecat3.net	/net.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	208	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FV6YeC3UPeq30Zrqdf	text/html
1325821424.612776	CM9sBg4nBDHGWZaxYb	192.168.7.10	1045	94.23.148.66	80	1	GET	whitecat3.net	/org.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	208	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FuNMIf3Y0ujakCOIpg	text/html
1325821425.015772	C2kbLT3oz1YPNeaXCf	192.168.7.10	1047	94.23.148.66	80	1	GET	whitecat3.net	/?d15f12a4822949378dabaac41f3fe148	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	441122	200	OK	-	-	-	(empty)	-	-	-	-	-	FzUvOTNBUIMpMtz59	application/x-dosexec
1325821424.857847	CTrqzw3JdfM7Xx4LEd	192.168.7.10	1046	94.23.148.66	80	1	GET	whitecat3.net	/?74eb516d87ddf0736137f226c3f19572	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	441122	200	OK	-	-	-	(empty)	-	-	-	-	-	Fwk5Sg4KycvFrvT3J	application/x-dosexec
1325821439.822029	CQ3CAb2z7QQZTw77w3	192.168.7.10	1048	31.44.184.49	80	1	GET	strategytorrent.com	/up.php?0Q9oBPXEN0uECUgzEJ95RQsbjjrvq1aG3F/2q5sb+kXU2mKa1w==	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1325821440.52843	CNqlrO16nXBtEHz1a	192.168.7.10	1049	31.44.184.49	80	1	GET	craftmason.com	/?ylOdR9GQqXquMlTvsmXlkaz1x3Ab/w==	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	372736	200	OK	-	-	-	(empty)	-	-	-	-	-	Fye5pzjRZNG7R304j	binary
#close	2014-04-03-10-11-26
