#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-31-12
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1320343019.637871	CYJQWz3BDP53o2p0t7	192.168.94.10	1030	176.65.160.43	80	1	GET	thebbb.in	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	234	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	Fc3oyn2seBxBJ6PMma	text/html
1320343019.885363	CKBRPI2avNRfiE58bi	192.168.94.10	1031	176.65.161.38	80	1	GET	eeestyle.in	/?site=2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	51662	200	OK	-	-	-	(empty)	-	-	-	-	-	Fuflbp1QnfP6ILlINe	text/html
1320343021.367517	C2aLokop4SfGR0Ioc	192.168.94.10	1032	176.65.161.38	80	1	GET	eeestyle.in	/dl/pdf_libtiff9.php	http://eeestyle.in/?site=2	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2638	200	OK	-	-	-	(empty)	-	-	-	-	-	FDDEiX3bSqjbPahKSe	application/pdf
1320343025.119242	Cb30p72n6desGu3vLj	192.168.94.10	1042	176.65.161.38	80	1	GET	eeestyle.in	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	5930	200	OK	-	-	-	(empty)	-	-	-	-	-	Fy0Nwc1tR2VyDFKUT3	application/jar
1320343025.114117	CWl3GT17fcbwTfzIK2	192.168.94.10	1045	176.65.161.38	80	1	GET	2957091110	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14289	200	OK	-	-	-	(empty)	-	-	-	-	-	Fu9uOj2dMmOPx3JuSb	application/x-java-applet
1320343025.119976	CzXG2X2ScF262iBPN2	192.168.94.10	1040	176.65.161.38	80	1	GET	2957091110	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14289	200	OK	-	-	-	(empty)	-	-	-	-	-	FEt9NG3ggMWV1TUaa7	application/x-java-applet
1320343025.11841	C5bKnFoM5Cq4bsBx8	192.168.94.10	1041	176.65.161.38	80	1	GET	2957091110	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14289	200	OK	-	-	-	(empty)	-	-	-	-	-	Fllf9l25SqnFvoOVgh	application/x-java-applet
1320343025.121026	CwURGj3DHVVje68Cw4	192.168.94.10	1044	176.65.161.38	80	1	GET	2957091110	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14289	200	OK	-	-	-	(empty)	-	-	-	-	-	FIxa2e1ZmU2H5Vpe4i	application/x-java-applet
1320343025.133579	CPSurw48fbzdZNuehf	192.168.94.10	1043	176.65.161.38	80	1	GET	2957091110	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14289	200	OK	-	-	-	(empty)	-	-	-	-	-	FsETmu4K7UByQBCAHa	application/x-java-applet
1320343025.126903	CioXYS1h3LQ266tfa	192.168.94.10	1038	176.65.161.38	80	1	GET	2957091110	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14289	200	OK	-	-	-	(empty)	-	-	-	-	-	FlfwQk4BS1Wk75iXsc	application/x-java-applet
1320343025.117594	CcBbB94PfTSqyKtcfe	192.168.94.10	1039	176.65.161.38	80	1	GET	eeestyle.in	/dl/apache.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	19279	200	OK	-	-	-	(empty)	-	-	-	-	-	FQ4iyL2NcBFjIRlxi8	application/jar
