#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-51-20
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1316226463.354895	CzOYjN2aotkQcfuIXj	192.168.26.10	1030	66.147.240.190	80	1	GET	2wii.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	334	200	OK	-	-	-	(empty)	-	-	-	-	-	FulHHG2RhbPwzPNrt	text/plain
1316226464.06227	CaDUUl1alvGYSdP	192.168.26.10	1031	188.247.135.29	80	1	GET	fpjtmfzc.cz.cc	/?go=1	http://2wii.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1316226464.630305	Ck00iX2iHEpCG23nqj	192.168.26.10	1032	31.31.74.37	80	1	GET	pemrioxnfx.cz.cc	/main.php?page=80bee0d740c5aceb	http://2wii.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	185124	200	OK	-	-	-	(empty)	-	-	-	-	-	FxXwZl4qNRntdHQLXh	text/html
1316226466.520563	Ck00iX2iHEpCG23nqj	192.168.26.10	1032	31.31.74.37	80	2	GET	pemrioxnfx.cz.cc	/w.php?f=19&e=4	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	472064	200	OK	-	-	-	(empty)	-	-	-	-	-	FBDl2UtnbOZLhbHqk	application/x-dosexec
1316226469.397828	Ck00iX2iHEpCG23nqj	192.168.26.10	1032	31.31.74.37	80	3	GET	pemrioxnfx.cz.cc	/content/2fdp.php?f=19	http://pemrioxnfx.cz.cc/main.php?page=80bee0d740c5aceb	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	12411	200	OK	-	-	-	(empty)	-	-	-	-	-	FprTpt3VM28Y0aS1R2	application/pdf
1316226485.909478	Ck00iX2iHEpCG23nqj	192.168.26.10	1032	31.31.74.37	80	4	GET	pemrioxnfx.cz.cc	/w.php?f=19&e=6	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	472064	200	OK	-	-	-	(empty)	-	-	-	-	-	F2blHR2yRVJjDX6nN8	application/x-dosexec
1316226489.550035	Ck00iX2iHEpCG23nqj	192.168.26.10	1032	31.31.74.37	80	5	GET	pemrioxnfx.cz.cc	/content/field.swf	http://2wii.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1305	200	OK	-	-	-	(empty)	-	-	-	-	-	FES1jq4oMD36dPq5Ek	application/x-shockwave-flash
1316226490.598293	CYyoU83E9RK3f4dyvj	192.168.26.10	1042	89.208.34.116	80	1	OPTIONS	89.208.34.116	/	-	Microsoft-WebDAV-MiniRedir/5.1.2600	0	166	405	Not Allowed	-	-	-	(empty)	-	-	-	-	-	F1kCev3uGOU2I0OD1	text/html
1316226500.683717	Co1Ejd1oM6zPGY2v01	192.168.26.10	1043	31.31.74.37	80	1	GET	pemrioxnfx.cz.cc	/content/worms.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	5730	200	OK	-	-	-	(empty)	-	-	-	-	-	FuEvx72I9OpeNP1lXi	application/zip
1316226500.708491	CPf5IO2R3YO9laRtNi	192.168.26.10	1048	95.163.88.209	80	1	GET	1604540625	/Main.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	6128	200	OK	-	-	-	(empty)	-	-	-	-	-	F59CC72bUxGnc6lZc8	application/x-java-applet
1316226500.701879	C8bjX730iJIKk1Fy5k	192.168.26.10	1044	95.163.88.209	80	1	GET	1604540625	/Main.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	6128	200	OK	-	-	-	(empty)	-	-	-	-	-	FhILzS1Bvp0Nfu7m42	application/x-java-applet
