#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-18-09
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1356471793.337025	CwainC3tL7eJAO2mJe	192.168.4.10	1030	95.168.173.149	80	1	GET	promoadultfriendfinder.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1356471793.704475	CkaYvN206oESmuRuKl	192.168.4.10	1031	188.165.24.210	80	1	GET	whhe.k23rugaru.info	/?b666b991ebb6ecf997b94374b3302f56=27&bf403307c51c7a5dbb4aafa00fb7e8d1=	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	518	200	OK	-	-	-	(empty)	-	-	-	-	-	FhZXqQ1Zw27X615I24	text/html
1356471793.935704	CXNoYL3T6pdD3KlAnk	192.168.4.10	1032	188.165.24.210	80	1	GET	whhe.k23rugaru.info	/a9328426371d316afeb5c2b14599241d.eot	http://whhe.k23rugaru.info/?b666b991ebb6ecf997b94374b3302f56=27&bf403307c51c7a5dbb4aafa00fb7e8d1=	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4191	200	OK	-	-	-	(empty)	-	-	-	-	-	FwqA4B4ppkykiNv9H6	application/vnd.ms-fontobject
1356471795.409201	CMohe44ulvtND81L6g	192.168.4.10	1034	188.165.24.210	80	1	GET	188.165.24.210	/?5703ce69c99438089a26a044866b37c2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	110592	200	OK	-	-	-	(empty)	-	-	-	-	-	FlgAWT3btHoSmW7SB7	application/x-dosexec
1356471796.872744	CsbQjjoGphtaIxc0a	192.168.4.10	1039	188.165.24.210	80	1	GET	whhe.k23rugaru.info	/3d162e0d70168865927111d2e7b689d6/e0e47c48b3a3a3dd9fc934fd351f6b42.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	9045	200	OK	-	-	-	(empty)	-	-	-	-	-	Fu2fY64b8fFPFTFfHe	application/jar
1356471797.122796	CTWXuj1FnsbGeEU2E8	192.168.4.10	1040	188.165.24.210	80	1	GET	whhe.k23rugaru.info	/3d162e0d70168865927111d2e7b689d6/e0e47c48b3a3a3dd9fc934fd351f6b42.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	9045	200	OK	-	-	-	(empty)	-	-	-	-	-	F6BvGLVcSIrtBeWi4	application/jar
1356471797.396708	CE3wQB1WDq7mWQJDk4	192.168.4.10	1041	188.165.24.210	80	1	GET	whhe.k23rugaru.info	/3d162e0d70168865927111d2e7b689d6/e0e47c48b3a3a3dd9fc934fd351f6b42.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	9045	200	OK	-	-	-	(empty)	-	-	-	-	-	FIy55W1cHRHyfhZ58h	application/jar
1356471797.658784	Cr6Fm1YmRxTSKy1y9	192.168.4.10	1042	188.165.24.210	80	1	GET	whhe.k23rugaru.info	/3d162e0d70168865927111d2e7b689d6/0	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	110592	200	OK	-	-	-	(empty)	-	-	-	-	-	FSoASDtYTs63EtTV5	binary
1356471798.290398	C7Iy0H1r6vrpo4dEY4	192.168.4.10	1043	188.165.24.210	80	1	GET	whhe.k23rugaru.info	/3d162e0d70168865927111d2e7b689d6/1	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	41472	200	OK	-	-	-	(empty)	-	-	-	-	-	FPSd4u4hc5VjTUIpO1	binary
1356471799.483781	CeeSCo1pcHrRYiIF6i	192.168.4.10	1047	85.17.136.97	80	1	GET	ighklplong.twomillion.info	/get.php?id=1	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FefpXg2fjt8Rkpw31f	text/html
1356471799.046121	CFnK7ud1RSQTT9lUa	192.168.4.10	1045	188.165.24.210	80	1	GET	whhe.k23rugaru.info	/3d162e0d70168865927111d2e7b689d6/2	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	165376	200	OK	-	-	-	(empty)	-	-	-	-	-	Fqz5z13wGMWFFO34n7	binary
