#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-13-58
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1322936705.826476	Cll9BT3SFlfCUmDnob	192.168.100.10	1030	109.236.82.78	80	1	GET	tempdom13.info	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	238	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FYDw253BKVRZxYWDx	text/html
1322936706.025978	CXOmr03pQD9b2YyqX3	192.168.100.10	1031	109.236.82.79	80	1	GET	softportal5.in	/?site=13	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	154	200	OK	-	-	-	(empty)	-	-	-	-	-	FCwPu24wdbdI68QFy3	text/html
1322936707.842222	CjwqAg7iw6jwzstB4	192.168.100.10	1032	109.236.82.79	80	1	GET	softportal5.in	/?e77d4a303cfeb5a8f253e280c62fdafe	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3985	200	OK	-	-	-	(empty)	-	-	-	-	-	F5MPfb4qKgmujAf8p7	application/jar
1322936708.064783	ChzNuv3RTxgVju9ns2	192.168.100.10	1037	109.236.82.79	80	1	GET	softportal5.in	/?e77d4a303cfeb5a8f253e280c62fdafe	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3985	200	OK	-	-	-	(empty)	-	-	-	-	-	FB12Hd4IY5eKp2w2E6	application/jar
1322936708.349959	CbxHg61u2Dds9LX5Df	192.168.100.10	1038	109.236.82.79	80	1	GET	softportal5.in	/?e77d4a303cfeb5a8f253e280c62fdafe	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3985	200	OK	-	-	-	(empty)	-	-	-	-	-	Fw53Ey4zPcgrekQZZ3	application/jar
1322936708.618495	CteOWK2ezksMOHIDUe	192.168.100.10	1039	109.236.82.79	80	1	GET	softportal5.in	/com.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	208	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FVxNxr3vFFX7aenOv8	text/html
1322936708.822199	CrrvkA2N0HA97ORNB	192.168.100.10	1040	109.236.82.79	80	1	GET	softportal5.in	/edu.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	208	404	Not Found	-	-	-	(empty)	-	-	-	-	-	F66qBf4E5xwglm1TAa	text/html
1322936709.037168	C9SWXI4EV8BkoGfia	192.168.100.10	1041	109.236.82.79	80	1	GET	softportal5.in	/net.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	208	404	Not Found	-	-	-	(empty)	-	-	-	-	-	Fk7g1GqRQyRM1UGM9	text/html
1322936709.247483	CB0OeB1PbGLlnHuTZi	192.168.100.10	1042	109.236.82.79	80	1	GET	softportal5.in	/org.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	208	404	Not Found	-	-	-	(empty)	-	-	-	-	-	F7N6u4pXtRmB6OK8k	text/html
1322936709.639957	C7Rb9E4p3akTNN605h	192.168.100.10	1043	109.236.82.79	80	1	GET	softportal5.in	/?a4717fa27fe313e6fa03a4b82d5f3adb	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	463872	200	OK	-	-	-	(empty)	-	-	-	-	-	FUtep5a1aJoMwl6R1	application/x-dosexec
#close	2014-04-03-11-13-58
