#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-43-48
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1327437260.975574	CxfSrM3kRedCJrPfQ9	192.168.54.10	1030	188.114.58.246	80	1	GET	7y1m1.leaningmenchu.ru	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1327437261.723382	CQjmHh151GQA80vk72	192.168.54.10	1031	176.34.184.62	80	1	GET	carforhome.net	/main.php?page=ce57441e61ae2f12	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	79905	200	OK	-	-	-	(empty)	-	-	-	-	-	FbeE203TlhwwB8Osk	text/html
1327437276.273829	CQjmHh151GQA80vk72	192.168.54.10	1031	176.34.184.62	80	2	GET	carforhome.net	/w.php?f=19&e=2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	79872	200	OK	-	-	-	(empty)	-	-	-	-	-	Fm1GEi4dMm1TEThAR	application/x-dosexec
1327437281.310357	CQjmHh151GQA80vk72	192.168.54.10	1031	176.34.184.62	80	3	GET	carforhome.net	/content/fdp2.php?f=19	http://carforhome.net/main.php?page=ce57441e61ae2f12	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	154	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	F87ZCn4MBzjZmNeY21	text/html
1327437282.737291	COX2TF1In4Wu2A8qvk	192.168.54.10	1038	62.212.128.31	80	1	GET	xhow.org.in	/index.php?src=143&surl=carforhome.net&sport=80&suri=/content/fdp2.php?f=19	http://carforhome.net/main.php?page=ce57441e61ae2f12	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	197	404	Not found	-	-	-	(empty)	-	-	-	-	-	Fk7Ai6WtEgMTc7Y5c	text/html
1327437282.529698	C92UWD3kYHoDIxDkv	192.168.54.10	1036	176.34.184.62	80	1	GET	carforhome.net	/content/field.swf	http://carforhome.net/main.php?page=ce57441e61ae2f12	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1481	200	OK	-	-	-	(empty)	-	-	-	-	-	FZcUifSesbnxB5Y32	application/x-shockwave-flash
1327437282.66604	CfTV9UpgmD5J3WKB9	192.168.54.10	1037	176.34.184.62	80	1	GET	carforhome.net	/content/v1.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	4425	200	OK	-	-	-	(empty)	-	-	-	-	-	FbTvQ11YNrradRgyk8	application/zip
1327437293.376988	C8Fe9e3AInhw4hBb51	192.168.54.10	1040	63.217.184.75	80	1	GET	www.download.windowsupdate.com	/msdownload/update/v3/static/trustedr/en/authrootseq.txt	-	Microsoft-CryptoAPI/5.131.2600.2180	0	18	200	OK	-	-	-	(empty)	-	-	-	-	-	F1TFcL1XYVW62gkrYe	text/plain
1327437293.417366	C8Fe9e3AInhw4hBb51	192.168.54.10	1040	63.217.184.75	80	2	GET	www.download.windowsupdate.com	/msdownload/update/v3/static/trustedr/en/authrootstl.cab	-	Microsoft-CryptoAPI/5.131.2600.2180	0	47186	200	OK	-	-	-	(empty)	-	-	-	-	-	FyWHht2JkzZcRv0l75	application/vnd.ms-cab-compressed
1327437299.770225	CfQnD11TJRGxvol4O8	192.168.54.10	1041	69.31.75.17	80	1	GET	fpdownload2.macromedia.com	/get/flashplayer/update/current/xml/version_en_win_ax.xml	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1568	200	OK	-	-	-	(empty)	-	-	-	-	-	FdGS7QqF1Gia44pN8	text/html
1327437300.04422	C8dd7v1WQTHBFvq5Tj	192.168.54.10	1042	176.34.184.62	80	1	GET	carforhome.net	/com.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	162	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FNnHsW1vZuZBmwEt72	text/html
