#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-09-51-06
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1338091039.345732	CfgJCP1oj2xUOC5pj1	192.168.120.10	1030	94.126.40.144	80	1	GET	presenterstudio.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	-	-
1338091040.81557	CHgIMZ2JvWP0iKI9i5	192.168.120.10	1031	94.126.40.144	80	1	GET	www.presenterstudio.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	28623	200	OK	-	-	-	(empty)	-	-	-	-	-	FMiejh4JqkTZ6zfQ7d	text/html
1338091042.314474	CHgIMZ2JvWP0iKI9i5	192.168.120.10	1031	94.126.40.144	80	2	GET	www.presenterstudio.com	/wp-content/themes/presenterstudio/style.css	http://www.presenterstudio.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	40017	200	OK	-	-	-	(empty)	-	-	-	-	-	FSNpUw1plossiBleEg	text/plain
1338091042.411098	CRxWjz3ZoBX8ProCY7	192.168.120.10	1036	94.126.40.144	80	1	GET	www.presenterstudio.com	/wp-content/themes/presenterstudio/wpsc-default.css?ver=3.8.7.6.2.494864	http://www.presenterstudio.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	29614	200	OK	-	-	-	(empty)	-	-	-	-	-	FvuHqp3cJe1jiuUH32	text/plain
1338091042.521051	CHgIMZ2JvWP0iKI9i5	192.168.120.10	1031	94.126.40.144	80	3	GET	www.presenterstudio.com	/wp-content/plugins/wp-e-commerce/wpsc-theme/compatibility.css?ver=3.8.7.6.2.494864	http://www.presenterstudio.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	908	200	OK	-	-	-	(empty)	-	-	-	-	-	FCgWhW2X7PuTsJ1U45	text/plain
1338091042.636145	CHgIMZ2JvWP0iKI9i5	192.168.120.10	1031	94.126.40.144	80	4	GET	www.presenterstudio.com	/wp-includes/js/jquery/jquery.js?ver=1.7.1	http://www.presenterstudio.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	93889	200	OK	-	-	-	(empty)	-	-	-	-	-	FytwVY3QcQYE7xymN4	text/html
1338091043.046876	CHgIMZ2JvWP0iKI9i5	192.168.120.10	1031	94.126.40.144	80	5	GET	www.presenterstudio.com	/wp-content/themes/presenterstudio/avgardn-webfont.eot?	http://www.presenterstudio.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	34814	200	OK	-	-	-	(empty)	-	-	-	-	-	FzwSjZHN7FCrBwS9j	application/vnd.ms-fontobject
1338091043.15407	CHgIMZ2JvWP0iKI9i5	192.168.120.10	1031	94.126.40.144	80	6	GET	www.presenterstudio.com	/wp-content/themes/presenterstudio/avgardd-webfont.eot?	http://www.presenterstudio.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	34202	200	OK	-	-	-	(empty)	-	-	-	-	-	FSxZRV1sUNuTvBKoW7	application/vnd.ms-fontobject
1338091043.253179	CHgIMZ2JvWP0iKI9i5	192.168.120.10	1031	94.126.40.144	80	7	GET	www.presenterstudio.com	/wp-content/themes/presenterstudio/angelina-webfont.eot?	http://www.presenterstudio.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	62052	200	OK	-	-	-	(empty)	-	-	-	-	-	Fd5Byn39iq6BcT4XS7	application/vnd.ms-fontobject
1338091042.634762	CRxWjz3ZoBX8ProCY7	192.168.120.10	1036	94.126.40.144	80	2	GET	www.presenterstudio.com	/index.php?wpsc_user_dynamic_css=true&category&ver=3.8.7.6.2.494864	http://www.presenterstudio.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1811	200	OK	-	-	-	(empty)	-	-	-	-	-	F1LuZm4PriWNrhMK67	text/plain
1338091043.76066	CHgIMZ2JvWP0iKI9i5	192.168.120.10	1031	94.126.40.144	80	8	GET	www.presenterstudio.com	/wp-content/plugins/wp-e-commerce/wpsc-core/js/wp-e-commerce.js?ver=3.8.7.6.2.494864	http://www.presenterstudio.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	27244	200	OK	-	-	-	(empty)	-	-	-	-	-	FzSmq34jsfenWRgTel	text/plain
1338091043.90337	CRxWjz3ZoBX8ProCY7	192.168.120.10	1036	94.126.40.144	80	3	GET	www.presenterstudio.com	/wp-content/plugins/wp-e-commerce/wpsc-core/js/jquery.infieldlabel.min.js?ver=3.8.7.6.2.494864	http://www.presenterstudio.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1787	200	OK	-	-	-	(empty)	-	-	-	-	-	FxCjq2y5s2GT9EuNc	text/plain
1338091044.01814	CHgIMZ2JvWP0iKI9i5	192.168.120.10	1031	94.126.40.144	80	9	GET	www.presenterstudio.com	/wp-content/plugins/wp-e-commerce/wpsc-core/js/ajax.js?ver=3.8.7.6.2.494864	http://www.presenterstudio.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2693	200	OK	-	-	-	(empty)	-	-	-	-	-	FpkSGm2N8nwl0uvjg	text/plain
1338091044.126597	CRxWjz3ZoBX8ProCY7	192.168.120.10	1036	94.126.40.144	80	4	GET	www.presenterstudio.com	/index.php?wpsc_user_dynamic_js=true&ver=3.8.7.6.2.494864	http://www.presenterstudio.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1049	200	OK	-	-	-	(empty)	-	-	-	-	-	FN55uX3umgpqIqJGJf	text/plain
1338091045.173674	CHgIMZ2JvWP0iKI9i5	192.168.120.10	1031	94.126.40.144	80	10	GET	www.presenterstudio.com	/wp-content/plugins/wp-e-commerce/wpsc-admin/js/jquery.livequery.js?ver=1.0.3	http://www.presenterstudio.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6714	200	OK	-	-	-	(empty)	-	-	-	-	-	FAeuWe3mEjritMlRVf	text/plain
1338091045.377543	CRxWjz3ZoBX8ProCY7	192.168.120.10	1036	94.126.40.144	80	5	GET	www.presenterstudio.com	/wp-content/plugins/wp-e-commerce/wpsc-core/js/user.js?ver=3.8.7.6.2494864	http://www.presenterstudio.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	14672	200	OK	-	-	-	(empty)	-	-	-	-	-	F3Z1Uw33xLfsCIRn5g	text/plain
