#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-34-28
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1320000001.59589	CWsOxy2x3VCFGHGAf4	192.168.45.10	1029	95.168.165.225	80	1	GET	fortresstube.org	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	247	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FyzoFH2dwbvXYrXZl8	text/html
1320000001.816292	C7lMk82vv2CjoJn4qf	192.168.45.10	1030	109.236.85.57	80	1	GET	euroasianpornfantasy.in	/?site=10	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1320000002.224619	C2edYv4sQx1AyqwwI4	192.168.45.10	1036	95.168.163.76	80	1	GET	googleads1.in	/redir.html	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	349	200	OK	-	-	-	(empty)	-	-	-	-	-	FBGXw11TGOrwntUai5	text/html
1320000002.511844	CfQO154Rm9yNfQ2jd2	192.168.45.10	1042	95.168.163.76	80	1	GET	googleads1.in	/in.cgi?default	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	186	302	Found	-	-	-	(empty)	-	-	-	-	-	Fcn3vO9pJtlVXK3hf	text/html
1320000002.863522	CadgkH1rHfBdVj74Pj	192.168.45.10	1043	109.236.85.57	80	1	GET	domain1for8.in	/?site=8	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	52081	200	OK	-	-	-	(empty)	-	-	-	-	-	FdUyFr2ogYr8j3mkm4	text/html
1320000003.940104	CXiM703DYAAsHCJxF8	192.168.45.10	1044	109.236.85.57	80	1	GET	euroasianpornfantasy.in	/dl/pdf_libtiff9.php	http://domain1for8.in/?site=8	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2651	200	OK	-	-	-	(empty)	-	-	-	-	-	FYh1tD139Snpxzfrd2	application/pdf
1320000007.729995	C4ecyC2wdSk5LYKmj	192.168.45.10	1045	109.236.85.57	80	1	GET	euroasianpornfantasy.in	/dl/dl.php?6	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	493568	200	OK	-	-	-	(empty)	-	-	-	-	-	FrDPkX3K26PTaN5gx7	application/x-dosexec
1320000009.121419	CcVGJHbAPND0y1ev7	192.168.45.10	1047	109.236.85.57	80	1	GET	euroasianpornfantasy.in	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	5930	200	OK	-	-	-	(empty)	-	-	-	-	-	F7WcS44g2oy7b5d03g	application/jar
1320000009.119703	CCnhgU1cyPDEu4fI2f	192.168.45.10	1052	109.236.85.57	80	1	GET	1844204857	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14289	200	OK	-	-	-	(empty)	-	-	-	-	-	Fdj5vkRHCh9HC92H3	application/x-java-applet
1320000009.123076	ChWP1E2GjfhwpwSjS6	192.168.45.10	1049	109.236.85.57	80	1	GET	1844204857	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14289	200	OK	-	-	-	(empty)	-	-	-	-	-	FzSYMITVZw9Dtv6B	application/x-java-applet
1320000009.122267	CvYBtL2gZxCkqlBdS3	192.168.45.10	1051	109.236.85.57	80	1	GET	1844204857	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14289	200	OK	-	-	-	(empty)	-	-	-	-	-	FKpcDD3hTDgXT0D8M6	application/x-java-applet
